Datatype,R_mean,R_std,RMSE_mean,RMSE_std,num_of_data
SMILES,0.6685655092463125,0.04774515148940034,0.14708443,0.0054107024,567
BigSMILES,0.6294882940747947,0.04784004302323937,0.15328762,0.006262295,567
SELFIES,0.654444946844136,0.047001239603911074,0.15161893,0.010557932,567
BRICS,0.7083686477012037,0.06811880629328798,0.1409284,0.0125104925,567
MANUAL,0.6912176588968213,0.09005216512923564,0.14340368,0.013457202,567
AUG_MANUAL,0.6800555410807669,0.11026756067540879,0.14703332,0.020120393,567
FINGERPRINT,0.7598157289606845,0.06421118723579383,0.12862866,0.011123351,567
