,0,0,0,0,0
D:A ratio (m/m),0.004926128188242843,0.0063131643228110604,0.0043894542816685905,0.0011558587304518466,0.010129120022980853
total solids conc. (mg/mL),0.015932578032374464,0.009944512278061165,0.01624544519791755,0.030654994400349342,0.013136381236671624
solvent additive,0.005135247979874184,0.0013981274505449445,0.001450547836266493,0.00376774280639597,0.000732294140608928
solvent additive conc. (%v/v),0.01086496277333082,0.02912538052238359,0.02770274477509195,0.020929937289981774,0.015310511858053023
active layer thickness (nm),0.05740325652679399,0.014254406967842501,0.08039881473100664,0.06113821088370216,0.05763944589941428
annealing temperature,0.0096564651696135,0.012833593712757638,0.01182741118994806,0.010596258125470723,0.005677092599425674
hole contact layer,0.08540877088111236,0.05718846097401872,0.06298728055879646,0.06922230648058642,0.03723901233289915
electron contact layer,0.13193818697932314,0.058751641863248785,0.19935638577297657,0.20281573698934385,0.17566437493777032
hole mobility blend (cm^2 V^-1 s^-1),0.00011864702521729848,0.0014053047428254101,0.001940828775105681,0.012973781419394212,0.0038554958163239355
electron mobility blend (cm^2 V^-1 s^-1),0.005098206302026056,0.009810654013374866,0.005615761225958953,0.0046997019352791715,0.000717093230736071
BP,0.0007828143667532729,1.1174119924948002e-05,0.00010737884372987309,0.00029664405071986807,0.0011945267661107807
MP,0.0014702265280213413,0.0001413311449044372,0.0,7.981741737534655e-05,0.00013778197241155057
Density,0.004636941259950208,0.0023051643444652026,0.005765873952950517,0.000821832897820667,0.007112976130523026
Dielectric,0.00021113592284750595,0.0002384316096307237,0.0027043375643867103,0.0005197801411874744,0.0009232493846869793
Dipole,0.0006279107454105398,0.00013370843672442424,0.0001878808188128854,0.0,9.229269115676695e-05
log Pow,0.00020799170464730503,0.00037915925005950084,2.469471006879137e-05,0.0,0.0008140094617438203
Hansen Disp,0.0,0.0005883746231655059,0.00020707399461051458,0.0004495121092861369,0.0003286842228013664
Hansen H-Bond,0.008412660694116265,0.00568085206111513,0.0030401429392412378,0.006730489832012581,0.012645260339565652
Hansen Polar,0.0021540781419307296,0.0005614018083910686,0.00021894832347492453,0.0009378715631785665,0.001891293083852649
