Datatype,R_mean,R_std,RMSE_mean,RMSE_std,num_of_data
SMILES,0.41799927967067674,0.11300550428855705,0.12503222919992352,0.0074093529532644285,108
BigSMILES,0.4346532691367521,0.1314965458990574,0.12320235944401345,0.012866368749178353,108
SELFIES,0.4039445679758094,0.08777726835269382,0.12433971303879729,0.015602012216025089,108
BRICS,0.5069856723584291,0.12104314653033733,0.12061083844124783,0.00925532243447092,108
MANUAL,0.5414449525386335,0.20727285866976497,0.1160289513304232,0.016198131978007173,108
AUG_MANUAL,0.4848759676511768,0.21301817451897806,0.12472794070591245,0.026980856741300414,108
FINGERPRINT,0.4926738077790366,0.20463735715686637,0.12040639204978118,0.012551372738069591,108
