Donor,Donor SMILES,SMILES,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
D16,CCc1csc(-c2cc3oc(=O)c4cc(-c5cc(CC)c(-c6cc7c(-c8ccc(CC)s8)c8sc(-c9sc(-c%10cc%11oc(=O)c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16ccc(CC)s%16)c%16sc(-c%17sc(-c%18cc%19oc(=O)c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24ccc(CC)s%24)c%24sccc%24c(-c%24ccc(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16ccc(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8ccc(CC)s8)c7s6)s5)sc4c3s2)c1,CCc1csc(-c2cc3oc(=O)c4cc(-c5cc(CC)c(-c6cc7c(-c8ccc(CC)s8)c8sc(-c9sc(-c%10cc%11oc(=O)c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16ccc(CC)s%16)c%16sc(-c%17sc(-c%18cc%19oc(=O)c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24ccc(CC)s%24)c%24sccc%24c(-c%24ccc(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16ccc(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8ccc(CC)s8)c7s6)s5)sc4c3s2)c1,,,,,
W1,CCOc1c(OCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC)s5)c5sc(-c6ccc(-c7c(F)c(F)c(-c8ccc(-c9cc%10c(-c%11cc(F)c(CC)s%11)c%11sc(-c%12ccc(-c%13c(F)c(F)c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)s%17)c%17sccc%17c(-c%17cc(F)c(CC)s%17)c%16s%15)s%14)c(OCC)c%13OCC)s%12)cc%11c(-c%11cc(F)c(CC)s%11)c%10s9)s8)c(OCC)c7OCC)s6)cc5c(-c5cc(F)c(CC)s5)c4s3)s2)c(F)c(F)c1-c1cccs1,CCOc1c(OCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC)s5)c5sc(-c6ccc(-c7c(F)c(F)c(-c8ccc(-c9cc%10c(-c%11cc(F)c(CC)s%11)c%11sc(-c%12ccc(-c%13c(F)c(F)c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)s%17)c%17sccc%17c(-c%17cc(F)c(CC)s%17)c%16s%15)s%14)c(OCC)c%13OCC)s%12)cc%11c(-c%11cc(F)c(CC)s%11)c%10s9)s8)c(OCC)c7OCC)s6)cc5c(-c5cc(F)c(CC)s5)c4s3)s2)c(F)c(F)c1-c1cccs1,-5.65,-4.1,,,
P2F-Ehp,CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c6c(c(-c7ccc(-c8cc9c(-c%10cc(F)c(CC)c(F)c%10)c%10sc(-c%11ccc(-c%12c%13c(c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)c(F)c%17)c%17sc(-c%18ccc(-c%19c%20c(c(-c%21cccs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)s%18)cc%17c(-c%17cc(F)c(CC)c(F)c%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)s%11)cc%10c(-c%10cc(F)c(CC)c(F)c%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)s4)sc3c(-c3cc(F)c(CC)c(F)c3)c3ccsc23)cc1F,CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c6c(c(-c7ccc(-c8cc9c(-c%10cc(F)c(CC)c(F)c%10)c%10sc(-c%11ccc(-c%12c%13c(c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)c(F)c%17)c%17sc(-c%18ccc(-c%19c%20c(c(-c%21cccs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)s%18)cc%17c(-c%17cc(F)c(CC)c(F)c%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)s%11)cc%10c(-c%10cc(F)c(CC)c(F)c%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)s4)sc3c(-c3cc(F)c(CC)c(F)c3)c3ccsc23)cc1F,-5.46,-3.13,,,
BTR-Cl,CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1,CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1,-5.46,-3.7,1.78,624.0,520.0
B1,CCSc1ccc(-c2c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc3c(-c3ccc(SCC)cc3)c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc23)cc1,CCSc1ccc(-c2c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc3c(-c3ccc(SCC)cc3)c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc23)cc1,-5.37,-3.51,,,
P_chen,CCn1c(=O)n(CC)c2cc3c(cc21)c1ccsc1c1sc(-c2ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c8cc9c(cc8c8cc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c%15cc%16c(cc%15c%15cc(-c%17ccc(-c%18c(F)c(F)c(-c%19cccs%19)c%19nsnc%18%19)s%17)sc%15c%14s%13)n(CC)c(=O)n%16CC)s%12)c%12nsnc%11%12)s%10)sc8c7s6)n(CC)c(=O)n9CC)s5)c5nsnc45)s2)cc31,CCn1c(=O)n(CC)c2cc3c(cc21)c1ccsc1c1sc(-c2ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c8cc9c(cc8c8cc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c%15cc%16c(cc%15c%15cc(-c%17ccc(-c%18c(F)c(F)c(-c%19cccs%19)c%19nsnc%18%19)s%17)sc%15c%14s%13)n(CC)c(=O)n%16CC)s%12)c%12nsnc%11%12)s%10)sc8c7s6)n(CC)c(=O)n9CC)s5)c5nsnc45)s2)cc31,,,,,
Qx-12F,CCOc1c(F)c(F)c(-c2nc3c(-c4cccs4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC)s7)c7sc(-c8ccc(-c9c(F)c(F)c(-c%10ccc(-c%11cc%12c(-c%13cc(F)c(CC)s%13)c%13sc(-c%14ccc(-c%15c(F)c(F)c(-c%16ccc(-c%17cc%18c(-c%19cc(F)c(CC)s%19)c%19sccc%19c(-c%19cc(F)c(CC)s%19)c%18s%17)s%16)c%16nc(-c%17c(F)c(F)c(OCC)c(F)c%17F)c(-c%17c(F)c(F)c(OCC)c(F)c%17F)nc%15%16)s%14)cc%13c(-c%13cc(F)c(CC)s%13)c%12s%11)s%10)c%10nc(-c%11c(F)c(F)c(OCC)c(F)c%11F)c(-c%11c(F)c(F)c(OCC)c(F)c%11F)nc9%10)s8)cc7c(-c7cc(F)c(CC)s7)c6s5)s4)c3nc2-c2c(F)c(F)c(OCC)c(F)c2F)c(F)c1F,CCOc1c(F)c(F)c(-c2nc3c(-c4cccs4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC)s7)c7sc(-c8ccc(-c9c(F)c(F)c(-c%10ccc(-c%11cc%12c(-c%13cc(F)c(CC)s%13)c%13sc(-c%14ccc(-c%15c(F)c(F)c(-c%16ccc(-c%17cc%18c(-c%19cc(F)c(CC)s%19)c%19sccc%19c(-c%19cc(F)c(CC)s%19)c%18s%17)s%16)c%16nc(-c%17c(F)c(F)c(OCC)c(F)c%17F)c(-c%17c(F)c(F)c(OCC)c(F)c%17F)nc%15%16)s%14)cc%13c(-c%13cc(F)c(CC)s%13)c%12s%11)s%10)c%10nc(-c%11c(F)c(F)c(OCC)c(F)c%11F)c(-c%11c(F)c(F)c(OCC)c(F)c%11F)nc9%10)s8)cc7c(-c7cc(F)c(CC)s7)c6s5)s4)c3nc2-c2c(F)c(F)c(OCC)c(F)c2F)c(F)c1F,-5.22,-3.5,1.72,642.0,612.0
TPD-3,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)N(CC)C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)N(CC)C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)N(CC)C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)N(CC)C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)N(CC)C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)N(CC)C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.14,-3.32,,,
PTzBI-oF,CCc1ccc(-c2c3cc(-c4sc(-c5c6c(c(-c7cc(F)c(-c8cc9c(-c%10ccc(CC)s%10)c%10sc(-c%11sc(-c%12c%13c(c(-c%14cc(F)c(-c%15cc%16c(-c%17ccc(CC)s%17)c%17sc(-c%18sc(-c%19c%20c(c(-c%21cc(F)cs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)cc%18F)cc%17c(-c%17ccc(CC)s%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)cc%11F)cc%10c(-c%10ccc(CC)s%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)cc4F)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4sc(-c5c6c(c(-c7cc(F)c(-c8cc9c(-c%10ccc(CC)s%10)c%10sc(-c%11sc(-c%12c%13c(c(-c%14cc(F)c(-c%15cc%16c(-c%17ccc(CC)s%17)c%17sc(-c%18sc(-c%19c%20c(c(-c%21cc(F)cs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)cc%18F)cc%17c(-c%17ccc(CC)s%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)cc%11F)cc%10c(-c%10ccc(CC)s%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)cc4F)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.25,-3.25,,,
J52,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.2,-3.05,1.96,590.0,
