,Acceptor,Donor,DOI,Voc (V),Jsc (mA cm^-2),FF,FF (%),PCE,calculated PCE (%),acceptor type,acceptor class,core fused ring size,donor,acceptor ID with shortened chains,Acceptor SMILES,donor ID with shortened chains,Donor SMILES
0,L8-BO,PBDB-TF,10.1002/ange.202110550,0.89,26.37,0.7994,79.94,18.77,18.76135842,sm,y,8.0,,Y6,CCC1=C(SC2=C1SC3=C2N(CC)C4=C3C5=NSN=C5C6=C4N(CC)C7=C6SC8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8CC)/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(F)C(F)=C%12)=O,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
1,N3,D18,10.1088/1674-4926/42/1/010502,0.86,27.44,0.785,78.5,18.56,18.524744,sm,y,8.0,,Y6,CCC1=C(SC2=C1SC3=C2N(CC)C4=C3C5=NSN=C5C6=C4N(CC)C7=C6SC8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8CC)/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(F)C(F)=C%12)=O,D18,CCc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC)c(-c6cc7c(-c8cc(F)c(CC)s8)c8sc(-c9sc(-c%10cc%11c%12nsnc%12c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16cc(F)c(CC)s%16)c%16sc(-c%17sc(-c%18cc%19c%20nsnc%20c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24cc(F)c(CC)s%24)c%24sccc%24c(-c%24cc(F)c(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16cc(F)c(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8cc(F)c(CC)s8)c7s6)s5)sc4c3s2)c1
2,BTP-eC9,PBDB-TF,10.1002/adma.201908205,0.839,26.2,0.811,81.1,17.8,17.8272398,sm,y,12.0,,Y5,CCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
3,m-BTP-C6Ph,PTQ10,10.1007/s11426-021-1114-3,0.841,26.95,0.783,78.3,17.74,17.74665585,sm,y,8.0,,m-BTP-PhC6,CCc1cccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CC)c8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC)c5c4n(CC)c32)c1,PTQ10,CCOc1cnc2c(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6c(F)c(F)c(-c7cccs7)c7ncc(OCC)nc67)s5)c5ncc(OCC)nc45)s3)c(F)c(F)cc2n1
4,eC9-2Cl,PBQx-TF,10.1002/adma.202102420,0.868,25.9,0.786,78.6,17.7,17.6702232,sm,y,8.0,,H2,CCc1c(/C=C2\C(=O)c3ccc(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8ccc(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBQx-TF,CCc1csc(-c2cc3c(s2)-c2sc(-c4cc(CC)c(-c5cc6c(-c7cc(F)c(CC)s7)c7sc(-c8sc(-c9cc%10c(s9)-c9sc(-c%11cc(CC)c(-c%12cc%13c(-c%14cc(F)c(CC)s%14)c%14sc(-c%15sc(-c%16cc%17c(s%16)-c%16sc(-c%18cc(CC)c(-c%19cc%20c(-c%21cc(F)c(CC)s%21)c%21sccc%21c(-c%21cc(F)c(CC)s%21)c%20s%19)s%18)cc%16[C@H]%16N=CC=N[C@H]%17%16)cc%15CC)cc%14c(-c%14cc(F)c(CC)s%14)c%13s%12)s%11)cc9[C@H]9N=CC=N[C@H]%109)cc8CC)cc7c(-c7cc(F)c(CC)s7)c6s5)s4)cc2[C@H]2N=CC=N[C@H]32)c1
5,BTP-4Cl,PBDB-TF,10.1002/anie.202102622,0.838,26.7,0.79,79.0,17.7,17.675934,sm,y,8.0,,BTP-4Cl,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
6,eC9,P5T-2F,10.1021/acsmaterialslett.1c00328,0.837,26.5,0.789,78.9,17.7,17.5004145,sm,y,8.0,,BTP-4Cl,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,P5T-2F,CCc1sc(CC)c2c1C(=O)c1c(-c3ccc(-c4cc(F)cs4)s3)sc(-c3ccc(-c4cc(F)c(-c5sc(-c6ccc(-c7sc(-c8ccc(-c9cc(F)c(-c%10sc(-c%11ccc(-c%12sc(-c%13ccc(-c%14cc(F)cs%14)s%13)c%13c%12C(=O)c%12c(CC)sc(CC)c%12C%13=O)s%11)cc%10F)s9)s8)c8c7C(=O)c7c(CC)sc(CC)c7C8=O)s6)cc5F)s4)s3)c1C2=O
7,Y6-Se,D18,10.1021/jacs.0c08557,0.839,27.98,0.753,75.3,17.7,17.67684066,sm,y,8.0,,Y6-Se,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4n[se]nc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,D18,CCc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC)c(-c6cc7c(-c8cc(F)c(CC)s8)c8sc(-c9sc(-c%10cc%11c%12nsnc%12c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16cc(F)c(CC)s%16)c%16sc(-c%17sc(-c%18cc%19c%20nsnc%20c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24cc(F)c(CC)s%24)c%24sccc%24c(-c%24cc(F)c(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16cc(F)c(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8cc(F)c(CC)s8)c7s6)s5)sc4c3s2)c1
8,BTP-S9,PBDB-TF,10.1038/s41467-021-24937-5,0.846,26.47,0.7844,78.44,17.56,17.56555553,sm,y,8.0,,BTP-S9,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(F)c(F)cc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
9,A-WSSe-Cl,PBDB-TF,10.1002/anie.202104766,0.85,26.58,0.775,77.5,17.51,17.509575,sm,y,8.0,,A-WSSe-Cl,CCC1=C(SC2=C1SC3=C2N(CC)C4=C3C5=NSN=C5C6=C4N(CC)C7=C6SC8=C7[Se]C(/C=C9/C(C%10=C(C9=O)C=C(Cl)C(Cl)=C%10)=C(C#N)\C#N)=C8CC)/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(Cl)C(Cl)=C%12)=O,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
10,Y6,PTQ10,10.1007/s11426-021-1114-3,0.831,26.28,0.784,78.4,17.13,17.12152512,sm,y,8.0,,Y6,CCC1=C(SC2=C1SC3=C2N(CC)C4=C3C5=NSN=C5C6=C4N(CC)C7=C6SC8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8CC)/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(F)C(F)=C%12)=O,PTQ10,CCOc1cnc2c(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6c(F)c(F)c(-c7cccs7)c7ncc(OCC)nc67)s5)c5ncc(OCC)nc45)s3)c(F)c(F)cc2n1
11,p-BTP-C6Ph,PTQ10,10.1039/D0EE03506H,0.888,24.7,0.779,77.9,17.1,17.0862744,sm,y,8.0,,BTP-PhC6,CCc1ccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CC)cc8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC)c5c4n(CC)c32)cc1,PTQ10,CCOc1cnc2c(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6c(F)c(F)c(-c7cccs7)c7ncc(OCC)nc67)s5)c5ncc(OCC)nc45)s3)c(F)c(F)cc2n1
12,Y6,PBCT-2F,10.1039/D1EE01957K,0.85,27.2,0.743,74.3,17.1,17.17816,sm,y,8.0,,Y6,CCC1=C(SC2=C1SC3=C2N(CC)C4=C3C5=NSN=C5C6=C4N(CC)C7=C6SC8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8CC)/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(F)C(F)=C%12)=O,PBCT-2F,CCc1csc(-c2cc(C#N)c(-c3cc(CC)c(-c4cc5c(-c6cc(F)c(CC)s6)c6sc(-c7sc(-c8cc(C#N)c(-c9cc(CC)c(-c%10cc%11c(-c%12cc(F)c(CC)s%12)c%12sc(-c%13sc(-c%14cc(C#N)c(-c%15cc(CC)c(-c%16cc%17c(-c%18cc(F)c(CC)s%18)c%18sccc%18c(-c%18cc(F)c(CC)s%18)c%17s%16)s%15)s%14)cc%13CC)cc%12c(-c%12cc(F)c(CC)s%12)c%11s%10)s9)s8)cc7CC)cc6c(-c6cc(F)c(CC)s6)c5s4)s3)s2)c1
13,CH1007,PBDB-TF,10.1021/jacs.0c07083,0.822,27.48,0.7561,75.61,17.08,17.07921022,sm,y,8.0,,CH1007,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)[se]c2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)[se]c6c5n(CC)c4c3n(CC)c12,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
14,BTP-2F-ThCl,PBDB-TF,10.1016/j.joule.2020.03.023,0.869,25.38,0.774,77.4,17.06,17.07074028,sm,y,8.0,,BTP-2F-ThCl,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8c(csc8Cl)C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
15,Y6,PBDB-T-2Cl,10.1007/s11426-019-9669-3,0.882,25.605,0.733,73.3,17.037,16.55378613,sm,y,8.0,,Y6,CCC1=C(SC2=C1SC3=C2N(CC)C4=C3C5=NSN=C5C6=C4N(CC)C7=C6SC8=C7SC(/C=C9/C(C%10=C(C9=O)C=C(F)C(F)=C%10)=C(C#N)\C#N)=C8CC)/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(F)C(F)=C%12)=O,PBDB-T-2Cl,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl
16,SY1,PBDB-TF,10.1002/adfm.202000456,0.871,25.41,0.76,76.0,16.83,16.8204036,sm,y,8.0,,SY1,CCc1c(/C=C2\C(=O)c3ccc(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
17,LL3,PBDB-T,10.1002/adfm.202103445,0.86,26.97,0.7227,72.27,16.82,16.76244834,sm,y,8.0,,LL3,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nn(CC)nc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9c(cc8C7=C(C#N)C#N)C7C8C=CC(C8)C97)sc6c5n(CC)c4c3n(CC)c21,PBDB-T,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
18,BTP-ClBr,PBDB-TF,10.1002/aenm.202002649,0.906,23.48,0.79,79.0,16.82,16.8055752,sm,y,8.0,,BTP-ClBr,CCc1c(/C=C2\C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
19,BPT-4F,SZ5,10.1021/acsenergylett.0c01688,0.853,24.8,0.791,79.1,16.8,16.7331304,sm,y,8.0,,BPT-4F,CCn1c2c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3sc2c2c3nsnc3c3c4sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC)c3c21,SZ5,CCc1csc(-c2nc3sc(-c4cc(CC)c(-c5cc6c(-c7cc(Cl)c(CC)s7)c7sc(-c8ccc(-c9sc(-c%10ccc(-c%11cc%12c(-c%13cc(Cl)c(CC)s%13)c%13sccc%13c(-c%13cc(Cl)c(CC)s%13)c%12s%11)s%10)c%10c9C(=O)c9c(CC)sc(CC)c9C%10=O)s8)cc7c(-c7cc(Cl)c(CC)s7)c6s5)s4)nc3s2)c1
20,BTP-S7,PBDB-TF,10.1038/s41467-021-24937-5,0.861,25.92,0.7509,75.09,16.76,16.75792541,sm,y,8.0,,BT-BO-L4F,CCc1c(/C=C2\C(=O)c3cc4cc(F)c(F)cc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(F)c(F)cc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
21,BTP-PhC6,PBDB-TF,10.1016/j.nanoen.2020.105087,0.865,25.0,0.77,77.0,16.7,16.65125,sm,y,8.0,,BTP-PhC6,CCc1ccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CC)cc8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC)c5c4n(CC)c32)cc1,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
22,BP5T-4F,PBDB-TF,10.1002/aenm.202003177,0.888,24.6,0.763,76.3,16.7,16.6675824,sm,y,9.0,,BP5T-4F,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c2sc2c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c12,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
23,AQx-2,PBDB-TF,10.1002/adma.201906324,0.86,25.38,0.7625,76.25,16.64,16.642935,sm,y,8.0,,AQx-2,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nccnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
24,Y6-O,PBDB-TF,10.1039/D0TA10953C,0.95,22.4,0.78,78.0,16.6,16.5984,sm,y,8.0,,Y6-O,CCOc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(OCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
