Acceptor,Acceptor SMILES,SMILES,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
CNDTBT-C8IDT-FINCN,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(-c2ccc(-c4c(C#N)c(C#N)c(-c5ccc(-c6cc7c(s6)-c6cc8c(cc6C7(CC)CC)-c6sc(/C=C7\C(=O)c9cc(F)c(F)cc9C7=C(C#N)C#N)cc6C8(CC)CC)s5)c5nsnc45)s2)sc1-3,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(-c2ccc(-c4c(C#N)c(C#N)c(-c5ccc(-c6cc7c(s6)-c6cc8c(cc6C7(CC)CC)-c6sc(/C=C7\C(=O)c9cc(F)c(F)cc9C7=C(C#N)C#N)cc6C8(CC)CC)s5)c5nsnc45)s2)sc1-3,-5.58,-3.92,1.4,766.0,692.0
QOC6-4Cl,CCc1nc2c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3C4(CC)CC)c(F)c(F)c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3C4(CC)CC)c2nc1CC,CCc1nc2c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3C4(CC)CC)c(F)c(F)c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3C4(CC)CC)c2nc1CC,-5.62,-3.87,1.45,796.0,733.0
m-ITTC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,-5.62,-3.89,1.61,711.0,688.0
ITCPTC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,-5.63,-3.96,1.58,719.7,677.88
BID-4F,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(-c2c(F)c(F)c(-c4cc5c(s4)-c4cc6c(cc4C5(CC)CC)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(CC)CC)c4nsnc24)sc1-3,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(-c2c(F)c(F)c(-c4cc5c(s4)-c4cc6c(cc4C5(CC)CC)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(CC)CC)c4nsnc24)sc1-3,-5.69,-3.73,1.53,749.0,
AOIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-3sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-3sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,-5.5,-3.93,1.44,811.0,758.0
NITT-BF,CCOc1c2c(cc3c(OCC)c4c(cc13)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc13)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1c-2sc2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc12,CCOc1c2c(cc3c(OCC)c4c(cc13)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc13)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1c-2sc2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc12,-5.75,-4.15,1.52,713.0,675.0
IPTTT-2F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)ccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c4sc(/C=C5\C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc4n(CC)c23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)ccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c4sc(/C=C5\C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc4n(CC)c23)cc1,-5.4,-4.07,1.43,761.0,746.0
IOIC2,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c(CC)cc5c4cc(CC)c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc(CC)cc4)c4ccc(CC)cc4)c32)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c(CC)cc5c4cc(CC)c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc(CC)cc4)c4ccc(CC)cc4)c32)cc1,-5.41,-3.78,,,
CH3-2F,CCc1cc(-c2sc3c(N(c4ccc(C)cc4)c4ccc(C)cc4)c(-c4cc(CC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)sc3c2N(c2ccc(C)cc2)c2ccc(C)cc2)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,CCc1cc(-c2sc3c(N(c4ccc(C)cc4)c4ccc(C)cc4)c(-c4cc(CC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)sc3c2N(c2ccc(C)cc2)c2ccc(C)cc2)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,-5.59,-4.01,1.42,775.0,734.0
a-ITIC-2Cl,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,,,,,
IXIC-2Cl,CCc1ccc(C2(c3ccc(CC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccc(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccc(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccc(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccc(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.2,-3.9,1.3,939.0,773.5
IDTN,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1,-5.8,-3.98,1.57,732.0,688.0
ITOIC-2F,CCOc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CC)cc2)c2ccc(CC)cc2)-c2sc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c(OCC)c3OCC)cc2C4(c2ccc(CC)cc2)c2ccc(CC)cc2)c1OCC,CCOc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CC)cc2)c2ccc(CC)cc2)-c2sc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c(OCC)c3OCC)cc2C4(c2ccc(CC)cc2)c2ccc(CC)cc2)c1OCC,,,,,
i-IEICO-4Cl,CCOc1c(/C=C2/C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)csc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1)-c1sc(-c2scc(/C=C4/C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)c2OCC)cc1C3(c1ccc(CC)cc1)c1ccc(CC)cc1,CCOc1c(/C=C2/C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)csc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1)-c1sc(-c2scc(/C=C4/C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)c2OCC)cc1C3(c1ccc(CC)cc1)c1ccc(CC)cc1,-5.46,-3.82,1.51,754.0,718.0
DBT-4F,CCOc1cc(-c2cc3c(s2)c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2n3CC)c(OCC)cc1-c1cc(CC)c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)s1,CCOc1cc(-c2cc3c(s2)c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2n3CC)c(OCC)cc1-c1cc(CC)c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)s1,-5.67,-3.87,1.43,789.0,703.0
m-DTC-2Cl,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c5cc6c(cc5n(CC)c4cc3-c3sc(/C=C4\C(=O)c5ccc(Cl)cc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4ccc(Cl)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c5cc6c(cc5n(CC)c4cc3-c3sc(/C=C4\C(=O)c5ccc(Cl)cc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4ccc(Cl)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.65,-3.89,,,
BDTThIT-M,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC)s5)c5c6c(sc5c(-c5ccc(CC)s5)c4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC)s5)c5c6c(sc5c(-c5ccc(CC)s5)c4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.35,-3.82,1.53,738.0,710.0
NCBDT,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(CC)c5c6c(sc5c(CC)c4c32)-c2sc(/C=C3\C(=O)c4ccc(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(CC)c5c6c(sc5c(CC)c4c32)-c2sc(/C=C3\C(=O)c4ccc(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.36,-3.89,,,
IDIC-4F,CCSc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(CC)CC)-c1sc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)cc1C3(CC)CC,CCSc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(CC)CC)-c1sc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)cc1C3(CC)CC,,,,,
IDTT-Br-2F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5sc(Br)cc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5sc(Br)cc5C4=C(C#N)C#N)sc23)cc1,-5.79,-3.99,1.58,,
IDTN-O,CCOc1c(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)sc2c1C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1cc3c(cc1-2)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1c-3sc(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)c1OCC,CCOc1c(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)sc2c1C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1cc3c(cc1-2)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1c-3sc(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)c1OCC,-5.77,-3.89,1.59,728.0,686.0
BCDT-4Cl,CCOc1c(OCC)c(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)cc2C3(CC)CC)c2nsnc2c1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)cc1C2(CC)CC,CCOc1c(OCC)c(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)cc2C3(CC)CC)c2nsnc2c1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)cc1C2(CC)CC,-5.47,-3.88,1.38,806.0,748.0
AOIC1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3/C(=O)c6cc(F)c(F)cc6C3=C(C#N)C#N)sc2-5)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3/C(=O)c6cc(F)c(F)cc6C3=C(C#N)C#N)sc2-5)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,-5.53,-3.94,1.51,790.0,748.0
IOTIC-2F,CCOc1cc(/C=C2\C(=O)c3ccc(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1)-c1sc(-c2sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)cc2OCC)cc1C3(c1ccc(CC)cc1)c1ccc(CC)cc1,CCOc1cc(/C=C2\C(=O)c3ccc(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1)-c1sc(-c2sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)cc2OCC)cc1C3(c1ccc(CC)cc1)c1ccc(CC)cc1,-5.34,-4.06,1.31,839.0,794.0
PY5-PZ,CCc1csc(-c2cnc(-c3cc(CC)c(-c4ccc5c(c4)C(=C(C#N)C#N)/C(=C/c4sc6c(sc7c8c9nsnc9c9c%10sc%11c(CC)c(/C=C%12\C(=O)c%13ccc(-c%14sc(-c%15cnc(-c%16cc(CC)c(-c%17ccc%18c(c%17)C(=C(C#N)C#N)/C(=C/c%17sc%19c(sc%20c%21c%22nsnc%22c%22c%23sc%24c(CC)c(/C=C%25\C(=O)c%26ccccc%26C%25=C(C#N)C#N)sc%24c%23n(CC)c%22c%21n(CC)c%19%20)c%17CC)C%18=O)s%16)cn%15)cc%14CC)cc%13C%12=C(C#N)C#N)sc%11c%10n(CC)c9c8n(CC)c67)c4CC)C5=O)s3)cn2)c1,CCc1csc(-c2cnc(-c3cc(CC)c(-c4ccc5c(c4)C(=C(C#N)C#N)/C(=C/c4sc6c(sc7c8c9nsnc9c9c%10sc%11c(CC)c(/C=C%12\C(=O)c%13ccc(-c%14sc(-c%15cnc(-c%16cc(CC)c(-c%17ccc%18c(c%17)C(=C(C#N)C#N)/C(=C/c%17sc%19c(sc%20c%21c%22nsnc%22c%22c%23sc%24c(CC)c(/C=C%25\C(=O)c%26ccccc%26C%25=C(C#N)C#N)sc%24c%23n(CC)c%22c%21n(CC)c%19%20)c%17CC)C%18=O)s%16)cn%15)cc%14CC)cc%13C%12=C(C#N)C#N)sc%11c%10n(CC)c9c8n(CC)c67)c4CC)C5=O)s3)cn2)c1,-5.71,-3.75,1.45,772.0,735.0
FOC6-FIC,CCOc1cc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)cc2C3(CC)CC)c(F)cc1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4ccc(F)cc4C3=C(C#N)C#N)cc1C2(CC)CC,CCOc1cc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)cc2C3(CC)CC)c(F)cc1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4ccc(F)cc4C3=C(C#N)C#N)cc1C2(CC)CC,-5.47,-3.81,1.47,736.0,708.0
ITBC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(sc8ccccc78)C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(sc6ccccc56)C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(sc8ccccc78)C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(sc6ccccc56)C4=C(C#N)C#N)sc23)cc1,-5.49,-3.9,1.59,691.0,664.0
a-IT-2OM,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(OC)c(OC)cc5C4=C(C#N)C#N)sc23)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(OC)c(OC)cc5C4=C(C#N)C#N)sc23)cc1,-5.61,-3.92,1.63,695.0,671.0
4TC-4F-C8C8,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c5cc6c(cc5n(CC)c4cc3-c3sc4cc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)sc4c32)-c2sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3c2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c5cc6c(cc5n(CC)c4cc3-c3sc4cc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)sc4c32)-c2sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3c2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.6,-3.96,1.51,732.0,688.0
PT-IDTTIC,CCC1(CC)c2cc3c(cc2-c2sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c21)C(CC)(CC)c1c-3sc2cc(/C=C3\C(=O)c4ccc(-c5ccc(-c6ccc7c(c6)C(=C(C#N)C#N)/C(=C/c6cc8sc9c(c8s6)C(CC)(CC)c6cc8c(cc6-9)C(CC)(CC)c6c-8sc8cc(/C=C9\C(=O)c%10ccc(-c%11cccs%11)cc%10C9=C(C#N)C#N)sc68)C7=O)s5)cc4C3=C(C#N)C#N)sc12,CCC1(CC)c2cc3c(cc2-c2sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c21)C(CC)(CC)c1c-3sc2cc(/C=C3\C(=O)c4ccc(-c5ccc(-c6ccc7c(c6)C(=C(C#N)C#N)/C(=C/c6cc8sc9c(c8s6)C(CC)(CC)c6cc8c(cc6-9)C(CC)(CC)c6c-8sc8cc(/C=C9\C(=O)c%10ccc(-c%11cccs%11)cc%10C9=C(C#N)C#N)sc68)C7=O)s5)cc4C3=C(C#N)C#N)sc12,-5.59,-3.86,,,
m-ITIC,CCc1cccc(C2(c3cccc(CC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CC)c2)(c2cccc(CC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,CCc1cccc(C2(c3cccc(CC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CC)c2)(c2cccc(CC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,-5.52,-3.82,1.58,,
2T2Se-F,CCc1cc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)sc1-c1sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)cc1CC,CCc1cc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)sc1-c1sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)cc1CC,-5.52,-3.83,1.31,806.0,694.0
TTPTTT-4F,N#CC(C#N)=C1/C(=C/c2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)C(=O)c2cc(F)c(F)cc21,N#CC(C#N)=C1/C(=C/c2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)C(=O)c2cc(F)c(F)cc21,-5.69,-4.12,1.52,738.0,701.0
TTIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C5(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C5(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.51,-3.89,1.48,768.24,719.85
F-Br,CCC1(CC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(Br)cc5C2=C(C#N)C#N)cc1C4(CC)CC)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(Br)cc4C2=C(C#N)C#N)sc1-3,CCC1(CC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(Br)cc5C2=C(C#N)C#N)cc1C4(CC)CC)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccc(Br)cc4C2=C(C#N)C#N)sc1-3,-5.62,-4.06,1.56,720.0,679.0
