Donor,SMILES
Donor EN,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2s1
Donor X,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c2s1
Donor CY,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor BJ,CCCCC(CC)CSc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor IS,CCCCCCCCCCC(CCCCCCCC)Cc1ccc(-c2c3cc(-c4ccc(/C=C/c5ccc(C)s5)s4)sc3c(-c3ccc(CC(CCCCCCCC)CCCCCCCCCC)s3)c3cc(C)sc23)s1
Donor ED,CCCCCCCCCCC(CCCCCCCC)Cc1ccc(-c2c3cc(-c4cc(F)c(/C=C/c5sc(C)cc5F)s4)sc3c(-c3ccc(CC(CCCCCCCC)CCCCCCCCCC)s3)c3cc(C)sc23)s1
Donor IE,CCCCCCCCCCC(CCCCCCCC)Cc1ccc(-c2c3cc(-c4cc(C#N)c(/C=C/c5sc(C)cc5C#N)s4)sc3c(-c3ccc(CC(CCCCCCCC)CCCCCCCCCC)s3)c3cc(C)sc23)s1
Donor EK,CCCCCCCCc1cc(-c2cc(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)s2)sc1C
Donor CF,CCCCC(CC)COc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(OCC(CC)CCCC)cc3)c3cc(C)sc23)cc1
Donor AY,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(C)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
Donor FX,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C)s5)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
Donor AJ,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc(CCCCCC)c(-c5ccc(-c6sc(C)cc6CCCCCC)s5)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
Donor JA,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc(CCCCCC)c(-c5ccc(-c6ccc(-c7sc(C)cc7CCCCCC)s6)s5)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
Donor CC,CCCCCCCCCCC(CCCCCCCC)COc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CC)CCCC)nc45)s3)sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c2cc(C)sc12
Donor AT,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)o6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)o4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3cc(C)sc23)s1
Donor HG,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(SCC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1
Donor GR,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(-c6ccc(C)s6)s5)s4)s3)c3nn(CCC)nc23)sc1C
Donor IN,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5sc(-c6ccc(C)s6)c(F)c5F)s4)s3)c3nn(CCC)nc23)sc1C
Donor BY,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1
Donor HW,CCCCCCCCCCCCc1cc(C)sc1-c1sc(-c2sc(-c3cc4c(-c5ccc([Si](CCC)(CCC)CCC)s5)c5sc(C)cc5c(-c5ccc([Si](CCC)(CCC)CCC)s5)c4s3)cc2CCCCCCCCCCCC)c2c1C(=O)N(CC(CCCCCC)CCCCCCCC)C2=O
Donor GI,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c1C2=O
Donor DT,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c3nsnc23)sc1C
Donor BX,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor HL,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6sc(CC(CC)CCCC)c(Cl)c6Cl)c5s4)s3)c2n1
Donor AA,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor I,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6sc(CC(CC)CCCC)c(Cl)c6Cl)c6sc(C)cc6c(-c6sc(CC(CC)CCCC)c(Cl)c6Cl)c5s4)s3)c2n1
Donor CL,CCCCCCCCC(CCCCCC)COc1ccc2cc(-c3ccc(-c4c5cc(C)sc5c(-c5ccc(-c6ccc7cc(CC(CCCCCC)CCCCCCCC)ccc7c6)s5)c5cc(-c6sc(-c7sc(-c8cc(CC(CC)CCCC)c(C)s8)c8c7C(=O)c7c(CC(CC)CCCC)sc(CC(CC)CCCC)c7C8=O)cc6CC(CC)CCCC)sc45)s3)ccc2c1
Donor H,CCCCCCCCC(CCCCCC)CSc1ccc(-c2ccc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nn(CC(CCCCCC)CCCCCCCC)nc67)s5)sc4c(-c4ccc(-c5ccc(SCC(CCCCCC)CCCCCCCC)cc5)cc4)c4cc(C)sc34)cc2)cc1
Donor GF,CCCCCCCCc1sc(CCCCCCCC)c2c1C(=O)c1c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c1C2=O
Donor GT,CCCCCCCCc1sc(CCCCCCCC)c2c1C(=O)c1c(-c3cc4sc(C)c(CCCCCC)c4s3)sc(-c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)c(CCCCCC)c4s3)c1C2=O
Donor CX,CCCCCCCCC1(CCCCCCCC)Oc2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2-c2sc(C)cc21
Donor BE,CCCCCCCCC1(CCCCCCCC)Sc2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2-c2sc(C)cc21
Donor AB,CCCCCCCCOc1c(OCCCCCCCC)c(-c2cc(F)c(-c3sc(C)cc3F)s2)c2nonc2c1C
Donor FI,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc6sc(C)cc6c5)s4)s3)c3nsnc23)sc1C
Donor CP,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc6cc(C)sc6c5)s4)s3)c3nsnc23)sc1C
Donor CD,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2c(c(-c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8sc(C)c9c(F)c(C(=O)OCC(CC)CCCC)sc89)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4s3)n(CCCCCCCC)c2-c2cc3sc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)cc3s2)C1=O
Donor AL,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3cc(F)sc3c(-c3ccc(C)s3)c2n1
Donor BQ,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3cc(F)sc3c(-c3ccc(C)s3)c2n1
Donor GZ,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1
Donor GP,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1
Donor DA,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(SCC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1
Donor J,CCCCC(CC)Cc1ccccc1-c1c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4C5=O)s3)sc2c(-c2ccccc2CC(CC)CCCC)c2cc(C)sc12
Donor HM,CCCCC(CC)Cc1cccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cccc(CC(CC)CCCC)c3)c3cc(C)sc23)c1
Donor F,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)cc3)c3cc(C)sc23)cc1
Donor DE,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CC)CCCC)nc56)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl
Donor CU,CCCCCCCCCCC(CCCCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor GJ,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc(-c2c(F)c(F)c(-c3cc(C(=O)OCC(CCCCCCCC)CCCCCCCCCC)c(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nsnc67)s5)s4)s3)c3nsnc23)sc1-c1cc(CC(CCCCCC)CCCCCCCC)c(C)s1
Donor DR,CCCCCCCCCCCC(CCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCC)CCCCCCCCCCC)c(-c4cc5sc(C)cc5s4)s3)c3nsnc23)sc1C
Donor BD,CCCCC(CC)COC(=O)c1sc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F
Donor DN,CCCCCCCCc1cc(-c2nnc(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CCCC)CCCCCC)s6)c5s4)s3)nn2)sc1C
Donor DL,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2c(F)c(F)c(-c3ccc(-c4sc(-c5ccc(C)c6c5C(=O)N(CC(CCCCCC)CCCCCCCC)C6=O)cc4CC(CCCCCC)CCCCCCCC)s3)c3nsnc23)s1
Donor FT,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2c(F)c(F)c(-c3ccc(-c4sc(-c5c(F)c(F)c(C)c6c5C(=O)N(CC(CCCCCC)CCCCCCCC)C6=O)cc4CC(CCCCCC)CCCCCCCC)s3)c3nsnc23)s1
Donor IQ,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7ccc(-c8sc(-c9ccc(-c%10cc%11c(-c%12ccc(CC(CC)CCCC)s%12)c%12sc(C)cc%12c(-c%12ccc(CC(CC)CCCC)s%12)c%11s%10)s9)c9c8C(=O)c8c(CC(CC)CCCC)sc(CC(CC)CCCC)c8C9=O)s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor FL,CCCCCCCCC(CCCC)Cc1cc(-c2nc3cc4sc(-c5cc(CC(CCCC)CCCCCCCC)c(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)s5)nc4cc3s2)sc1C
Donor EE,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)sc(C)c2c1F
Donor GO,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CSC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CSC(CC)CCCC)s5)c4s3)sc(C)c2c1F
Donor CS,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F
Donor FU,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CSC(CC)CCCC)sc(CSC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
Donor GK,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7ccc(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(SCC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1
Donor M,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7cc(F)c(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(SCC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1
Donor O,CCCCCCCCC(CCCCCC)COC(=O)c1cc(-c2sc(-c3c(F)c(F)c(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5cc(C(=O)OCC(CCCCCC)CCCCCCCC)c(-c6ccc(-c7c(F)c(F)c(-c8ccc(C)s8)c8nsnc78)s6)s5)s4)c4nsnc34)cc2CC(CCCCCC)CCCCCCCC)sc1C
Donor AQ,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c(F)c5F)s4)s3)c3nn(CCCCCCCC)nc23)sc1C
Donor FC,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccc(-c2cc(-c3c(F)c(F)c(-c4cc(-c5ccc(CC(CCCCCCCCCC)CCCCCCCCCCCC)s5)c(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c(F)c6F)s5)s4)c4nn(CCCCCCCC)nc34)sc2C)s1
Donor AN,CCCCC(CC)CSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(SCC(CC)CCCC)s3)c3cc(C)sc23)cc1F
Donor AO,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cc(CC4CCCCC4)c(C)s3)c(F)c(F)c(-c3cc(CC4CCCCC4)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor FN,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cc(CC4CCCCC4)c(C)s3)c(F)c(F)c(-c3cc(CC4CCCCC4)c(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c2n1
Donor DC,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1
Donor FV,CCCCCCC(CCCC)Cc1cc(-c2cc(CC(CCCC)CCCCCC)c(-c3cc(F)c(-c4sc(C)cc4F)s3)s2)sc1C
Donor DD,CCCCCCCCC(CCCCCC)Cc1cc(-c2cc(CC(CCCCCC)CCCCCCCC)c(-c3cc(F)c(-c4sc(-c5sc(-c6cc(CC(CCCC)CCCCCC)c(C)s6)cc5CC(CCCC)CCCCCC)cc4F)s3)s2)sc1-c1cc(F)c(-c2sc(C)cc2F)s1
Donor DV,CCCCCCCCC(CCCCCC)Cc1cc(-c2cc(CC(CCCCCC)CCCCCCCC)c(-c3cc(F)c(-c4sc(C)cc4F)s3)s2)sc1C
Donor BC,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(-c5ccc(C)s5)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC
Donor HN,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4cc(F)c(-c5sc(C)cc5F)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC
Donor DY,CCCCCCCCOc1ccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(-c5ccc(-c6ccc(C)s6)s5)s4)c3nc2-c2ccc(OCCCCCCCC)c(OCCCCCCCC)c2)cc1OCCCCCCCC
Donor BZ,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1
Donor GL,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1
Donor CT,CCCCC(CC)Cc1sc(-c2c3cc(-c4cc(C(=O)OCC)c(C)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
Donor ER,CCCCCCCCc1cc(-c2sc(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)cc6c(cc(-c7ccc(SCC(CC)CCCC)s7)c7cc(C)sc76)c5s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1C
Donor FD,CCCCCCCCc1c(C)sc2cc(-c3sc(-c4cc5sc(-c6cc7c(-c8ccc(SCC(CC)CCCC)s8)cc8c(cc(-c9ccc(SCC(CC)CCCC)s9)c9cc(C)sc98)c7s6)c(CCCCCCCC)c5s4)c4c3C(=O)c3c(CC(CC)CCCC)sc(CC(CC)CCCC)c3C4=O)sc12
Donor IW,CCCCCCCCc1cc(-c2sc(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CC)CCCC)cc6)cc6c(cc(-c7ccc(SCC(CC)CCCC)cc7)c7cc(C)sc76)c5s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1C
Donor AS,CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor BU,CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor FF,CCCCC(CC)COc1cccc(-c2nc3c(-c4ccc(C)s4)cc4c(cc(-c5ccc(-c6cc(F)c(-c7sc(C)cc7F)s6)s5)c5nc(-c6cccc(OCC(CC)CCCC)c6)c(-c6cccc(OCC(CC)CCCC)c6)nc54)c3nc2-c2cccc(OCC(CC)CCCC)c2)c1
Donor CM,CCCCCCCCC(CCCCCC)Cn1c(=O)c2cc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc2c2sc(C)cc21
Donor EL,CCCCCCCCc1cc(-c2cc3c(s2)c2sc(-c4cc(CCCCCCCC)c(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)cc2c(=O)n3CC(CCCCCC)CCCCCCCC)sc1C
Donor IX,CCCCCCCCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F
Donor AH,CCCCC(CC)Cc1cc(-c2sc(-c3cc(CC(CC)CCCC)c(-c4ccc(-c5cc(F)c(-c6ccc(C)s6)cc5F)s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1C
Donor DZ,CCCCC(CC)Cc1cc(-c2sc(-c3cc(CC(CC)CCCC)c(-c4ccc(-c5ccc(-c6ccc(C)s6)c(F)c5F)s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1C
Donor IO,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CCCC)CCCCCC)cc3)c3cc(C)sc23)cc1
Donor FY,CCCCCCc1c(C)sc(-c2cc3c(OCC(CC)CCCC)c4sc(C)cc4c(OCC(CC)CCCC)c3s2)c1F
Donor HP,CCCCCCc1c(C)sc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(C)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)c1F
Donor AX,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)[se]6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)[se]6)c5s4)s3)c2n1
Donor BK,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)[se]3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)[se]3)c2n1
Donor DH,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7cc(F)c(CC(CC)CCCC)s7)c(-c7cc(F)c(CC(CC)CCCC)s7)nc56)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor K,CCCCCCCCc1c(C)sc2cc(-c3sc(-c4cc5sc(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)c(CCCCCCCC)c5s4)c4c3C(=O)N(CC(CCCCCC)CCCCCCCC)C4=O)sc12
Donor IA,CC#C/C1=C2\C=CC(=N2)C(c2cc(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c2)=c2ccc3n2[Zn]n2c1ccc2/C(c1cc(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c1)=C1/C=CC(=N1)C=3C#Cc1ccc(C2=C3C(=O)N(CCCCCCCCCCCCCCCC)C(c4ccc(C)cn4)=C3C(=O)N2CCCCCCCCCCCCCCCC)nc1
Donor IT,CCCCCCCCCCC(CCCCCCCC)Cn1nc2c3cc(C)sc3c3sc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)cc3c2n1
Donor HJ,CCCCCCCCCCC(CCCCCCCC)Cn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1
