Acceptor,SMILES
Acceptor OL,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)sc2-4)cc1
Acceptor UP,CCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c1OCCCCCC
Acceptor NR,CCCCCCCCn1nc2c(/C=C3/SC(=S)N(CC)C3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C6/SC(=S)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1
Acceptor NK,CCCCCCCCn1nc2c(/C=C3/SC(=O)N(CC)C3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C6/SC(=O)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1
Acceptor LD,CCCCCCC1(CCCCCC)c2cc(N3C(=O)c4cccc5c(C#Cc6ccc(-c7cc8c(cc(-c9ccc(C#Cc%10ccc%11c%12c(cccc%10%12)C(=O)N(c%10ccc%12c(c%10)C(CCCCCC)(CCCCCC)C%10C=CC=CC%12%10)C%11=O)s9)c9nsnc98)c8nsnc78)s6)ccc(c45)C3=O)ccc2C2C=CC=CC21
Acceptor IB,CCCCCCC1(CCCCCC)c2cc(N3C(=O)c4cccc5c(C#Cc6sc(-c7cc8c(cc(-c9sc(C#Cc%10ccc%11c%12c(cccc%10%12)C(=O)N(c%10ccc%12c(c%10)C(CCCCCC)(CCCCCC)C%10C=CC=CC%12%10)C%11=O)c(F)c9F)c9nsnc98)c8nsnc78)c(F)c6F)ccc(c45)C3=O)ccc2C2C=CC=CC21
Acceptor OJ,CCCCCCc1cc(-c2cc3c(cc(-c4cc(CCCCCC)c(C#Cc5ccc6c7c(cccc57)C(=O)N(c5ccc7c(c5)C(CCCCCC)(CCCCCC)C5C=CC=CC75)C6=O)s4)c4nsnc43)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CCCCCC)(CCCCCC)C1C=CC=CC31)C2=O
Acceptor VG,CCCCCCC1(CCCCCC)c2cc(N3C(=O)c4cccc5c(C#Cc6sc(-c7cc8c(cc(-c9cc(CC(CC)CCCC)c(C#Cc%10ccc%11c%12c(cccc%10%12)C(=O)N(c%10ccc%12c(c%10)C(CCCCCC)(CCCCCC)C%10C=CC=CC%12%10)C%11=O)s9)c9nsnc98)c8nsnc78)cc6CC(CC)CCCC)ccc(c45)C3=O)ccc2C2C=CC=CC21
Acceptor GV,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor UI,CCCCCCOc1cccc(C2(c3cccc(OCCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(OCCCCCC)c2)(c2cccc(OCCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1
Acceptor IK,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)c(F)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(OCCCCCC)c(F)c2)(c2ccc(OCCCCCC)c(F)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1F
Acceptor SJ,CCCCCCCC(CCCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCCC)CCCCCCC)C(=O)C(C=C4)C15
Acceptor CQ,CCC(CC)N1C(=O)c2c(CCC(C)(C)C)cc3c4c5c(c6cc(CCC(C)(C)C)c(c2c36)C1=O)=CC(CCC(C)(C)C)=C1C(=O)N(C(CC)CC)C(=O)C(C(CCC(C)(C)C)=C4)C15
Acceptor SZ,CCCCN1C2=CC3C(=O)c4ccccc4N(CCCC)C3C=C2C(=O)C2C=CC=CC21
Acceptor UE,CCCCCCN1C2=CC3C(=O)c4ccccc4N(CCCCCC)C3C=C2C(=O)C2C=CC=CC21
Acceptor LC,CCCCCCCCN1C2=CC3C(=O)c4ccccc4N(CCCCCCCC)C3C=C2C(=O)C2C=CC=CC21
Acceptor FL,CCCCCCc1ccc(-c2ccc(-c3ccc(-c4cc5c6c(c(-c7ccc(-c8ccc(-c9ccc(CCCCCC)s9)s8)s7)cc7c6c4C(=O)N(CC(CC)CCCC)C7=O)C(=O)N(CC(CC)CCCC)C5=O)s3)s2)s1
Acceptor LM,CCCCC(CC)CN1C(=O)c2cccc3c(-c4ccc(/C(C#N)=C/c5ccc(/C=C(\C#N)c6ccc(-c7ccc8c9c(cccc79)C(=O)N(CC(CC)CCCC)C8=O)s6)cc5)s4)ccc(c23)C1=O
Acceptor TP,CCCCC(CC)CN1C(=O)c2cccc3c(-c4ccc(/C(C#N)=C/c5cc(OC)c(/C=C(\C#N)c6ccc(-c7ccc8c9c(cccc79)C(=O)N(CC(CC)CCCC)C8=O)s6)cc5OC)s4)ccc(c23)C1=O
Acceptor JK,CCCCCCOc1cc(/C=C(\C#N)c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CC(CC)CCCC)C4=O)s2)c(OCCCCCC)cc1/C=C(\C#N)c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CC(CC)CCCC)C3=O)s1
Acceptor NL,CCCCCCC(CCCC)CN1C(=O)c2ccc3c4c(ccc(c24)C1=O)-c1c-3nc2cc3c(-c4ccccc4)c4c(nc3cc2c1-c1ccccc1)-c1ccc2c3c(ccc-4c13)C(=O)N(CC(CCCC)CCCCCC)C2=O
Acceptor GE,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)c2ccc3c4c(ccc(c24)C1=O)-c1c-3nc2cc3c(-c4ccccc4)c4c(nc3cc2c1-c1ccccc1)-c1ccc2c3c(ccc-4c13)C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O
Acceptor BZ,CCCCC(CC)CN1C(=O)c2ccc3c4c(c(/C=C/c5cc6c7c(ccc8c7c5C(=O)N(CC(CC)CCCC)C8=O)C(=O)N(CC(CC)CCCC)C6=O)cc(c24)C1=O)C(=O)N(CC(CC)CCCC)C3=O
Acceptor BL,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(C)c(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(C)c(C)cc5C4=C(C#N)C#N)sc23)cc1
Acceptor SE,CCCCCCc1cc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cs1
Acceptor SP,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cccc(OC)c7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cccc(OC)c5C4=C(C#N)C#N)sc23)cc1
Acceptor ME,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1
Acceptor EX,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(OC)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(OC)ccc5C4=C(C#N)C#N)sc23)cc1
Acceptor DP,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(OC)cccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(OC)cccc5C4=C(C#N)C#N)sc23)cc1
Acceptor QD,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1
Acceptor T,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor CC,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
Acceptor HX,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(F)cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4ccc(F)cc4C2=C(C#N)C#N)sc1-3
Acceptor BT,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(Cl)cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4ccc(Cl)cc4C2=C(C#N)C#N)sc1-3
Acceptor TO,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccc(Br)cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4ccc(Br)cc4C2=C(C#N)C#N)sc1-3
Acceptor MH,CCCCCCCCc1c2sc3c(c2c(CCCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c5cc6ccccc6cc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4cc5ccccc5cc4C2=C(C#N)C#N)sc1-3
Acceptor EU,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5cc6ccccc6cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4cc5ccccc5cc4C2=C(C#N)C#N)sc1-3
Acceptor CG,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc23)c1
Acceptor BV,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)c1
Acceptor JY,CCCCCC(CC)COc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1sc(-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3OCC(CC)CCCCC)cc1[Si]2(CC(CC)CCCC)CC(CC)CCCC
Acceptor QZ,CCCCCC(CC)COc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1sc(-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3OCC(CC)CCCCC)cc1C2(CC(CC)CCCC)CC(CC)CCCC
Acceptor G,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccc(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccc(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor NN,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor GW,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc23)cc1
Acceptor TA,CCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1
Acceptor DD,CCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6sc(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)cc6OCC(CC)CCCC)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4sc(C=C5C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4OCC(CC)CCCC)sc23)cc1
Acceptor RG,CCCCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c1OCCCCCCCC
Acceptor FZ,CCCCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)c1OCCCCCCCC
Acceptor RT,CCCCCCCCOc1c(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)c1OCCCCCCCC
Acceptor GN,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(N1C(=O)C2=CCc3c5c7c8c(ccc7c7ccc(c2c37)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C8=CC5)C(=O)C6=CC4
Acceptor KD,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1cc2c3c4c(c5c6c7c(ccc6c14)C(=O)N(C(CCCCC)CCCCC)C(=O)C7=CC5)CC=C3C(=O)N(C(CCCCC)CCCCC)C2=O
Acceptor NC,CCCCC(CC)CN1C(=O)C2=C(c3ccc(C4=CC5C(C=C4)c4ccc(-c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)cc4C54c5cc(-c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)ccc5C5C=CC(c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)=CC54)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1
Acceptor UJ,CCCCCCCCN1C(=O)C2=C(c3ccc(C4=CC5C(C=C4)c4ccc(-c6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)cc4C54c5cc(-c6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)ccc5C5C=CC(c6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)=CC54)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1
Acceptor RH,CCCCCCCCCCCCN1C(=O)C2=C(c3ccc(C4=CC5C(C=C4)c4ccc(-c6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)cc4C54c5cc(-c6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)ccc5C5C=CC(c6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)=CC54)s3)N(CCCCCCCCCCCC)C(=O)C2=C1c1cccs1
Acceptor AF,CCCCC(CC)CN1C(=O)C2=C(c3ccc(C#CC4=CC5C(C=C4)c4ccc(C#Cc6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)cc4C54c5cc(C#Cc6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)ccc5C5C=CC(C#Cc6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)=CC54)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1
Acceptor VQ,CCCCCCCCN1C(=O)C2=C(c3ccc(C#CC4=CC5C(C=C4)c4ccc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)cc4C54c5cc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)ccc5C5C=CC(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)=CC54)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1
Acceptor LS,CCCCCCCCCCCCN1C(=O)C2=C(c3ccc(C#CC4=CC5C(C=C4)c4ccc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)cc4C54c5cc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)ccc5C5C=CC(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)=CC54)s3)N(CCCCCCCCCCCC)C(=O)C2=C1c1cccs1
Acceptor HA,CCCCCCc1cc(-c2cc3c(cc(-c4cc(CCCCCC)c(C#Cc5ccc6c7c(cccc57)C(=O)N(c5ccc7c(c5)C(CCCC)(CCCC)c5ccccc5-7)C6=O)s4)c4nsnc43)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CCCC)(CCCC)c1ccccc1-3)C2=O
Acceptor LE,CCCCCCc1cc(-c2ccc(-c3cc(CCCCCC)c(C#Cc4ccc5c6c(cccc46)C(=O)N(c4ccc6c(c4)C(CCCC)(CCCC)c4ccccc4-6)C5=O)s3)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CCCC)(CCCC)c1ccccc1-3)C2=O
Acceptor ID,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc4c5ccc6c7c(ccc(c8cccc3c84)c75)C(=O)N(c3c(C(C)C)cccc3C(C)C)C6=O)ccc2C2C=CC(c3ccc4c5ccc6c7c(ccc(c8cccc3c84)c75)C(=O)N(c3c(C(C)C)cccc3C(C)C)C6=O)=CC21
Acceptor AJ,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4/SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=C4/SC(=S)N(CC)C4=O)c4nsnc34)cc21
Acceptor AP,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nn(CCCCCCCC)nc23)c(=O)n1CC
Acceptor EY,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(CCCCCC)c(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c(CCCCCC)c(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor PD,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3cc4c(cc32)-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor OT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4ccc(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)s4)sc3-c3cc4c(cc32)-c2sc(-c3ccc(/C=C5/C(=O)c6ccccc6C5=C(C#N)C#N)s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor VB,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4cc5sc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)cc5s4)sc3-c3cc4c(cc32)-c2sc(-c3cc5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor DV,CCCCC1(CCCC)c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2-c2c1c1c(c3c2C(CCCC)(CCCC)c2cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)ccc2-3)C(CCCC)(CCCC)c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2-1
Acceptor NO,CCCCC1(CCCC)c2ccc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc2-c2c1c1c(c3c2C(CCCC)(CCCC)c2ccc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc2-3)C(CCCC)(CCCC)c2ccc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc2-1
Acceptor NQ,COC1=CC2c3cc(OC)ccc3C(=C3c4cc5ccccc5cc4-c4cc5ccccc5cc43)C2C=C1
Acceptor AC,CCCCCCCCN1C(=O)c2c(c(-c3cccs3)c3c(c2-c2cccs2)-c2cccc4c(C#N)ccc-3c24)C1=O
Acceptor CN,CCCCC(CC)CN1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cccc(N(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c78)C=CC3C(=O)N(CC(CC)CCCC)C(=O)C(=CC=9)C%103)C(=O)N(CC(CC)CCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(CC(CC)CCCC)C(=O)C(C=C9)C3%10)C(=O)N(CC(CC)CCCC)C6=O)cc2)c1)C=C1C(=O)N(CC(CC)CCCC)C(=O)C(C=C4)C15
Acceptor UC,C1=C(c2ccccc2)/C(=N/c2c(-c3ccccc3)cc(-c3ccccc3)n2[Zn]n2c(-c3ccccc3)cc(-c3ccccc3)c2/N=C2\N=C(c3ccccc3)C=C2c2ccccc2)N=C1c1ccccc1
Acceptor AZ,C(#Cc1ccccc1)C1=C(c2ccccc2)/C(=N/c2c(-c3ccccc3)c(C#Cc3ccccc3)c(-c3ccccc3)n2[Zn]n2c(/N=C3\N=C(c4ccccc4)C(C#Cc4ccccc4)=C3c3ccccc3)c(-c3ccccc3)c(C#Cc3ccccc3)c2-c2ccccc2)N=C1c1ccccc1
