Acceptor,SMILES
Acceptor FM,CCCCCCSc1ccc(C2(c3ccc(SCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCC)cc2)(c2ccc(SCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor UR,CCCCCCCCSc1ccc(C2(c3ccc(SCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCCCC)cc2)(c2ccc(SCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor FY,CCCCC(CC)CSc1ccc(C2(c3ccc(SCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CC)CCCC)cc2)(c2ccc(SCC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor N,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
Acceptor UK,CCCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c5cc6c(cc5n(C(CCCCCCCC)CCCCCCCC)c4cc3-c3sc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCCCC)cc2)cc1
Acceptor QS,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2cc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCC)CCCCC)C9=O)C=CC6C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C3)C76)ccc2C2C=C(c3cc6c7c(ccc8c9c%10c(c3c78)C=CC3C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=9)C%103)C(=O)N(C(CCCCC)CCCCC)C6=O)C=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
Acceptor WT,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)cc(-c2cc3c6c(ccc7c8c9c(c2c76)=CC=C2C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C8)C29)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
Acceptor HV,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)c2)cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
Acceptor TY,CCCC(CCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCC)CCC)C(=O)C(C(c2ccc(C(c3ccc(C6=Cc7c8c(c9ccc%10c%11c(ccc7c%119)C(=O)N(C(CCC)CCC)C%10=O)=CC=C7C(=O)N(C(CCC)CCC)C(=O)C6C78)cc3)(c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)cc2)=C4)C15
Acceptor EF,CCCC(CCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCC)CCC)C(=O)C(C(c2ccc([Si](c3ccc(C6=Cc7c8c(c9ccc%10c%11c(ccc7c%119)C(=O)N(C(CCC)CCC)C%10=O)=CC=C7C(=O)N(C(CCC)CCC)C(=O)C6C78)cc3)(c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)c3ccc(-c6cc7c8c9c(c%10ccc%11c(c6C(=O)N(C(CCC)CCC)C%11=O)c%107)C=CC6C(=O)N(C(CCC)CCC)C(=O)C(=CC=8)C96)cc3)cc2)=C4)C15
