ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),HOMO_n(eV),LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),HOMO_p(eV),LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,n(labels),p(labels)
1,1,6.93,6.86,16.35,0.5,0.865,-5.67,-3.89,1.76,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,1019.38,-5.15,-3.31,1.84,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,248,73
2,1,3.09,2.98,10.31,0.38,0.794,-5.68,-3.92,1.76,CCOCCOCCOCC1(COCCOCCOCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,1031.21,-5.15,-3.31,1.84,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,101,73
3,2,8.33,8.12,15.28,0.69,0.79,-5.54,-3.84,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.45,-3.56,1.89,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5o4)s3)c2n1,41.1,21.4,1.92,21,217
4,3,8.67,8.35,14,0.579,1.07,-5.51,-3.88,1.63,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,1326.02,-5.46,-3.69,1.77,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(SCCCCCCCC)s7)c7sc(C)cc7c(-c7ccc(SCCCCCCCC)s7)c6o5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,42.8,16.4,2.61,160,235
5,4,8.46,8.33,13.95,0.601,1.01,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.47,-3.61,1.86,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(Cl)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(Cl)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,87.5,44,1.99,21,72
6,4,6.91,6.8,14.76,0.571,0.82,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,21,48
7,5,0.7,0.7,2.7,0.43,0.646,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.2,-3.61,1.59,CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1,22.9,18.3,1.2,127,10
8,5,2.6,2.6,7.1,0.4,0.911,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.2,-3.6,1.6,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,127,73
9,5,3.8,3.8,10,0.42,0.905,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.5,-3.9,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,127,48
10,5,1.8,1.8,5.9,0.38,0.786,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.4,-3.6,1.82,CCCCCCCCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CCCCCCCCCCCCCC)nc2s1,50,25,2,127,35
