,SMILE,R_grp_SMILES,Name,Comments,R_grp_BigSMILES
10,SCC(CCCCCC)CCCCc%88sc(c%89c%90cc(C)sc%90c(c%91sc(CC(CCCCCC)CCCCCCCC)cc%91)c%92cc(c%93ccc(c%94c%95nn(SCC(CCCCCC)CCCC)nc%95c(c%96ccc(C)s%96)c(F)c%94F)s%93)sc%92%89)cc%88,[R7]c%88sc(c%89c%90cc(C)sc%90c(c%91sc([R1])cc%91)c%92cc(c%93ccc(c%94c%95nn([R7])nc%95c(c%96ccc(C)s%96)c(F)c%94F)s%93)sc%92%89)cc%88,PSBZ,,{[R7]c%88sc(c%89c%90cc([$])sc%90c(c%91sc([R1])cc%91)c%92cc(c%93ccc(c%94c%95nn([R7])nc%95c(c%96ccc([$])s%96)c(F)c%94F)s%93)sc%92%89)cc%88}
11,SCC(CCCCCC)CCCCc%97sc(c%98c%99cc(C)sc%99c(c1sc(SCC(CCCCCC)CCCC)cc1)c1cc(c2c(CCCCCCCC)cc(c3c4nsnc4c(c4cc(CCCCCCCC)c(C)s4)c(F)c3F)s2)sc1%98)cc%97,[R7]c%97sc(c%98c%99cc(C)sc%99c(c1sc([R7])cc1)c1cc(c2c([R2])cc(c3c4nsnc4c(c4cc([R2])c(C)s4)c(F)c3F)s2)sc1%98)cc%97,PBDT-FBT,,{[R7]c%97sc(c%98c%99cc([$])sc%99c(c1sc([R7])cc1)c1cc(c2c([R2])cc(c3c4nsnc4c(c4cc([R2])c([$])s4)c(F)c3F)s2)sc1%98)cc%97}
12,Cc1sc2c(c3sc(SSCC(CCCCCC)CCCC)cc3)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCC(CCCCCC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R7])cc3)c2c1,PBDTS-FBT,,{([$])c1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c([$])s6)c(F)c5F)s4)sc3c(c3sc(S[R7])cc3)c2c1}
13,SCC(CCCCCC)CCCCc1sc(c2c3cc(C)sc3c(c3sc(S)c(F)c3)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)sc32)cc1F,[R7]c1sc(c2c3cc(C)sc3c(c3sc(S)c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc32)cc1F,PBDTF-FBT,,{[R7]c1sc(c2c3cc([$])sc3c(c3sc(S)c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c([$])s6)c(F)c5F)s4)sc32)cc1F}
14,Cc1sc2c(c3sc(SSCC(CCCCCC)CCCC)c(F)c3)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCC(CCCCCC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc(S[R7])c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R7])c(F)c3)c2c1,PBDTSF-FBT,,{([$])c1sc2c(c3sc(S[R7])c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c([$])s6)c(F)c5F)s4)sc3c(c3sc(S[R7])c(F)c3)c2c1}
15,CC(CC)CCCCc1sc(c2c3cc(C)sc3c(c3sc(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1F,[R4]c1sc(c2c3cc(C)sc3c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1F,J52-F,,{[R4]c1sc(c2c3cc([$])sc3c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc32)cc1F}
16,Cc1sc2c(c3sc(SCC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SCC(CC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc(S[R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R4])c(F)c3)c2c1,J52-FS,,{([$])c1sc2c(c3sc(S[R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc(S[R4])c(F)c3)c2c1}
17,Cc1sc2c(c3sc(SSCCCCCCCCCCCC)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)o6)c(F)c5F)o4)sc3c(c3sc(SSCCCCCCCCCCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R5])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)o6)c(F)c5F)o4)sc3c(c3sc(S[R5])cc3)c2c1,J61-F,,{([$])c1sc2c(c3sc(S[R5])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])o6)c(F)c5F)o4)sc3c(c3sc(S[R5])cc3)c2c1}
18,[Si](CC)(CC)(CC)c1sc(c2c3cc(C)sc3c(c3sc([Si](CC)(CC)(CC))cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R8]c1sc(c2c3cc(C)sc3c(c3sc([R8])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J70,,{[R8]c1sc(c2c3cc([$])sc3c(c3sc([R8])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc32)cc1}
19,[Si](C(C)C)(C(C)C)C(C)Cc1sc(c2c3cc(C)sc3c(c3sc([Si](C(C)C)(C(C)C)C(C)C)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R9]c1sc(c2c3cc(C)sc3c(c3sc([R9])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J72,,{[R9]c1sc(c2c3cc([$])sc3c(c3sc([R9])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc32)cc1}
20,[Si](CCCC)(CCCC)(CCCC)c1sc(c2c3cc(C)sc3c(c3sc([Si](CCCC)(CCCC)(CCCC))cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R10]c1sc(c2c3cc(C)sc3c(c3sc([R10])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J73,,{[R10]c1sc(c2c3cc([$])sc3c(c3sc([R10])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc32)cc1}
21,[Si](C)(C)CCCCCCCCc1sc(c2c3cc(C)sc3c(c3sc([Si](C)(C)CCCCCCCC)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R11]c1sc(c2c3cc(C)sc3c(c3sc([R11])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J74,,{[R11]c1sc(c2c3cc([$])sc3c(c3sc([R11])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc32)cc1}
22,Cc1sc2c(c3sc(SCCCCCCCC)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SCCCCCCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R2])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R2])cc3)c2c1,J62,,{([$])c1sc2c(c3sc(S[R2])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc(S[R2])cc3)c2c1}
23,Cc1sc2c(c3sc(SSCCCCC=C)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCCCCC=C)cc3)c2c1,Cc1sc2c(c3sc(S[R12])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R12])cc3)c2c1,J63,,{([$])c1sc2c(c3sc(S[R12])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc(S[R12])cc3)c2c1}
24,Cc1sc2c(c3sc(SSCC4CCCCC4)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCC4CCCCC4)cc3)c2c1,Cc1sc2c(c3sc(S[R13])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R13])cc3)c2c1,J64,,{([$])c1sc2c(c3sc(S[R13])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc(S[R13])cc3)c2c1}
25,Cc1sc2c(OCC(CC)CCCC)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R4])c2c1,PBDT-DODTBT,,{([$])c1sc2c(O[R4])c3cc(c4ccc(c5c6nsnc6c(c6ccc([$])s6)c(O[R2])c5O[R2])s4)sc3c(O[R4])c2c1}
26,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT,,{([$])c1sc2c(O[R5])c3cc(c4ccc(c5c6nsnc6c(c6ccc([$])s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1}
27,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(CCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R14])cc(c5c6nsnc6c(c6cc([R14])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C6,,{([$])c1sc2c(O[R5])c3cc(c4c([R14])cc(c5c6nsnc6c(c6cc([R14])c([$])s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1}
28,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C8,,{([$])c1sc2c(O[R5])c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c([$])s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1}
29,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(CCCCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R15])cc(c5c6nsnc6c(c6cc([R15])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C10,,{([$])c1sc2c(O[R5])c3cc(c4c([R15])cc(c5c6nsnc6c(c6cc([R15])c([$])s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1}
30,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(SCCCCCCCCCCCC)cc(c5c6nsnc6c(c6cc(SCCCCCCCCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R5])cc(c5c6nsnc6c(c6cc([R5])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C12,,{([$])c1sc2c(O[R5])c3cc(c4c([R5])cc(c5c6nsnc6c(c6cc([R5])c([$])s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1}
31,Cc1sc2c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c3cc(c4c5nsnc5c(C)c(F)c4F)sc3c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4c5nsnc5c(C)c(F)c4F)sc3c(c3sc([R2])c([R2])c3)c2c1,P0T,,{([$])c1sc2c(c3sc([R2])c([R2])c3)c3cc(c4c5nsnc5c([$])c(F)c4F)sc3c(c3sc([R2])c([R2])c3)c2c1}
32,Cc1sc2c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c3cc(c4ccc(c5c(F)c(F)c(C)c6c5nsn6)s4)sc3c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(C)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1,P1T,,{([$])c1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c([$])c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1}
33,Cc1sc2c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c3cc(c4ccc(c5c(F)c(F)c(c6ccc(C)s6)c6c5nsn6)s4)sc3c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(c6ccc(C)s6)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1,P2T,,{([$])c1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(c6ccc([$])s6)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1}
34,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4cc(C(OSCC(CCCCCC)CCCC)=O)c(c5sc(C)cc5)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc(C)cc5)s4)sc3c(c3sc([R4])cc3)c2c1,PBDT-2TC,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc([$])cc5)s4)sc3c(c3sc([R4])cc3)c2c1}
35,Cc1sc2c(c3sc(SCC(CC)CCCC)cc3)c3cc(c4cc(C(OSCC(CCCCCC)CCCC)=O)c(c5sc(C)cc5)s4)sc3c(c3sc(SCC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc(C)cc5)s4)sc3c(c3sc(S[R4])cc3)c2c1,PBDT-S-2TC,,{([$])c1sc2c(c3sc(S[R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc([$])cc5)s4)sc3c(c3sc(S[R4])cc3)c2c1}
36,SCC(CCCCCC)CCCCc1sc(c2c3cc(C)sc3c(c3sc(SCC(CCCCCC)CCCC)cc3)c3cc(c4c(CCCCCCCC)cc(c5sc(c6cc(CCCCCCCC)c(C)s6)nn5)s4)sc32)cc1,[R7]c1sc(c2c3cc(C)sc3c(c3sc([R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c(C)s6)nn5)s4)sc32)cc1,PBDT-TDZ,,{[R7]c1sc(c2c3cc([$])sc3c(c3sc([R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c([$])s6)nn5)s4)sc32)cc1}
37,Cc1sc2c(c3sc(SSCC(CCCCCC)CCCC)cc3)c3cc(c4c(CCCCCCCC)cc(c5sc(c6cc(CCCCCCCC)c(C)s6)nn5)s4)sc3c(c3sc(SSCC(CCCCCC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c(C)s6)nn5)s4)sc3c(c3sc(S[R7])cc3)c2c1,PBDTS-TDZ,,{([$])c1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c([$])s6)nn5)s4)sc3c(c3sc(S[R7])cc3)c2c1}
38,Cc1sc2c(c3sc(SCC(CC)CCCC)cc3)c3cc(C)sc3c(c3sc(SCC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(C)sc3c(c3sc(S[R4])cc3)c2c1,S-PBDT,,{([$])c1sc2c(c3sc(S[R4])cc3)c3cc([$])sc3c(c3sc(S[R4])cc3)c2c1}
39,Cc1sc2c(OCC(CC)CCCC)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(OCCCCCCCC)c5OCCCCCCCC)o4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(O[R4])c2c1,PBDT-DFBO,,{([$])c1sc2c(O[R4])c3cc(c4ccc(c5c6nonc6c(c6ccc([$])o6)c(O[R2])c5O[R2])o4)sc3c(O[R4])c2c1}
40,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(OCCCCCCCC)c5OCCCCCCCC)o4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(c3sc([R4])cc3)c2c1,PBDTT-DFBO,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc([$])o6)c(O[R2])c5O[R2])o4)sc3c(c3sc([R4])cc3)c2c1}
41,Cc1sc2c(c3oc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(OCCCCCCCC)c5OCCCCCCCC)o4)sc3c(c3oc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3oc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(c3oc([R4])cc3)c2c1,PBDTF-DFBO,,{([$])c1sc2c(c3oc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc([$])o6)c(O[R2])c5O[R2])o4)sc3c(c3oc([R4])cc3)c2c1}
