,Match,Named,Matched,nomatch1,nomatch2
140,IDT-2BR1,FTIC-C6C6,IDT-2BR1,,
141,ATT-2,FTIC-C6C8,ATT-2,,
142,T1,IXIC,T1,,
143,T2,IXIC-4Cl,T2,,
144,T3,ITTC,T3,,
145,ATT-1,ITIC-OE,ATT-1,,
146,IC-C6IDT-IC,ITIC-OM-1,IC-C6IDT-IC,,ITIC-OM-1
147,IDT-BT-R,ITIC-OM-2,IDT-BT-R,,ITIC-OM-2
148,IDT-BT-R-CN,ITIC-OM-3,,IDT-BT-R-CN,ITIC-OM-3
149,I-IDTBTRh,ITIC-OM-4,I-IDTBTRh,,ITIC-OM-4
150,BTA1,ITCT-DM,BTA1,,
151,BTA2,ITCPTC-Th,,BTA2,
152,IEIC1,IDNO-IDT,IEIC1,,
153,IEIC2,IM1-IDT,IEIC2,,
154,IEIC3,ITAN-IDT,IEIC3,,
155,IT-DM,ITCPTC-Se,IT-DM,,
156,ITIC-SC6,IFTIC,ITIC-SC6,,
157,ITIC-SC8,IDT-2BM,ITIC-SC8,,
158,ITIC-SC2C6,IDTT-2BM,ITIC-SC2C6,,
159,IT-F,IDT-Tz,IT-F,,
160,IT-2F,IDT-N,IT-2F,,
161,DICTiF,IDT-T-N,DICTiF,,
162,BAF-4CN,IDT-EDOT,BAF-4CN,,
163,DCF-2HT,IDT-PDOT,DCF-2HT,,
164,ITIC2,IDT-C6,ITIC2,,
165,BT-CIC,IDT-PhC6,BT-CIC,,
166,IDIC1,IDCIC,IDIC1,,
167,IHIC1,FDNCTF,IHIC1,,
168,NTIC,DTNR,,NTIC,
169,NTIC-Me,DTNIC6,NTIC-Me,,
170,NTIC-OMe,DTCC-IC,NTIC-OMe,,
171,NTIC-F,DNIT-TT2T,NTIC-F,,
172,IT-IC,Py-1,,IT-IC,
173,BDT-IC,DCI-2,BDT-IC,,
174,IT-4Cl,DC-IDT2F,,IT-4Cl,
175,NCBDT-4Cl,IM-IDT,,NCBDT-4Cl,
176,Y6,TIM-IDT,Y6,,
177,ITC6-IC,COTIC-4F,ITC6-IC,,
178,ATT-6,SiOTIC-4F,ATT-6,,
179,ATT-7,IDIC-4F,ATT-7,,
180,Y1,IDIC-4Cl,Y1,,
181,Y2,NFBDT-Me,Y2,,
182,BDTS-4Cl,BDTIT-M,BDTS-4Cl,,
183,BDTC-4Cl,TTIC-F,BDTC-4Cl,,
184,BTA701,BDT-IC,BTA701,,
185,BTA3,IFT-M,,BTA3,
186,BTA703,IFT-ECA,BTA703,,
187,Py-1,IFT-IC,Py-1,,
188,Py-2,IFT-TH,Py-2,,
189,C8-ITIC,CzC6C8,C8-ITIC,,
190,ICz-Rd2,CZC8,ICz-Rd2,,
191,ICz-RdCN2,IDTC,ICz-RdCN2,,
192,DF-TCIC,IDTO,DF-TCIC,,
193,HF-TCIC,BTA7,HF-TCIC,,
194,m-ITIC-OR-4Cl,BT2,m-ITIC-OR-4Cl,,
195,BIBT-NI,BT2b,BIBT-NI,,
196,ITIC-F,CDTCN,,ITIC-F,
197,ITDM,IEIC1,,ITDM,
198,ITCF,BTA100,ITCF,,
199,ACS8,BTA101,ACS8,,
200,IDNO-IDT,BTA103,IDNO-IDT,,
201,IM1-IDT,4TIC,IM1-IDT,,
202,ITAN-IDT,COi8DFIC,ITAN-IDT,,
203,NFDTS,IDT-2BR1,NFDTS,,
204,NFDTSB,ATT-2,NFDTSB,,
205,DTNIF,ACS8,DTNIF,,
206,DTNSF,T2,DTNSF,,
207,Si4TIC-F,T3,Si4TIC-F,,
208,IDT-FBTR,T1,,IDT-FBTR,
209,BT-F,ATT-1,BT-F,,
210,BT-2F,IDIC,BT-2F,,
211,BT3,IDT-BT-R,BT3,,
212,Qx1,ITBTR-C6,Qx1,,
213,Qx1b,I-IDTBTRh,Qx1b,,
214,BTA21,BTA1,BTA21,,
215,BTA23,IEIC2,BTA23,,
