SMILE,R_grp_SMILES,Name,Comments (Stanley),Duplicates (Dylan),
Cc1sc2c(c3sc(SSCC(CCCCCC)CCCC)cc3)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCC(CCCCCC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R7])cc3)c2c1,PBDTS-FBT,,,
SCC(CCCCCC)CCCCc1sc(c2c3cc(C)sc3c(c3sc(S)c(F)c3)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)sc32)cc1F,[R7]c1sc(c2c3cc(C)sc3c(c3sc(S)c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc32)cc1F,PBDTF-FBT,,,
Cc1sc2c(c3sc(SSCC(CCCCCC)CCCC)c(F)c3)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCC(CCCCCC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc(S[R7])c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R7])c(F)c3)c2c1,PBDTSF-FBT,,,
CC(CC)CCCCc1sc(c2c3cc(C)sc3c(c3sc(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1F,[R4]c1sc(c2c3cc(C)sc3c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1F,J52-F,,,
Cc1sc2c(c3sc(SCC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SCC(CC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc(S[R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R4])c(F)c3)c2c1,J52-FS,,,
Cc1sc2c(c3sc(SSCCCCCCCCCCCC)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)o6)c(F)c5F)o4)sc3c(c3sc(SSCCCCCCCCCCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R5])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)o6)c(F)c5F)o4)sc3c(c3sc(S[R5])cc3)c2c1,J61-F,,,
[Si](CC)(CC)(CC)c1sc(c2c3cc(C)sc3c(c3sc([Si](CC)(CC)(CC))cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R8]c1sc(c2c3cc(C)sc3c(c3sc([R8])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J70,,,
[Si](C(C)C)(C(C)C)C(C)Cc1sc(c2c3cc(C)sc3c(c3sc([Si](C(C)C)(C(C)C)C(C)C)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R9]c1sc(c2c3cc(C)sc3c(c3sc([R9])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J72,,,
[Si](CCCC)(CCCC)(CCCC)c1sc(c2c3cc(C)sc3c(c3sc([Si](CCCC)(CCCC)(CCCC))cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R10]c1sc(c2c3cc(C)sc3c(c3sc([R10])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J73,,,
[Si](C)(C)CCCCCCCCc1sc(c2c3cc(C)sc3c(c3sc([Si](C)(C)CCCCCCCC)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,[R11]c1sc(c2c3cc(C)sc3c(c3sc([R11])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1,J74,,,
Cc1sc2c(c3sc(SCCCCCCCC)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SCCCCCCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R2])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R2])cc3)c2c1,J62,,,
Cc1sc2c(c3sc(SSCCCCC=C)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCCCCC=C)cc3)c2c1,Cc1sc2c(c3sc(S[R12])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R12])cc3)c2c1,J63,,,
Cc1sc2c(c3sc(SSCC4CCCCC4)cc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(SSCC4CCCCC4)cc3)c2c1,Cc1sc2c(c3sc(S[R13])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R13])cc3)c2c1,J64,,,
Cc1sc2c(OCC(CC)CCCC)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R4])c2c1,PBDT-DODTBT,,,
Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT,"not in drive, not in literature",,
Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(CCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R14])cc(c5c6nsnc6c(c6cc([R14])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C6,,,
Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C8,,,
