Donor,SMILES
PBDT-DTN,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(CC(CC)CCCC)c(C)s6)c6c5C(=O)c5ccccc5C6=O)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
PBDT-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C
PBDTF-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(S)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C
PBDTS-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C
PBDTSF-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(SSCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SSCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C
PBDT-NQx,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(SCC(CCCC)CCCCCC)s8)c8sc(C)cc8c(-c8ccc(SCC(CCCC)CCCCCC)s8)c7s6)s5)c5nc(-c6ccc(CCCCCCCC)s6)c(-c6ccc(CCCCCCCC)s6)nc54)c3nc2-c2ccc(CCCCCCCC)s2)s1
PBDTS-NQx,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(SSCC(CCCC)CCCCCC)s8)c8sc(C)cc8c(-c8ccc(SSCC(CCCC)CCCCCC)s8)c7s6)s5)c5nc(-c6ccc(CCCCCCCC)s6)c(-c6ccc(CCCCCCCC)s6)nc54)c3nc2-c2ccc(CCCCCCCC)s2)s1
PBDTS-TDZ,CCCCCCCCc1cc(-c2nnc(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c5s4)s3)s2)sc1C
PBDT-TDZ,CCCCCCCCc1cc(-c2nnc(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)s2)sc1C
PBFZ-OP,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cccc(OCC(CC)CCCC)c6)c6sc(C)cc6c(-c6cccc(OCC(CC)CCCC)c6)c5s4)s3)c2n1
