ref,ref number from paper,reference link,DOI,Donor Molecule,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor Molecule,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),hole contact layer,HTL energy level (eV),HTL thickness (nm),electron contact layer,ETL enegy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),effective mobility,Langevin prefactor,Voc vs ln(I) slope,Voc (V),Jsc (mA cm^-2),FF (%),PCE (%),calc_PCE
1,5,link,10.1002/aenm.201801214,PBDT-TT,1.71,136.7,,-5.23,-3.34,-1.89,1.88,6TIC,-5.45,-3.94,-1.51,1.37,1:1.5,DCB,2500,25,_,0,100,25,0,PEDOT:PSS,,,C60-bissalt,,,6.06E-05,3.04E-05,,,,0.812,19.1,61,9.46,946.0612
52,5,link,10.1002/aenm.201801214,PBDT-TT,1.71,136.7,,-5.23,-3.34,-1.89,1.88,ITIC,-5.6,-3.86,-1.74,1.59,1:1.5,DCB,2500,25,_,0,100,25,0,PEDOT:PSS,,,C60-bissalt,,,9.28E-05,4.21E-05,,,,0.849,15.8,65,8.72,871.923
63,5,link,10.1002/aenm.201801214,PBDT-TT,1.71,136.7,,-5.23,-3.34,-1.89,1.88,IT-M,-5.58,-3.82,-1.76,1.61,1:1.5,DCB,2500,25,_,0,100,25,0,PEDOT:PSS,,,C60-bissalt,,,1.43E-04,5.50E-05,,,,0.904,16.5,67,9.99,999.372
2,6,link,10.1016/j.scib.2018.05.025,J71,,,,-5.44,-3.45,-1.99,1.6,A201,-5.69,-3.93,-1.76,1.64,1:1,CF,,,_,0,,25,0,PEDOT:PSS,,,Ca,,20,9.56E-04,5.17E-04,,,,0.88,13.15,67.15,9.36,777.0598
3,7,link,10.1002/aenm.201801582,J52,,,,-5.13,-3.22,-1.91,1.91,BTA13,-5.34,-3.62,-1.72,1.72,1:1,CF,,12,CN,0.5,105,170,,PEDOT:PSS,,30,Ca,,20,5.86E-04,2.80E-04,,,1.173,1.05,12.7,58.66,7.82,782.2311
4,7,link,10.1002/aenm.201801582,J52-F,1.87,24.6,45.8,-5.29,-3.38,-1.91,1.92,BTA13,-5.34,-3.62,-1.72,1.72,1:1,CF,1000,12,CN,0.5,108,150,,PEDOT:PSS,,30,Ca,,20,3.87E-04,6.15E-05,,,1.282,1.18,11.55,61.34,8.36,836.00286
5,7,link,10.1002/aenm.201801582,J52-FS,2.64,19.6,51.8,-5.32,-3.39,-1.93,1.93,BTA13,-5.34,-3.62,-1.72,1.72,1:1,CF,,12,CN,0.5,96,150,,PEDOT:PSS,,30,Ca,,20,1.40E-04,1.73E-05,,,1.419,1.24,6.74,45.96,3.84,384.115296
6,8,link,10.1039/C7EE00844A,J61,,,,-5.22,-3.21,-2.01,1.66,BT-IC,-5.32,-3.85,-1.47,1.43,1:1,CF,1500,16,_,0,130,120,10,PEDOT:PSS,,,PDINO,,10,6.15E-04,4.95E-04,,,,0.87,16.35,67.1,9.56,954.46395
7,8,link,10.1039/C7EE00844A,J71,,,,-5.25,-3.18,-2.07,1.78,BT-IC,-5.32,-3.85,-1.47,1.43,1:1.5,CF,1500,16,_,0,130,120,10,PEDOT:PSS,,,PDINO,,10,3.53E-04,7.60E-04,,,,0.9,17.75,65.7,10.46,1049.5575
8,9,link,10.1002/adma.201604155,J51,1.35,32,,-5.2,-3.01,-2.19,1.91,IDIC,-5.69,-3.91,-1.78,1.62,1:1,CF,3000,12,_,0,100,25,0,MoOx,,5,ZnO,,,3.40E-05,2.50E-04,,,,0.796,12.24,66,6.94,643.04064
