,ref,DOI,Donor,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),HTL,HTL energy level (eV),HTL thickness (nm),ETL,ETL energy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),Voc (V),Jsc (mA cm^-2),FF (%),PCE (%),hole:electron mobility ratio,log hole mobility blend (cm^2 V^-1 s^-1),log electron mobility blend (cm^2 V^-1 s^-1),log hole:electron mobility ratio,calculated PCE (%),Donor SMILES,Donor SELFIES,Acceptor SMILES,Acceptor SELFIES
6,5,10.1002/aenm.201801582,J52-FS,2.64,19.6,51.8,-5.32,-3.39,1.93,1.93,BTA13,-5.34,-3.62,1.7200000000000002,1.72,1.0,CF,,12.0,CN,0.5,96.0,150.0,,PEDOT:PSS,-5.2,30.0,Ca,-2.9,20.0,0.00014,1.73e-05,1.24,6.74,0.4596,3.84,8.092485549132947,-3.853871964321762,-4.761953896871205,0.9080819325494426,3.84115296,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CC)CCCC)s6)c5s4)s3)c2n1,[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][#Branch1][#Branch1][C][=C][C][=C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][#C][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O][S][Ring2][Ring2][S][C][Ring2][Branch1][=C][=N][Ring2][Branch1][P],CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,[C][C][C][C][C][C][C][C][N][N][=C][C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][=C][C][=C][Branch2][N][O][C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring2][Ring1][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Ring1][#C][S][C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][N][=C][Ring2][Ring1][#C][Ring1][=N][S][C][Ring2][Ring2][#Branch1][=Ring2][Ring2][Ring2][C][Ring2][=Branch2][O][=N][Ring2][=Branch2][=C]
11,10,10.1002/adma.201604155,PDCBT,1.62,24.8,40.2,-5.313333333333333,-3.1,2.2133333333333325,1.7,IDIC,-5.705,-3.996875,1.708125,1.635833333333334,1.0,CF,3000.0,12.0,_,0.0,100.0,25.0,0.0,MoOx,-5.3,5.0,ZnO,-4.46,,1.7e-05,0.00012,0.814,11.31,0.6409999999999999,6.28,0.1416666666666666,-4.769551078621726,-3.9208187539523753,-0.8487323246693509,5.901263939999999,CCCCCCC(CCCC)COC(=O)c1cc(-c2cc(C(=O)OCC(CCCC)CCCCCC)c(-c3ccc(C)s3)s2)sc1-c1ccc(C)s1,[C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][=C][Branch2][Ring2][O][C][=C][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][O][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][Ring2][Ring1][#Branch2][S][C][=Ring2][Ring1][#C][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1],CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][C][=C][Branch2][Ring2][O][C][=C][Ring1][=Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][Ring2][Ring2][C][C][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][Ring2][Branch1][O]
13,12,10.1002/adma.201604155,PTFBDT-BZS,3.35,66.8,223.6,-5.43,-3.58,1.85,1.81,IDIC,-5.705,-3.996875,1.708125,1.635833333333334,1.0,CF,3000.0,12.0,DIO,0.25,100.0,25.0,0.0,MoOx,-5.3,5.0,ZnO,-4.46,,6.2e-05,0.00092,0.905,17.3,0.708,11.03,0.067391304347826,-4.207608310501746,-3.036212172654445,-1.1713961378473017,11.084802,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][=C][Branch2][#Branch1][=N][C][=C][C][=C][Branch2][#Branch1][C][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][=C][Ring2][Ring2][#Branch2][S][Ring2][Ring2][=N][S][Ring2][Branch1][C][C][=N][S][N][=C][Ring1][Branch1][C][=Ring2][=Branch1][Branch2][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1],CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][C][=C][Branch2][Ring2][O][C][=C][Ring1][=Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][Ring2][Ring2][C][C][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][Ring2][Branch1][O]
15,81,10.1039/C7TA07049G,J61,,,,-5.303333333333334,-3.1516666666666677,2.1516666666666664,1.8914285714285712,SJ-IC,-5.61,-3.94,1.6700000000000004,1.49,1.0,CF,2800.0,,_,0.0,120.0,160.0,2.0,PEDOT:PSS,-5.2,40.0,PDINO,-3.9,10.0,0.00031,0.000629,0.83,16.99,0.6595,9.27,0.492845786963434,-3.508638306165728,-3.201349354554731,-0.3072889516109963,9.300071149999996,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,[C][C][C][C][C][C][C][C][C][C][C][C][S][C][=C][C][=C][Branch2][=Branch2][=Branch1][C][=C][C][=C][Branch2][=Branch1][C][C][=C][C][=C][Branch2][Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=N][N][Branch2][Ring1][Ring1][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N][=C][Ring2][Ring1][P][Ring2][Ring1][Branch1][S][Ring2][Ring2][=Branch1][S][C][Ring2][Ring2][O][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][=C][S][C][C][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Branch1][=Ring1][=Branch1][S][Ring2][=Branch1][#Branch2],CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][Ring2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][=N][C][=C][Ring1][=Branch1][C][S][C][Branch2][Ring1][O][/C][=C][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][Ring2][Ring2][#Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][C][=C][Branch2][Ring1][O][/C][=C][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][#Branch1][Ring2][=Branch1][O][C][=C][Ring2][#Branch1][S]
26,24,10.1021/acenergylett.8b00627,J52,1.86,57.5,,-5.218181818181818,-3.066666666666667,2.151515151515151,1.95,i-IEICO-4F,-5.0183,-3.3307,1.6875999999999998,1.56,1.0,CB,,24.0,_,0.0,85.0,130.0,10.0,MoOx,-5.3,10.0,ZnO,-4.46,40.0,0.000259,0.000383,0.849,22.86,0.679,13.18,0.6762402088772846,-3.586700235918748,-3.416801226031377,-0.1698990098873709,13.17812706,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][C][Ring2][Branch1][#Branch2][=N][Ring2][Branch1][=N],CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3OCC(CC)CCCC)sc2-4)cc1,[C][C][C][C][C][C][C][=C][C][=C][Branch2][=C][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][=Branch1][#Branch1][C][=C][Ring1][=Branch1][C][S][C][Branch2][Branch1][Branch1][C][S][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][C][=Ring2][Ring1][#Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][C][=Ring2][Ring2][Branch1][Ring2][Branch1][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][C][=C][Branch2][Branch1][Branch1][C][S][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][C][=Ring2][Ring1][#Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][=Ring2][Ring2][Branch1][Ring2][Branch2][#Branch1][C][=C][Ring2][=Branch2][N]
109,103,10.1002/adma.201704510,PBDB-T,,,,-5.298823529411766,-3.4272972972972977,1.871526232114468,1.768181818181818,NITI,-5.68,-3.84,1.84,1.49,1.0,CB,,10.0,_,0.0,100.0,25.0,0.0,PEDOT:PSS,-5.2,30.0,PNDIT-F3N,-3.9,,7.9e-05,2.1e-05,0.86,17.8,0.84,9.49,3.761904761904762,-4.102372908709558,-4.6777807052660805,0.5754077965565222,12.85872,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,[C][C][C][C][C][Branch1][Ring1][C][C][C][C][=C][C][=C][Branch2][=Branch2][Branch2][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Ring1][=Ring1][=Branch1][S][Ring2][=Branch1][Branch2],CCCCCCCCc1cc2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc(-c3ccc4c(c3)C(CC(CC)CCCC)(CC(CC)CCCC)C3=C4C(CC(CC)CCCC)(CC(CC)CCCC)c4cc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6cc(CCCCCCCC)sc56)ccc43)c2s1,[C][C][C][C][C][C][C][C][C][=C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][S][C][Branch2][#Branch2][=Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][=C][Ring2][Ring1][=Branch1][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][=C][C][Branch2][Branch1][=Branch2][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][C][=Ring2][Ring2][C][Ring1][=N][=C][C][=C][Ring2][Ring2][Branch2][Ring2][Branch1][O][=C][Ring2][Branch2][=Branch2][S][Ring2][Branch2][N]
115,109,10.1020/jacs.7b13239,PTB7-Th,,,,-5.210000000000001,-3.5383333333333327,1.6716666666666682,1.59,DTPC-IC,-5.21,-3.97,1.2399999999999998,1.24,0.6666666666666666,o-DCB,2000.0,25.0,_,0.0,100.0,25.0,0.0,PEDOT:PSS,-5.2,,C60-bissalt,-3.9,,0.00046,3.7e-05,0.863,8.53,0.424,3.12,12.432432432432432,-3.337242168318426,-4.431798275933005,1.094556107614579,3.12122936,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][S][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][C][Branch1][C][C][=C][Ring2][Ring2][=N][C][=Ring2][Ring2][S][F],CCCCCCCCC(CCCCCC)Cn1c2cc3c4c(ccc5c6ccc7c8c(cc1c(c86)c2c45)-c1sc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)cc1C7(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][C][=C][C][=C][C][=Branch2][Branch2][O][=C][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][Ring1][P][C][=Branch1][=Branch1][=C][Ring1][=Branch1][Ring1][#Branch2][C][Ring2][Ring1][Ring1][=C][Ring1][P][Ring1][=N][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][C][Ring2][Ring1][#C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][Ring2][Branch2][=C]
116,110,10.1020/jacs.7b13239,PTB7-Th,,,,-5.210000000000001,-3.5383333333333327,1.6716666666666682,1.59,DTPC-DFIC,-5.31,-4.1,1.21,1.21,0.6666666666666666,o-DCB,2000.0,25.0,DIO,0.5,100.0,25.0,0.0,PEDOT:PSS,-5.2,,C60-bissalt,-3.9,,0.0005,0.00016,0.76,21.92,0.613,10.21,3.125,-3.3010299956639813,-3.795880017344075,0.494850021680094,10.2120896,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][S][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][C][Branch1][C][C][=C][Ring2][Ring2][=N][C][=Ring2][Ring2][S][F],CCCCCCCCC(CCCCCC)Cn1c2cc3c4c(ccc5c6ccc7c8c(cc1c(c86)c2c45)-c1sc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)cc1C7(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][C][=C][C][=C][C][=Branch2][Branch2][P][=C][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][Ring1][P][C][=Branch1][=Branch1][=C][Ring1][=Branch1][Ring1][#Branch2][C][Ring2][Ring1][Ring1][=C][Ring1][P][Ring1][=N][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][C][Ring2][Ring1][P][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][#Branch1][Ring2][=Branch2][C]
