Model,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std,R,R_std,RMSE,RMSE_std
Model / Data Type,SMILES,SMILES,SMILES,SMILES,BigSMILES,BigSMILES,BigSMILES,BigSMILES,SELFIES,SELFIES,SELFIES,SELFIES,Augmented SMILES,Augmented SMILES,Augmented SMILES,Augmented SMILES,Fragments (Hand-Written),Fragments (Hand-Written),Fragments (Hand-Written),Fragments (Hand-Written),Augmented Fragments (Hand-Written),Augmented Fragments (Hand-Written),Augmented Fragments (Hand-Written),Augmented Fragments (Hand-Written),Fragments (BRICS),Fragments (BRICS),Fragments (BRICS),Fragments (BRICS),Manual Fragments,Manual Fragments,Manual Fragments,Manual Fragments,Augmented Manual Fragments,Augmented Manual Fragments,Augmented Manual Fragments,Augmented Manual Fragments,Fingerprints,Fingerprints,Fingerprints,Fingerprints
RF,0.470462611,0.069961812,0.184952551,0.013352892,0.447922175,0.081171539,0.187426912,0.015138757,0.433752886,0.077601193,0.188898733,0.012292424,0.443630418,0.059690645,0.188106756,0.010180264,0.505178116,0.068668669,0.181203867,0.012685762,0.482971552,0.086016822,0.188081864,0.014079767,0.516131499,0.088052528,0.179525541,0.01603951,0.518124588,0.083569495,0.180447597,0.015887528,0.503363303,0.108124202,0.186444534,0.022105418,0.637797124,0.071580188,0.160867115,0.015156945
BRT,0.425722468,0.077924246,0.192091241,0.016328407,0.374752911,0.049361203,0.206107706,0.01849092,0.385974528,0.052725386,0.196100086,0.00931404,0.45185085,0.047388318,0.188339099,0.00798344,0.516298508,0.071572303,0.184125036,0.015286095,0.475870696,0.058280924,0.195469931,0.005850932,0.522198013,0.102505001,0.18265292,0.020559933,0.530548322,0.082040247,0.183082223,0.01581325,0.498384878,0.07184528,0.196684152,0.020313399,0.625060704,0.076996073,0.166143492,0.015135499
SVR,0.47613288,0.058932272,0.185409663,0.011182449,0.432560446,0.06750088,0.18982552,0.013094518,0.359632777,0.082776677,0.198237136,0.013826897,0.455328009,0.082899598,0.186664008,0.012986409,0.444690384,0.128823004,0.187335644,0.01654916,0.340871875,0.117054102,0.25175498,0.044739808,0.319090166,0.092310729,0.217585479,0.037230472,0.378927302,0.124830415,0.194679937,0.017571082,0.387949945,0.180378328,0.206796526,0.028861355,0.594375416,0.068495391,0.168135456,0.012398426
NN,0.142905795,0.169438551,0.233773097,0.020826479,0.196738414,0.177016856,0.229681641,0.030397436,0.098573852,0.112869153,0.231120193,0.025671709,0.418024259,0.10652582,0.193334284,0.019325895,0.138714487,0.148879655,0.313233674,0.040446217,0.328486149,0.19459136,0.196616662,0.022336285,0.121833042,0.080517442,0.371201175,0.027467954,0.257904251,0.129002176,0.372281122,0.036863793,0.474695152,0.075105488,0.185158265,0.017660648,-0.043883101,0.104507539,0.22812694,0.021164836
LSTM,0.478288655,0.129664121,0.185472617,0.029053023,0.511068882,0.17582054,0.193134624,0.040771314,0.342574961,0.150945119,0.210814086,0.031756252,0.363755079,0.123854953,0.199202684,0.015258345,0.437991568,0.096545601,0.200390834,0.029100934,0.539464799,0.158852154,0.185461488,0.039871449,0.502629979,0.163888251,0.195945585,0.029173049,0.535316961,0.110875968,0.182043767,0.030358751,0.588097998,0.090978874,0.178400144,0.020484731,0.247100955,0.200561957,0.201665461,0.010227149
