,Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,DA_pair_aug,AD_pair_aug,PCE(%)
0,PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,6TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"['CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1', 'C(c1c(-c2ccc(s2)-c2sc3c(c(c4c(c3-c3ccc(s3)CC(CCCC)CC)cc(s4)C)-c3sc(cc3)CC(CC)CCCC)c2)sc2c1sc(c2C(=O)OCC(CC)CCCC)-c1sc(C)cc1)(OCC(CC)CCCC)=O.c12ccccc2C(/C(C1=O)=C/c1sc2c(sc3-c4sc5c(sc6c5C(c5c-6sc6cc(/C=C7/C(=C(C#N)C#N)c8ccccc8C7=O)sc56)(c5ccc(cc5)CCCCCC)c5ccc(CCCCCC)cc5)c4C(c32)(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c1)=C(C#N)C#N', 'c1c(-c2c(c3sc(-c4ccc(s4)C)c(c3s2)C(OCC(CC)CCCC)=O)C(OCC(CC)CCCC)=O)sc(-c2sc3c(c2)c(c2c(cc(s2)C)c3-c2sc(CC(CC)CCCC)cc2)-c2sc(cc2)CC(CCCC)CC)c1.c1(ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2c3sc(cc3sc2-c2c1c1c(s2)c2c(s1)-c1sc3cc(sc3c1C2(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)/C=C1\\C(=O)c2ccccc2C1=C(C#N)C#N)/C=C1/C(=C(C#N)C#N)c2c(C1=O)cccc2)CCCCCC', 's1c(-c2cc3c(c(-c4ccc(CC(CCCC)CC)s4)c4cc(C)sc4c3-c3sc(cc3)CC(CC)CCCC)s2)ccc1-c1sc2c(c1C(=O)OCC(CCCC)CC)sc(c2C(=O)OCC(CCCC)CC)-c1ccc(C)s1.CCCCCCc1ccc(C2(c3c(-c4sc5cc(/C=C6\\C(=O)c7c(cccc7)C6=C(C#N)C#N)sc5c42)sc2c4c(sc32)-c2c(c3c(cc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)s3)s2)C4(c2ccc(cc2)CCCCCC)c2ccc(CCCCCC)cc2)c2ccc(cc2)CCCCCC)cc1', 'CCC(Cc1ccc(-c2c3c(c(c4c2cc(s4)-c2sc(cc2)-c2sc4c(sc(-c5sc(C)cc5)c4C(OCC(CC)CCCC)=O)c2C(OCC(CC)CCCC)=O)-c2sc(cc2)CC(CC)CCCC)cc(C)s3)s1)CCCC.CCCCCCc1ccc(C2(c3c(sc4c3sc3-c5c(c6sc(/C=C7/C(c8c(C7=O)cccc8)=C(C#N)C#N)cc6s5)C(c5ccc(CCCCCC)cc5)(c43)c3ccc(CCCCCC)cc3)-c3sc4cc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)sc4c32)c2ccc(CCCCCC)cc2)cc1']","['CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1.CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12', 'c12ccccc2C(/C(C1=O)=C/c1sc2c(sc3-c4sc5c(sc6c5C(c5c-6sc6cc(/C=C7/C(=C(C#N)C#N)c8ccccc8C7=O)sc56)(c5ccc(cc5)CCCCCC)c5ccc(CCCCCC)cc5)c4C(c32)(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c1)=C(C#N)C#N.C(c1c(-c2ccc(s2)-c2sc3c(c(c4c(c3-c3ccc(s3)CC(CCCC)CC)cc(s4)C)-c3sc(cc3)CC(CC)CCCC)c2)sc2c1sc(c2C(=O)OCC(CC)CCCC)-c1sc(C)cc1)(OCC(CC)CCCC)=O', 'c1(ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2c3sc(cc3sc2-c2c1c1c(s2)c2c(s1)-c1sc3cc(sc3c1C2(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)/C=C1\\C(=O)c2ccccc2C1=C(C#N)C#N)/C=C1/C(=C(C#N)C#N)c2c(C1=O)cccc2)CCCCCC.c1c(-c2c(c3sc(-c4ccc(s4)C)c(c3s2)C(OCC(CC)CCCC)=O)C(OCC(CC)CCCC)=O)sc(-c2sc3c(c2)c(c2c(cc(s2)C)c3-c2sc(CC(CC)CCCC)cc2)-c2sc(cc2)CC(CCCC)CC)c1', 'CCCCCCc1ccc(C2(c3c(-c4sc5cc(/C=C6\\C(=O)c7c(cccc7)C6=C(C#N)C#N)sc5c42)sc2c4c(sc32)-c2c(c3c(cc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)s3)s2)C4(c2ccc(cc2)CCCCCC)c2ccc(CCCCCC)cc2)c2ccc(cc2)CCCCCC)cc1.s1c(-c2cc3c(c(-c4ccc(CC(CCCC)CC)s4)c4cc(C)sc4c3-c3sc(cc3)CC(CC)CCCC)s2)ccc1-c1sc2c(c1C(=O)OCC(CCCC)CC)sc(c2C(=O)OCC(CCCC)CC)-c1ccc(C)s1', 'CCCCCCc1ccc(C2(c3c(sc4c3sc3-c5c(c6sc(/C=C7/C(c8c(C7=O)cccc8)=C(C#N)C#N)cc6s5)C(c5ccc(CCCCCC)cc5)(c43)c3ccc(CCCCCC)cc3)-c3sc4cc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)sc4c32)c2ccc(CCCCCC)cc2)cc1.CCC(Cc1ccc(-c2c3c(c(c4c2cc(s4)-c2sc(cc2)-c2sc4c(sc(-c5sc(C)cc5)c4C(OCC(CC)CCCC)=O)c2C(OCC(CC)CCCC)=O)-c2sc(cc2)CC(CC)CCCC)cc(C)s3)s1)CCCC']",9.46
1,PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,"['CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1', 's1c(C)ccc1-c1sc2c(C(=O)OCC(CCCC)CC)c(sc2c1C(OCC(CCCC)CC)=O)-c1ccc(-c2cc3c(c4c(c(-c5ccc(s5)CC(CCCC)CC)c3s2)cc(C)s4)-c2ccc(CC(CC)CCCC)s2)s1.C(#N)C(C#N)=C1/C(C(c2c1cccc2)=O)=C/c1cc2sc3-c4cc5c(-c6sc7c(c6C5(c5ccc(CCCCCC)cc5)c5ccc(cc5)CCCCCC)sc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)c7)cc4C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c3c2s1', 'C(CCC)C(Cc1sc(cc1)-c1c2sc(-c3sc(-c4c(C(OCC(CCCC)CC)=O)c5sc(-c6ccc(s6)C)c(c5s4)C(=O)OCC(CCCC)CC)cc3)cc2c(-c2sc(CC(CCCC)CC)cc2)c2sc(C)cc12)CC.c12ccccc1C(=C(C#N)C#N)/C(C2=O)=C/c1sc2c3C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4cc5c(cc4-c3sc2c1)C(c1ccc(CCCCCC)cc1)(c1ccc(cc1)CCCCCC)c1c-5sc2cc(sc21)/C=C1\\C(c2c(cccc2)C1=C(C#N)C#N)=O', 'c1(-c2sc(cc2)-c2c(c3sc(-c4sc(C)cc4)c(C(=O)OCC(CC)CCCC)c3s2)C(OCC(CC)CCCC)=O)sc2c(-c3sc(cc3)CC(CCCC)CC)c3c(sc(C)c3)c(-c3sc(CC(CC)CCCC)cc3)c2c1.C(CC)CCCc1ccc(C2(c3ccc(cc3)CCCCCC)c3cc4c(C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c5c6sc(cc6sc5-4)/C=C4\\C(=O)c5c(C4=C(C#N)C#N)cccc5)cc3-c3sc4c(sc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)c4)c23)cc1', 'c1(-c2ccc(s2)CC(CCCC)CC)c2sc(-c3sc(-c4sc5c(c4C(=O)OCC(CCCC)CC)sc(-c4sc(C)cc4)c5C(=O)OCC(CC)CCCC)cc3)cc2c(c2sc(C)cc12)-c1ccc(CC(CC)CCCC)s1.N#CC(=C1c2ccccc2C(/C1=C\\c1cc2sc3c(C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4cc5-c6sc7c(c6C(c6ccc(cc6)CCCCCC)(c5cc4-3)c3ccc(CCCCCC)cc3)sc(c7)/C=C3\\C(=O)c4c(C3=C(C#N)C#N)cccc4)c2s1)=O)C#N']","['CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1.CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12', 'C(#N)C(C#N)=C1/C(C(c2c1cccc2)=O)=C/c1cc2sc3-c4cc5c(-c6sc7c(c6C5(c5ccc(CCCCCC)cc5)c5ccc(cc5)CCCCCC)sc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)c7)cc4C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c3c2s1.s1c(C)ccc1-c1sc2c(C(=O)OCC(CCCC)CC)c(sc2c1C(OCC(CCCC)CC)=O)-c1ccc(-c2cc3c(c4c(c(-c5ccc(s5)CC(CCCC)CC)c3s2)cc(C)s4)-c2ccc(CC(CC)CCCC)s2)s1', 'c12ccccc1C(=C(C#N)C#N)/C(C2=O)=C/c1sc2c3C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4cc5c(cc4-c3sc2c1)C(c1ccc(CCCCCC)cc1)(c1ccc(cc1)CCCCCC)c1c-5sc2cc(sc21)/C=C1\\C(c2c(cccc2)C1=C(C#N)C#N)=O.C(CCC)C(Cc1sc(cc1)-c1c2sc(-c3sc(-c4c(C(OCC(CCCC)CC)=O)c5sc(-c6ccc(s6)C)c(c5s4)C(=O)OCC(CCCC)CC)cc3)cc2c(-c2sc(CC(CCCC)CC)cc2)c2sc(C)cc12)CC', 'C(CC)CCCc1ccc(C2(c3ccc(cc3)CCCCCC)c3cc4c(C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c5c6sc(cc6sc5-4)/C=C4\\C(=O)c5c(C4=C(C#N)C#N)cccc5)cc3-c3sc4c(sc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)c4)c23)cc1.c1(-c2sc(cc2)-c2c(c3sc(-c4sc(C)cc4)c(C(=O)OCC(CC)CCCC)c3s2)C(OCC(CC)CCCC)=O)sc2c(-c3sc(cc3)CC(CCCC)CC)c3c(sc(C)c3)c(-c3sc(CC(CC)CCCC)cc3)c2c1', 'N#CC(=C1c2ccccc2C(/C1=C\\c1cc2sc3c(C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4cc5-c6sc7c(c6C(c6ccc(cc6)CCCCCC)(c5cc4-3)c3ccc(CCCCCC)cc3)sc(c7)/C=C3\\C(=O)c4c(C3=C(C#N)C#N)cccc4)c2s1)=O)C#N.c1(-c2ccc(s2)CC(CCCC)CC)c2sc(-c3sc(-c4sc5c(c4C(=O)OCC(CCCC)CC)sc(-c4sc(C)cc4)c5C(=O)OCC(CC)CCCC)cc3)cc2c(c2sc(C)cc12)-c1ccc(CC(CC)CCCC)s1']",8.72
2,PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,IT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,"['CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1', 'c1(-c2sc(cc2)-c2sc3c(sc(-c4ccc(s4)C)c3C(OCC(CCCC)CC)=O)c2C(OCC(CC)CCCC)=O)sc2c(c3cc(C)sc3c(c2c1)-c1sc(cc1)CC(CCCC)CC)-c1sc(CC(CCCC)CC)cc1.C(CCCC)Cc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(C(c5ccc(CCCCCC)cc5)(c5c6c(sc-45)cc(s6)/C=C4\\C(c5ccc(C)cc5C4=C(C#N)C#N)=O)c4ccc(cc4)CCCCCC)cc3-c3c2c2c(s3)cc(/C=C3\\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)s2)cc1', 'c1(sc(-c2c3c(c(-c4ccc(s4)CC(CC)CCCC)c4cc(sc42)C)sc(c3)-c2ccc(-c3sc4c(c3C(OCC(CC)CCCC)=O)sc(c4C(OCC(CC)CCCC)=O)-c3ccc(s3)C)s2)cc1)CC(CCCC)CC.c1c(C2(c3c(-c4c2cc2-c5sc6c(sc(c6)/C=C6/C(c7c(ccc(C)c7)C6=O)=C(C#N)C#N)c5C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c2c4)sc2c3sc(/C=C3\\C(c4ccc(C)cc4C3=C(C#N)C#N)=O)c2)c2ccc(CCCCCC)cc2)ccc(CCCCCC)c1', 'c1(ccc(s1)-c1sc2c(c3c(c(c2c1)-c1sc(cc1)CC(CCCC)CC)sc(C)c3)-c1sc(CC(CCCC)CC)cc1)-c1c(c2c(c(c(s2)-c2ccc(C)s2)C(OCC(CCCC)CC)=O)s1)C(OCC(CC)CCCC)=O.c1cc(ccc1CCCCCC)C1(c2ccc(CCCCCC)cc2)c2c(cc3C(c4ccc(cc4)CCCCCC)(c4c5sc(cc5sc4-c3c2)/C=C2\\C(=O)c3ccc(cc3C2=C(C#N)C#N)C)c2ccc(cc2)CCCCCC)-c2c1c1c(cc(s1)/C=C1/C(c3c(C1=O)ccc(C)c3)=C(C#N)C#N)s2', 'CCCCC(COC(c1c(-c2ccc(s2)-c2cc3c(c4sc(cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)C)-c2ccc(CC(CC)CCCC)s2)sc2c(C(=O)OCC(CCCC)CC)c(-c3sc(cc3)C)sc21)=O)CC.C(CCCCC)c1ccc(cc1)C1(c2c(cc3C(c4ccc(CCCCCC)cc4)(c4ccc(cc4)CCCCCC)c4c5c(cc(/C=C6/C(=C(C#N)C#N)c7c(C6=O)ccc(C)c7)s5)sc4-c3c2)-c2c1c1c(cc(/C=C3/C(=C(C#N)C#N)c4cc(C)ccc4C3=O)s1)s2)c1ccc(CCCCCC)cc1']","['CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1.CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12', 'C(CCCC)Cc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(C(c5ccc(CCCCCC)cc5)(c5c6c(sc-45)cc(s6)/C=C4\\C(c5ccc(C)cc5C4=C(C#N)C#N)=O)c4ccc(cc4)CCCCCC)cc3-c3c2c2c(s3)cc(/C=C3\\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)s2)cc1.c1(-c2sc(cc2)-c2sc3c(sc(-c4ccc(s4)C)c3C(OCC(CCCC)CC)=O)c2C(OCC(CC)CCCC)=O)sc2c(c3cc(C)sc3c(c2c1)-c1sc(cc1)CC(CCCC)CC)-c1sc(CC(CCCC)CC)cc1', 'c1c(C2(c3c(-c4c2cc2-c5sc6c(sc(c6)/C=C6/C(c7c(ccc(C)c7)C6=O)=C(C#N)C#N)c5C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c2c4)sc2c3sc(/C=C3\\C(c4ccc(C)cc4C3=C(C#N)C#N)=O)c2)c2ccc(CCCCCC)cc2)ccc(CCCCCC)c1.c1(sc(-c2c3c(c(-c4ccc(s4)CC(CC)CCCC)c4cc(sc42)C)sc(c3)-c2ccc(-c3sc4c(c3C(OCC(CC)CCCC)=O)sc(c4C(OCC(CC)CCCC)=O)-c3ccc(s3)C)s2)cc1)CC(CCCC)CC', 'c1cc(ccc1CCCCCC)C1(c2ccc(CCCCCC)cc2)c2c(cc3C(c4ccc(cc4)CCCCCC)(c4c5sc(cc5sc4-c3c2)/C=C2\\C(=O)c3ccc(cc3C2=C(C#N)C#N)C)c2ccc(cc2)CCCCCC)-c2c1c1c(cc(s1)/C=C1/C(c3c(C1=O)ccc(C)c3)=C(C#N)C#N)s2.c1(ccc(s1)-c1sc2c(c3c(c(c2c1)-c1sc(cc1)CC(CCCC)CC)sc(C)c3)-c1sc(CC(CCCC)CC)cc1)-c1c(c2c(c(c(s2)-c2ccc(C)s2)C(OCC(CCCC)CC)=O)s1)C(OCC(CC)CCCC)=O', 'C(CCCCC)c1ccc(cc1)C1(c2c(cc3C(c4ccc(CCCCCC)cc4)(c4ccc(cc4)CCCCCC)c4c5c(cc(/C=C6/C(=C(C#N)C#N)c7c(C6=O)ccc(C)c7)s5)sc4-c3c2)-c2c1c1c(cc(/C=C3/C(=C(C#N)C#N)c4cc(C)ccc4C3=O)s1)s2)c1ccc(CCCCCC)cc1.CCCCC(COC(c1c(-c2ccc(s2)-c2cc3c(c4sc(cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)C)-c2ccc(CC(CC)CCCC)s2)sc2c(C(=O)OCC(CCCC)CC)c(-c3sc(cc3)C)sc21)=O)CC']",9.99
