Donor,SMILES,SMILES w/o R_group replacement,SMILES w/o R_group,Big_SMILES,SELFIES
J101,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(Cl)c(Cl)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(C6=CCC([Si](CCC)(CCC)CCC)S6)c5s4)s3)c2n1,,,{CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc([$])s3)c(Cl)c(Cl)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc([$])cc6c(C6=CCC([Si](CCC)(CCC)CCC)S6)c5s4)s3)c2n1},[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch2][#Branch1][#Branch1][C][=C][C][=C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][Si][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=C][C][C][Branch1][#C][Si][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C][S][Ring1][#C][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O][S][Ring2][Ring2][S][C][Ring2][Branch1][=C][=N][Ring2][Branch1][P]
P3_PDTB-EF-T,CCCCC(CC)CSc1sc(-c2c3cc(-c4cc(C(=O)OCCC(C)CCCC(C)C)c(-c5ccc(-c6sc(C)cc6C(=O)OCCC(C)CCCC(C)C)s5)s4)sc3c(-c3cc(F)c(SCC(CC)CCCC)s3)c3cc(C)sc23)cc1F,,,{CCCCC(CC)CSc1sc(-c2c3cc(-c4cc(C(=O)OCCCCCCCC)c(-c5ccc(-c6sc([$])cc6C(=O)OCCCCCCCC)s5)s4)sc3c(-c3cc(F)c(SCC(CC)CCCC)s3)c3cc([$])sc23)cc1F},[C][C][C][C][C][Branch1][Ring1][C][C][C][S][C][S][C][Branch2][=Branch2][=C][C][=C][C][=C][Branch2][=Branch1][#Branch2][C][=C][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][S][Ring2][Ring1][Branch2][S][Ring2][Ring2][#Branch2][S][C][Ring2][Ring2][#C][=C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][#C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][=Branch1][=Ring1][=Branch1][=C][C][=Ring2][=Branch1][O][F]
P2_PDTB-EF-T,CCCCCCCCCCOC(=O)c1cc(C)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(SCC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CCCC(CC)CCCC)s5)c4s3)cc2C(=O)OCCCCCCCCCC)s1,,,{CCCCCCCCCCOC(=O)c1cc([$])sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(SCC(CC)CCCC)s5)c5sc([$])cc5c(-c5cc(F)c(CCCC(CC)CCCC)s5)c4s3)cc2C(=O)OCCCCCCCCCC)s1},[C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][=C][Branch1][C][C][S][C][=Ring1][=Branch1][C][=C][C][=C][Branch2][Branch2][#Branch1][C][S][C][Branch2][=Branch1][=N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][=Branch2][C][=C][C][Branch1][C][F][=C][Branch1][=N][C][C][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][S][=C][Ring2][Ring2][=Branch2][S][Ring2][Ring2][N][=C][C][=Ring2][Ring2][P][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][C][C][S][Ring2][=Branch1][Ring1]
PBDB-T2Cl,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,,,{CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc([$])sc23)cc1Cl},[C][C][C][C][C][Branch1][Ring1][C][C][C][C][S][C][Branch2][=Branch2][O][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][Cl][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Ring2][=Ring1][=Branch1][=C][C][=Ring2][=Branch1][=Branch2][Cl]
PBDS-T,CCCCC(CC)CC1SC(CC(CC)CCCC)C2C(=O)c3c(C4CCC(c5cc6c(-c7ccc([Si](CCC)(CCC)CCC)s7)c7sc(C)cc7c(-c7ccc([Si](CCC)(CCC)CCC)s7)c6s5)S4)sc(-c4ccc(C)s4)c3C(=O)C12,,,{CCCCC(CC)CC1SC(CC(CC)CCCC)C2C(=O)c3c(C4CCC(c5cc6c(-c7ccc([Si](CCC)(CCC)CCC)s7)c7sc([$])cc7c(-c7ccc([Si](CCC)(CCC)CCC)s7)c6s5)S4)sc(-c4ccc([$])s4)c3C(=O)C12},[C][C][C][C][C][Branch1][Ring1][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][C][=Branch1][C][=O][C][=C][Branch2][#Branch1][#Branch1][C][C][C][C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][Si][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][Si][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C][S][Ring1][#C][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O][S][Ring2][Ring2][S][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Ring2][Branch1][O][C][=Branch1][C][=O][C][Ring2][=Branch1][N][Ring2][Branch1][P]
PCE-10,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,,,{CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc([$])cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc([$])c2c1F},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][S][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][C][Branch1][C][C][=C][Ring2][Ring2][=N][C][=Ring2][Ring2][S][F]
P3HT,CCCCCCc1cc(-c2sc(-c3sc(-c4sc(C)cc4CCCCCC)cc3CCCCCC)cc2CCCCCC)sc1C,,,{CCCCCCc1cc(-c2sc(-c3sc(-c4sc([$])cc4CCCCCC)cc3CCCCCC)cc2CCCCCC)sc1[$]},[C][C][C][C][C][C][C][C][=C][Branch2][Ring2][P][C][S][C][Branch2][Ring1][S][C][S][C][Branch1][P][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][C][C][C][C][C][=C][C][=Ring1][P][C][C][C][C][C][C][=C][C][=Ring2][Ring1][N][C][C][C][C][C][C][S][C][=Ring2][Ring2][#Branch1][C]
PBDB-T-2Cl,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,,,{CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc([$])sc23)cc1Cl},[C][C][C][C][C][Branch1][Ring1][C][C][C][C][S][C][Branch2][=Branch2][O][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][Cl][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Ring2][=Ring1][=Branch1][=C][C][=Ring2][=Branch1][=Branch2][Cl]
PCE10,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,,,{CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc([$])cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc([$])c2c1F},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][S][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][C][Branch1][C][C][=C][Ring2][Ring2][=N][C][=Ring2][Ring2][S][F]
PM6,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,,,{CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc([$])sc23)cc1F},[C][C][C][C][C][Branch1][Ring1][C][C][C][C][S][C][Branch2][=Branch2][O][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Ring2][=Ring1][=Branch1][=C][C][=Ring2][=Branch1][=Branch2][F]
