Name,Parameter_Type,Solvent,Solvent additive,IUPAC,canonical SMILES,No.,Solvent,CAS,SMILES,Formula,dipole,dD,dP,dH,dHDon,dHAcc,MW,Density,Mvol,Area,Ovality,BPt,MPt,Tc,Pc,Vc,Zc,AntA,AntB,AntC,Ant1T,logKow,LogS,Henry,OHR,RI,ΔHfus,Hv @ BP,Trouton,RER,AbraAcid,AbraBase,EdmiW,ParachorGA,RD,DCp,log n,Cond,SurfTen,totHeavyAtom,C,H,Br,Cl,F,I,N,O,P,S,Si,B,MaxPc,MinMc,Sym,MCI,Δhcomb,ΔHform,ΔGform,FG,InChiKey,InChiKey
,"['Solvent', 'Solvent_Additive']",TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,_
_,"['Solvent', 'Solvent_Additive']",TRUE,TRUE,_,_,_,_,_,_,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,_,_
CN,['Solvent_Additive'],,TRUE,1-chloronaphthalene,Clc1cccc2ccccc21,870,1-Chloronaphthalene,90-13-1,ClC1=C(C=CC=C2)C2=CC=C1,C10H7Cl,1.55,20.5,4.9,2.5,0.6,3.3,162.62,1.194,138.9,-171.9,-1.341,259,-4,-738.8,-3.74,-453.3,-0.276,6.854,1719.8,173.5,-348.4,4,-2.93,(-3.49),(-10.85),1.633,1.277888884,-15.07,-47.72,-91.2,0.099,0,0.12,0.705,346.5,48.94,230.8,0.636,143.6,45.2,11,10,7,0,1,0,0,0,0,0,0,0,0,0.029,-0.21,0,5.377,-4.838,57.44,174.38,"Cl@Ar;1,1s_Naph;1,",JTPNRXUCIXHOKM-UHFFFAOYSA-N
DIO,['Solvent_Additive'],,TRUE,"1,8-diiodooctane",ICCCCCCCCI,,"1,8-diiodooctane",24772-63-2,ICCCCCCCCI,C8H16I2,2.09,18.1,3.3,3,2.884402661,2.014923179,366.02,1.84,,,,364.69,18.5,,,,,,,,,5.033,,,,1.562310066,,,94.5120375,0.041265849,,,,503.2,64.939,308.08,0.8416,,49.23966477,,,,,,,,,,,,,,,,,,,,,,,
DPE,['Solvent_Additive'],,TRUE,diphenyl ether,c1(Oc2ccccc2)ccccc1,1122,Diphenyl Ether,101-84-8,C1(OC2=CC=CC=C2)=CC=CC=C1,C12H10O,1.17,19.4,3.4,4,0.1,4.9,170.21,1.073,159.6,-200.5,-1.425,258,27,766.8,-3.22,-502.7,-0.246,7.109,1880.3,186.8,-362.8,4.21,-2.74,(-3.26),(-10.72),1.578,1.2561847,-17.61,-51.05,-95,0.125,0,0.36,0.457,395.6,52.87,274.3,0.669,146.2,41.2,13,12,10,0,0,0,0,0,1,0,0,0,0,0.023,-0.203,46.15,6.449,-5.913,-14.73,150.53,"Ph;2,O@AR;1,",USIUVYZYUHIAEV-UHFFFAOYSA-N
isopropanol,['Solvent_Additive'],,TRUE,isopropanol,CC(O)C,570,2-Propanol,67-63-0,OC(C)C,C3H8O,1.65,15.8,6.1,16.4,10,10,60.1,0.785,76.9,-103.52,-1.196,82,-88,508.3,4.764,222,-0.267,7.644,1320.3,194.8,-254.9,0.05,2,(-5.34),(-11.36),1.375,1.17260394,-3.85,-36.09,-104.5,150,0.33,0.58,0.614,165.2,17.04,153.5,-0.039,169.3,21.5,4,3,8,0,0,0,0,0,1,0,0,0,0,0.035,-0.194,0,1.732,-1.809,-321.47,-182.95,"iso_Pr;1,2_OH;1,",KFZMGEQAYNKOFK-UHFFFAOYSA-N
n-hexane,['Solvent_Additive'],,TRUE,n-hexane,CCCCCC,417,Hexane,110-54-3,CCCCCC,C6H14,0,14.9,0,0,0.5,1.7,86.18,0.659,131.4,-157.57,-1.287,69,-95,-514.7,-3.08,-373.7,-0.269,6.864,1164.6,223.6,-224.5,3.9,-2.88,-0.14,(-11.24),1.372,1.171324037,-10.13,-29.13,-85.5,830,0,0.1,0.367,270.5,29.34,211.3,-0.454,122.2,18,6,6,14,0,0,0,0,0,0,0,0,0,0,0.008,-0.043,33.33,2.914,-3.846,-188.27,4.33,"Bu;1,Et;1,",VLKZOEOYAKHREP-UHFFFAOYSA-N
CBA,['Solvent_Additive'],,TRUE,o-chlorobenzaldehyde,c1ccc(c(c1)C=O)Cl,9469,o-Chlorobenzaldehyde,89-98-5,O=CC(C=CC=C1)=C1Cl,C7H5ClO,2.8,19.5,8.9,5.5,1.5,3.9,140.6,1.239,113.4,148.76,1.313,213.4,11,759.2,4.42,346.1,0.243,7.1681,1733.7,192.9,325.5,2.36,-1.06,-2.4,-11.75,1.573,1.254192968,13.34,46.39,96.9,2.6,0,0.29,0.254,301.5,37.37,193.7,0.453,140.4,42,9,7,5,0,1,0,0,0,1,0,0,0,0,0.137,-0.297,0,4.343,-3.252,-129.67,-33.64,"o_Ph;1,Cl@Ar;1,CHO@Ar;1,",FPYUJUBAXZAQNL-UHFFFAOYSA-N
PN,['Solvent_Additive'],,TRUE,1-phenylnaphthalene,c12ccccc1c(c3ccccc3)ccc2,7770,1-Phenylnaphthalene,605-02-7,C1(C2=CC=CC=C2)=C(C=CC=C3)C3=CC=C1,C16H12,0,19.9,2.7,3.8,0.1,3.6,204.3,1.094,186.6,237.31,1.503,357.2,44.4,908.2,3.09,631.2,0.258,7.1722,2225.7,165.6,417,5.09,-2.18,-5.15,-10.38,1.657,1.28724512,18.64,58.93,94.1,0.1,0,0.29,0.442,479,68.61,319.9,1.032,153,50.6,16,16,12,0,0,0,0,0,0,0,0,0,0,0.014,-0.013,25,7.949,-7.912,165.81,335.28,"Ph;1,1s_Naph;1,",IYDMICQAKLQHLA-UHFFFAOYSA-N
NMP,['Solvent_Additive'],,TRUE,N-Methyl-2-pyrrolidone,CN1CCCC1=O,521,N-Methyl-2-Pyrrolidone (NMP),872-50-4,CN1C(CCC1)=O,C5H9NO,3.75,18,12.3,7.2,3.8,5.8,99.13,1.025,96.6,-151.23,-1.455,204,-24,721.6,4.52,310,-0.223,6.959,1698.5,186.9,-310.9,-0.38,2,(-5.81),(-10.79),1.469,1.212023102,-8.28,-31.2,-64,3,0.04,0.94,0.248,246.5,27.22,170.4,0.324,161.8,44.3,7,5,9,0,0,0,0,1,1,0,0,0,0,0.192,-0.311,0,3.305,-2.928,-276.67,-104.06,"CH3;1,NCO_R;1,CH2CH2CH2_R;1,",SECXISVLQFMRJM-UHFFFAOYSA-N
