ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI
413,190,8.63,8.5,13.55,0.681,0.935,5.58,3.76,1.82,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC=C6)=C6C\\5=C(C#N)\\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)\\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1478.02,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
414,190,8.3,8.12,13.03,0.662,0.963,5.53,3.73,1.8,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(C)=C6)=C6C\\5=C(C#N)\\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\\%13=C(C#N)\\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1506.07,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
415,190,8.61,8.47,13.52,0.66,0.965,5.53,3.7,1.83,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(OC)=C6)=C6C\\5=C(C#N)\\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(OC)=C%14)=C%14C\\%13=C(C#N)\\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1538.07,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
416,190,8.1,7.97,15.04,0.663,0.812,5.52,3.77,1.75,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=CC(F)=C6)=C6C\\5=C(C#N)\\C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=CC9=C8C=CC%10=C9C(C%11=C%10SC%12=C%11SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\\%13=C(C#N)\\C#N)=O)=C%12)(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1514,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
417,191,9.7,9.5,16,0.58,1.04,5.6,3.85,1.75,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2
418,192,8.37,8.37,16.25,0.565,0.911,5.64,4.04,1.6,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.48,3.47,2.01,CC1=CC2=C(S1)C(CCC(CCCC)CCCCCC)=C3C=C(SC3=C2CCC(CCCC)CCCCCC)C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C65)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F,99.6,42.2,2.36
419,192,4.26,4.26,12.54,0.399,0.851,5.64,4.04,1.6,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.42,3.44,1.98,CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCC)N=C75)S4)SC3=C2CCC(CCCCCC)CCCC)S1,122.3,47.6,2.57
420,193,8.5,8.4,14.8,0.67,0.85,5.68,4.03,1.65,COCCOCC(C=C1)=CC=C1C2(C3=CC=C(COCCOC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(COCCOC)C=C%10)C%11=CC=C(COCCOC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1443.73,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
421,193,10.4,10.1,16.5,0.71,0.89,5.67,4.03,1.64,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
422,194,10.42,10.21,15.13,0.72,0.95,5.62,3.92,1.7,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(SC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(SC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
423,195,8.81,8.67,15.79,0.613,0.91,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.45,3.6,1.85,ClC(C1=C(SC(C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C)=C1S7)C)=C7C8=CC=C(C(OCCCCCC)=O)S8,66.2,41.4,1.59
424,195,7.38,7.17,14.52,0.584,0.87,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.43,3.63,1.8,ClC(C1=C(SC(C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C)=C1S7)C)=C7C8=C(Cl)C=C(C(OCCCCCC)=O)S8,80.3,41.9,1.91
425,195,6.91,6.8,14.76,0.571,0.82,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.38,3.7,1.68,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
426,196,10.52,10.32,16.88,0.692,0.9,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.31,3.62,1.69,FC1=C(C2=CC=C(C3=CC(C(C4=CC=C(CC(CC)CCCCC)S4)=C(SC(C)=C5)C5=C6C7=CC=C(CC(CC)CCCC)S7)=C6S3)S2)C8=NC(C9=CC(F)=C(CC(CC)CCCC)S9)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)N=C8C(C%11=CC=C(C)S%11)=C1F,71.2,24.8,2.87
427,196,7.22,7.07,13.75,0.561,0.94,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.38,3.67,1.71,FC1=C(C2=CC=C(C3=CC(C(C4=CC=C(CC(CCCC)CCCCCCC)S4)=C(SC(C)=C5)C5=C6C7=CC=C(CC(CCCC)CCCCCC)S7)=C6S3)S2)C8=NC(C9=CC(F)=C(CC(CC)CCCC)S9)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)N=C8C(C%11=CC=C(C)S%11)=C1F,31.6,13.7,2.31
428,197,6.15,5.72,18.77,0.489,0.665,5.36,3.92,1.44,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C(S5)=C(C(S6)=C5C7=C6C(SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\\8=C(C#N)\\C#N)=O)=C%10)=C%10[Si]7(CCCCCCCC)CCCCCCCC)[Si]4(CCCCCCCC)CCCCCCCC)=C(C#N)/C#N)C=C(F)C(F)=C2,1289.83,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
429,197,9.6,9.39,20.14,0.633,0.744,5.56,3.85,1.71,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C([Si]4(CCCCCCCC)CCCCCCCC)C6=C(OCCCCCC)C(SC7=C8[Si](CCCCCCCC)(CCCCCCCC)C9=C7SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\\%10=C(C#N)\\C#N)=O)=C9)=C8C(OCCCCCC)=C6S5)=C(C#N)/C#N)C=C(F)C(F)=C2,1540.21,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
430,198,11.74,11.64,17.02,0.72,0.95,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,5.3,3.5,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,50.4,18.8,2.68
431,198,10.78,10.64,15.68,0.7,0.97,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,5.38,3.58,1.8,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,28.7,12.7,2.26
432,198,12.1,11.68,17.63,0.69,0.96,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,5.36,3.56,1.8,CC(SC1=C2C3=CC(C=C(CC(CCCC)CCCCCC)C=C4)=C4S3)=CC1=C(C5=CC(C=C(CC(CCCC)CCCCCC)C=C6)=C6S5)C7=C2C=C(S7)C8=CC=C(C9=C%10C(C(C%11=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%11C%10=O)=O)=C(C%12=CC=C(C)S%12)S9)S8,27.4,13.5,2.03
433,199,12.08,11.73,18.45,0.692,0.919,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,5.4,3.24,2.16,CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,47,23.5,2
434,199,10.93,10.68,18.16,0.697,0.843,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,50.4,18.8,2.68
435,199,8.34,8.12,16.52,0.617,0.796,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,5.2,3.6,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
436,200,9.36,9.11,17.31,0.598,0.88,5.41,3.87,1.54,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=CC=C6)=C6C\\5=C(C#N)\\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1573.83,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
437,200,11.19,11.03,21.35,0.654,0.79,5.51,4,1.51,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\\5=C(C#N)\\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1645.79,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
438,201,4.5,4.3,8.7,0.469,1.05,6.09,4.16,1.93,FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C(S3)=C(F)C(F)=C3C4=C(CCCCCCCC)C(F)=C(C5=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S5)S4)S2)=C1CCCCCCCC,1121.54,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
439,201,1.8,1.7,4.4,0.345,1.11,5.74,3.93,1.81,FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C3=C(F)C(CCCCCCCC)=C(C4=C(F)C(F)=C(C(S5)=C(CCCCCCCC)C(F)=C5C6=C(CCCCCCCC)C(F)=C(C7=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S7)S6)S4)S3)S2)=C1CCCCCCCC,1546.19,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
440,202,11.49,11.49,17.81,0.708,0.91,5.53,3.83,1.7,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=CC(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\\9=C(C#N)\\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C=C6F,1395.8,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2
441,202,8.36,8.36,12.62,0.71,0.93,5.5,3.81,1.69,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(OC)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\\9=C(C#N)\\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(OC)=C6F,1455.85,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2
442,202,9.09,9.09,13.76,0.734,0.91,5.66,3.86,1.8,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(F)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\\9=C(C#N)\\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(F)=C6F,1431.78,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2
443,203,2.73,2.47,7.83,0.45,0.77,5.96,3.82,2.14,O=C(N(C(CCCCCCCCCCCC)CCCCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC=C(C(C7=CC=C(C8=C(C9=CC=C(C%10=O)C%11C9=C%12C=CC%11C(N%10C(CCCCCCCC)CCCCCCCCCCCC)=O)C(C%12=CC=C%13C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%14=O)=O)=C%13C%14=C8)C=C7)(C%15=CC=C(C%16=C(C%17=C%18C=CC%19C%17C(C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%19=O)=O)=C%16)C%20=CC=C%21C%22=C%20C%18=CC=C%22C(N(C(CCCCCCCCCCCC)CCCCCCCC)C%21=O)=O)C=C%15)C%23=CC=C(C%24=C(C%25=C%26C=CC%27C%25C(C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%27=O)=O)=C%24)C%28=CC=C%29C%30=C%28C%26=CC=C%30C(N(C(CCCCCCCCCCCC)CCCCCCCC)C%29=O)=O)C=C%23)C=C6)C=C%31C%32=C5C4=CC=C%32C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%31=O)=O,4238.39,5.11,3.25,1.86,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,56,20,2.8
