ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI
91,40,0.87,0.87,2.39,0.44,0.84,6.16,3.48,2.68,O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=CC=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=CC=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,1516.02,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.82
92,40,0.26,0.24,1.2,0.31,0.71,6.29,3.57,2.72,O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=C(F)C(F)=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=C(F)C(F)=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,1587.98,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.82
93,40,2.14,2.13,4.5,0.52,0.92,6.12,3.42,2.7,O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=C(CCCCCC)C=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=CC(CCCCCC)=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,1684.35,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.82
94,40,1.6,1.57,3.92,0.45,0.9,6.15,3.43,2.72,O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=C(CC(CC)CCCC)C=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=CC(CC(CC)CCCC)=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,1740.45,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.82
95,41,7.51,7.47,14.79,0.591,0.8,5.49,3.71,1.78,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC=C(OCCCCCC)C=C%12)C%13=CC=C(OCCCCCC)C=C%13)=C8C=C6C(C%14=CC=C(OCCCCCC)C=C%14)5C%15=CC=C(OCCCCCC)C=C%15,1491.95,5.24,3.66,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
96,41,7.33,7.24,14.19,0.601,0.8,5.5,3.74,1.76,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)/C#N)=C9)(C%12=CC=CC(OCCCCCC)=C%12)C%13=CC(OCCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(OCCCCCC)=CC=C%14)5C%15=CC=CC(OCCCCCC)=C%15,1491.95,5.24,3.66,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
97,41,6.17,6.1,12.99,0.567,0.78,5.61,3.72,1.89,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC(F)=C(OCCCCCC)C=C%12)C%13=CC(F)=C(OCCCCCC)C=C%13)=C8C=C6C(C%14=CC=C(OCCCCCC)C(F)=C%14)5C%15=CC(F)=C(OCCCCCC)C=C%15,1563.91,5.24,3.66,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
98,41,7.31,7.25,13.82,0.616,0.8,5.5,3.71,1.79,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.24,3.66,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
99,41,9.03,8.84,14.56,0.674,0.92,5.49,3.71,1.78,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC=C(OCCCCCC)C=C%12)C%13=CC=C(OCCCCCC)C=C%13)=C8C=C6C(C%14=CC=C(OCCCCCC)C=C%14)5C%15=CC=C(OCCCCCC)C=C%15,1491.95,5.43,2.93,2.5,CC(SC1=C2C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=CC1=C(C4=CC(CCCCCCCC)=C(CCCCCCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCC)=C(C7=NC(SC(C8=C(CCCCCC)C=C(C)S8)=N9)=C9S7)S6,56.3,24.3,2.31
100,41,9.28,8.96,15.18,0.664,0.92,5.5,3.74,1.76,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10/C(C%11=C(C%10=O)C=CC=C%11)=C(C#N)/C#N)=C9)(C%12=CC=CC(OCCCCCC)=C%12)C%13=CC(OCCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(OCCCCCC)=CC=C%14)5C%15=CC=CC(OCCCCCC)=C%15,1491.95,5.43,2.93,2.5,CC(SC1=C2C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=CC1=C(C4=CC(CCCCCCCC)=C(CCCCCCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCC)=C(C7=NC(SC(C8=C(CCCCCC)C=C(C)S8)=N9)=C9S7)S6,56.3,24.3,2.31
101,41,6.69,6.59,12.55,0.606,0.88,5.61,3.72,1.89,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\\%10=C(C#N)\\C#N)=O)=C9)(C%12=CC(F)=C(OCCCCCC)C=C%12)C%13=CC(F)=C(OCCCCCC)C=C%13)=C8C=C6C(C%14=CC=C(OCCCCCC)C(F)=C%14)5C%15=CC(F)=C(OCCCCCC)C=C%15,1563.91,5.43,2.93,2.5,CC(SC1=C2C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=CC1=C(C4=CC(CCCCCCCC)=C(CCCCCCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCC)=C(C7=NC(SC(C8=C(CCCCCC)C=C(C)S8)=N9)=C9S7)S6,56.3,24.3,2.31
