ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI\,DonorAcceptor
1,1,6.93,6.86,16.35,0.5,0.865,5.67,3.89,1.76,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,1019.38,5.15,3.31,1.84,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.10 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F.CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
2,1,3.09,2.98,10.31,0.38,0.794,5.68,3.92,1.76,CCOCCOCCOCC1(COCCOCCOCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,1031.21,5.15,3.31,1.84,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.10 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F.CCOCCOCCOCC1(COCCOCCOCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
3,2,8.33,8.12,15.28,0.69,0.79,5.54,3.84,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.45,3.56,1.89,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5o4)s3)c2n1,41.1,21.4,1.92 \,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5o4)s3)c2n1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
4,3,8.67,8.35,14.0,0.579,1.07,5.51,3.88,1.63,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,1326.02,5.46,3.69,1.77,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(SCCCCCCCC)s7)c7sc(C)cc7c(-c7ccc(SCCCCCCCC)s7)c6o5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,42.8,16.4,2.61 \,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(SCCCCCCCC)s7)c7sc(C)cc7c(-c7ccc(SCCCCCCCC)s7)c6o5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1.CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
5,4,8.46,8.33,13.95,0.601,1.01,5.48,3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.47,3.61,1.86,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(Cl)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(Cl)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,87.5,44.0,1.99 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(Cl)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(Cl)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
6,4,6.91,6.8,14.76,0.571,0.82,5.48,3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
7,5,0.7,0.7,2.7,0.43,0.646,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.61,1.59,CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1,22.9,18.3,1.20 \,CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
8,5,2.6,2.6,7.1,0.4,0.911,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.6,1.6,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.10 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
9,5,3.8,3.8,10.0,0.42,0.905,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.5,3.9,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
10,5,1.8,1.8,5.9,0.38,0.786,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.4,3.6,1.82,CCCCCCCCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CCCCCCCCCCCCCC)nc2s1,50.0,25.0,2.00 \,CCCCCCCCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CCCCCCCCCCCCCC)nc2s1.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
11,5,0.4,0.4,0.9,0.46,0.96,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.6,3.77,1.83,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,48.0,20.0,2.40 \,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
12,5,1.5,1.5,4.2,0.57,0.639,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.3,1.91,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82 \,CCCCCCc1cc(C)sc1C.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
13,5,1.2,1.2,3.4,0.39,0.924,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.44,1.76,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
14,5,0.5,0.5,1.5,0.33,0.96,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.6,3.75,1.85,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,73.0,37.0,1.97 \,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
15,5,1.0,1.0,3.7,0.35,0.801,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,4.9,3.42,1.48,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,21.6,18.0,1.20 \,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21.ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9
16,6,9.29,9.17,13.48,0.65,1.06,5.58,3.83,1.75,CCCCCCCCCCN1C(=O)C2C(=C1c1cccs1)C(=O)N(CCCCCCCCCC)C2c1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2ccc(-n3c4ccccc4c4ccccc43)cc2)s1,976.32,5.45,3.69,1.76,CC(C1C(C2=C(C(C#CC)=C(N2[B-](F)([N]1=C3C)F)C)C)C4=C(C=C(C=C4C)C)C)=C3C#CC5=CC(CC(CC)CCCC)=C(C)S5,12.8,6.0,2.10 \,CC(C1C(C2=C(C(C#CC)=C(N2[B-](F)([N]1=C3C)F)C)C)C4=C(C=C(C=C4C)C)C)=C3C#CC5=CC(CC(CC)CCCC)=C(C)S5.CCCCCCCCCCN1C(=O)C2C(=C1c1cccs1)C(=O)N(CCCCCCCCCC)C2c1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2ccc(-n3c4ccccc4c4ccccc43)cc2)s1
17,7,5.3,5.3,12.48,0.431,0.98,5.3,3.7,1.6,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C2=c3c4c5c(n(CCCCCC)c6cc7c8c(ccc3c8c56)C(=O)N(C(CC)CC)C7=O)=CC3C(=O)N(C(CC)CC)C(=O)C(=C2)C43)s1,1780.35,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C2=c3c4c5c(n(CCCCCC)c6cc7c8c(ccc3c8c56)C(=O)N(C(CC)CC)C7=O)=CC3C(=O)N(C(CC)CC)C(=O)C(=C2)C43)s1
18,7,1.1,1.1,3.78,0.313,0.95,5.3,3.7,1.6,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1,1524.02,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1
19,7,0.2,0.2,0.7,0.239,1.08,5.2,3.3,1.9,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(=O)n(C(CC)CC)c(=O)c6ccc7c8ccccc8sc4c7c65)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1,1267.69,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(=O)n(C(CC)CC)c(=O)c6ccc7c8ccccc8sc4c7c65)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1
20,8,4.1,3.88,8.46,0.552,0.84,5.64,3.84,1.8,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24,1489.92,5.02,3.39,1.63,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.10 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F.CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24
21,8,5.87,5.65,11.14,0.583,0.876,5.64,3.84,1.8,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24,1489.92,5.17,3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24
22,8,7.24,6.94,13.23,0.594,0.887,5.64,3.84,1.8,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24,1489.92,5.26,3.71,1.55,CCCCCCCCSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,50.0,25.0,2.00 \,CCCCCCCCSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1.CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24
23,9,3.55,3.55,7.57,0.559,0.84,5.9,3.8,2.1,CCC(CC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CC)CC)C(=O)C(C=C4)C15,532.64,5.02,3.39,1.63,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.10 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F.CCC(CC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CC)CC)C(=O)C(C=C4)C15
24,10,3.63,3.2,8.51,0.47,0.91,5.81,3.65,2.16,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C=C(C#N)C#N)sc2-4)cc1,1059.53,5.17,3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C=C(C#N)C#N)sc2-4)cc1
25,10,2.84,2.61,11.02,0.53,0.49,6.04,4.18,1.86,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C(C#N)=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C(C#N)=C(C#N)C#N)sc2-4)cc1,1109.55,5.17,3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C(C#N)=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C(C#N)=C(C#N)C#N)sc2-4)cc1
