HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg_2,FF_percent
-5.22,-3.64,-5.48,-3.83,6.8,6.791,0.81,14.21,59.0
-5.54,-2.98,-5.74,-3.9,12.7,12.702,0.969,17.81,73.6
-5.33,-3.29,-5.85,-3.89,5.67,6.006,0.84,12.7,56.3
-5.33,-3.29,-5.68,-3.84,11.2,11.193,0.919,17.3,70.4
-4.87,-2.97,-5.54,-3.68,3.68,3.588,0.71,8.15,62.0
-5.43,-3.36,-5.84,-4.06,8.33,9.281,0.974,13.89,68.6
-5.33,-3.53,-5.6,-4.21,7.99,7.99,0.652,21.5,57.0
-5.33,-3.53,-5.45,-4.14,11.14,11.141,0.723,23.0,67.0
-5.51,-3.57,-5.7,-3.87,4.57,4.581,0.98,10.32,45.3
-5.51,-3.57,-5.73,-3.93,7.1,7.083,0.88,13.0,61.91
-5.51,-3.57,-5.78,-4.02,9.24,9.242,0.83,16.21,68.69
-5.15,-3.43,-5.3,-3.69,8.82,8.84,1.04,13.57,62.64
-5.15,-3.43,-5.34,-3.77,8.4,8.379,1.02,13.46,61.03
-5.15,-3.43,-5.33,-3.73,7.59,7.583,0.89,14.47,58.88
-5.15,-3.43,-5.22,-3.66,6.78,6.672,1.1,11.6,52.29
-5.33,-2.92,-5.77,-3.79,6.23,6.223,0.84,11.76,63.0
-5.33,-2.92,-5.68,-3.79,4.74,4.711,0.83,10.32,55.0
-5.33,-2.92,-5.7,-3.75,3.11,3.08,1.06,6.82,42.6
-5.33,-2.92,-5.64,-3.8,6.07,6.128,0.99,10.3,60.1
-5.33,-2.92,-5.72,-3.85,5.54,5.541,0.96,10.59,54.5
-5.33,-2.92,-5.66,-3.88,7.41,7.409,0.87,12.71,67.0
-5.22,-3.64,-5.46,-4.04,9.12,9.524,0.77,18.46,67.0
-5.22,-3.64,-5.48,-4.1,9.8,10.097,0.73,21.28,65.0
-5.43,-3.43,-5.91,-3.94,8.69,8.539,0.93,13.08,70.2
-5.49,-3.69,-5.57,-4.01,6.36,6.363,0.952,11.21,59.62
-5.49,-3.69,-5.68,-4.16,8.4,8.406,0.95,14.43,61.32
-5.33,-3.53,-5.47,-3.78,8.16,8.161,0.92,13.53,65.56
-5.33,-3.53,-5.53,-3.91,8.83,8.836,0.81,16.69,65.36
-5.33,-3.53,-5.49,-3.93,7.74,7.775,0.89,15.98,54.67
-5.33,-3.53,-5.41,-3.88,6.95,6.942,0.95,13.95,52.38
-5.36,-3.55,-5.75,-4.35,10.61,10.627,0.77,22.26,62.0
-5.36,-3.55,-5.68,-4.24,11.48,11.486,0.8,20.51,70.0
-5.39,-5.22,-5.54,-4.0,3.78,3.771,0.803,10.87,43.2
-5.53,-5.38,-5.54,-4.0,11.53,11.523,0.956,17.17,70.2
-5.33,-3.53,-5.66,-3.97,9.94,9.941,0.897,16.92,65.5
-5.33,-3.53,-5.65,-4.02,10.99,10.988,0.85,17.88,72.3
-4.94,-3.06,-5.62,-3.75,3.42,3.443,0.69,7.92,63.0
-4.94,-3.06,-5.59,-3.64,4.19,4.177,0.84,7.77,64.0
-5.33,-2.92,-5.49,-3.88,12.62,12.638,0.864,20.12,72.7
-5.33,-2.92,-5.48,-3.9,10.67,10.667,0.831,18.55,69.2
-5.33,-2.92,-5.39,-3.89,10.21,10.224,0.856,17.21,69.4
-5.33,-2.92,-5.41,-3.87,9.11,9.109,0.88,17.31,59.8
-5.33,-2.92,-5.51,-4.0,11.03,11.031,0.79,21.35,65.4
-5.23,-3.45,-5.48,-3.83,10.07,10.065,0.81,18.63,66.7
-5.29,-3.49,-5.48,-3.83,12.31,12.308,0.84,19.51,75.1
-5.54,-3.65,-5.58,-3.93,10.5,10.469,1.02,15.79,65.0
-5.54,-3.65,-5.67,-4.15,13.7,13.653,0.87,20.38,77.0
-5.27,-3.06,-5.6,-3.85,5.8,5.786,0.74,15.7,49.8
-5.49,-3.22,-5.6,-3.85,10.4,10.412,0.94,18.4,60.2
-5.48,-3.64,-5.53,-3.83,10.97,10.667,0.92,16.01,72.42
-5.48,-3.64,-5.5,-3.81,8.36,8.332,0.93,12.62,70.99
-5.48,-3.64,-5.66,-3.86,9.09,9.187,0.91,13.76,73.37
-5.48,-3.64,-5.53,-3.83,10.14,10.26,0.91,15.66,72.0
-5.33,-3.53,-5.8,-3.93,2.89,2.892,1.006,7.02,40.95
-5.33,-3.53,-5.42,-4.03,5.77,5.774,0.967,13.22,45.17
-5.21,-3.41,-5.58,-3.98,10.31,10.364,0.93,16.69,66.77
-5.2,-3.0,-5.5,-3.9,9.6,9.546,0.74,21.5,60.0
-5.39,-3.52,-5.48,-3.83,9.04,8.875,0.94,16.8,56.2
-5.39,-3.52,-5.66,-3.93,9.67,9.537,0.91,17.34,60.44
-5.33,-2.92,-5.4,-3.78,11.0,11.008,0.909,17.3,70.0
-5.33,-2.92,-5.43,-3.88,10.62,10.626,0.793,19.28,69.5
-5.33,-2.92,-5.4,-3.83,10.42,10.46,0.872,17.85,67.2
-5.33,-3.53,-5.47,-3.78,10.41,10.41,0.95,15.95,68.7
-5.33,-3.53,-5.38,-3.93,9.6,9.583,0.88,16.5,66.0
-5.33,-3.53,-5.52,-4.11,13.2,13.21,0.78,23.2,73.0
-5.02,-3.44,-5.51,-3.51,9.1,9.083,1.015,15.7,57.0
-5.3,-3.4,-5.71,-3.93,6.4,6.384,1.0,11.2,57.0
-5.3,-3.4,-5.91,-4.0,7.3,7.288,1.03,11.6,61.0
-5.33,-3.53,-5.78,-3.84,4.69,4.287,0.83,10.54,49.0
-5.33,-2.92,-5.51,-3.67,9.1,9.099,0.978,13.31,69.9
-5.33,-2.92,-5.54,-3.78,11.04,11.049,0.942,15.98,73.4
-5.5,-3.61,-5.69,-4.07,13.5,13.52,0.84,22.2,72.5
-5.38,-3.17,-5.82,-4.05,5.6,5.625,0.704,14.88,53.7
-5.38,-3.17,-5.74,-4.01,8.2,8.164,0.742,18.43,59.7
-5.38,-3.17,-5.52,-3.97,11.7,11.709,0.873,20.2,66.4
-5.46,-3.5,-5.6,-3.93,12.09,12.091,0.914,18.52,71.43
-5.38,-3.38,-5.54,-3.95,6.41,6.409,1.031,11.1,56.0
-5.38,-3.38,-5.67,-4.1,6.18,6.162,0.958,12.0,53.6
-5.14,-3.33,-5.54,-3.95,10.34,10.341,0.988,16.8,62.3
-5.14,-3.33,-5.67,-4.1,12.01,12.02,0.939,17.0,75.3
-5.01,-3.26,-5.54,-3.95,7.76,7.742,0.96,12.7,63.5
-5.01,-3.26,-5.67,-4.1,8.11,8.112,0.908,12.8,69.8
-5.45,-3.6,-5.48,-3.83,8.81,8.811,0.91,15.79,61.32
-5.43,-3.63,-5.48,-3.83,7.38,7.381,0.87,14.52,58.43
-5.38,-3.7,-5.48,-3.83,6.91,6.91,0.82,14.76,57.09
-5.47,-3.61,-5.48,-3.83,8.46,8.461,1.01,13.95,60.05
-5.36,-3.54,-5.41,-3.87,9.33,9.331,0.86,16.56,65.52
-5.36,-3.54,-5.52,-4.0,8.12,8.12,0.7,19.12,60.67
-5.47,-3.56,-5.6,-3.85,9.1,9.099,0.94,16.0,60.5
-5.3,-2.82,-5.51,-3.78,4.35,4.323,0.846,11.8,43.3
-5.33,-2.92,-5.51,-3.78,11.21,11.207,0.899,16.8,74.2
-5.31,-3.51,-5.4,-3.85,11.31,11.306,0.903,17.56,71.3
-5.31,-3.51,-5.35,-3.82,12.12,12.127,0.942,18.03,71.4
-5.14,-3.51,-5.44,-4.19,2.3,2.3,0.54,14.73,28.92
-5.22,-3.64,-5.44,-4.19,11.6,11.599,0.72,23.21,69.41
-5.47,-3.67,-5.53,-3.88,7.1,7.104,0.92,14.3,54.0
-5.36,-3.42,-5.48,-3.83,9.03,9.047,0.96,14.81,63.63
-5.48,-3.47,-5.64,-4.04,8.77,8.829,0.911,16.71,58.0
-5.42,-3.44,-5.64,-4.04,4.5,4.524,0.851,13.03,40.8
-5.43,-3.65,-5.79,-3.79,3.3,3.345,0.99,8.24,41.0
-5.43,-3.65,-5.72,-3.74,4.64,4.635,1.03,9.0,50.0
-5.23,-3.65,-5.72,-3.74,4.91,4.957,0.98,11.24,45.0
-5.5,-3.69,-5.72,-3.74,4.67,4.727,1.16,7.99,51.0
-5.33,-3.53,-5.29,-3.37,9.35,9.356,0.917,16.56,61.61
-5.33,-3.53,-5.11,-3.38,10.02,10.023,0.943,16.25,65.41
-5.2,-3.6,-5.56,-3.66,4.6,4.604,1.05,10.44,42.0
-5.2,-3.6,-5.51,-3.55,0.06,0.054,0.93,0.2,29.0
-5.2,-3.6,-5.43,-3.38,0.01,0.014,1.01,0.05,27.0
-5.0,-3.1,-5.51,-3.55,5.24,5.241,1.02,7.34,70.0
-5.0,-3.1,-5.43,-3.38,4.5,4.502,1.22,6.15,60.0
-5.0,-3.1,-5.5,-3.53,4.93,4.933,0.97,7.59,67.0
-5.0,-3.1,-5.41,-3.56,6.08,6.084,0.92,10.02,66.0
-5.33,-2.92,-5.39,-3.8,6.23,6.224,0.96,11.26,57.58
-5.2,-3.59,-5.45,-3.93,9.77,9.761,0.754,19.01,68.1
-5.33,-2.92,-5.96,-3.98,7.4,7.262,0.88,13.8,59.8
-5.11,-3.25,-5.6,-4.8,4.26,4.263,0.766,10.1,55.1
-5.11,-3.25,-5.5,-3.8,4.81,4.804,0.851,9.87,57.2
-5.36,-3.56,-5.48,-3.83,8.47,8.467,0.87,16.33,59.6
-5.4,-3.55,-5.48,-3.83,9.12,9.128,0.97,14.96,62.9
-5.28,-3.48,-5.51,-3.78,8.6,8.567,0.831,14.5,71.1
-5.3,-3.5,-5.56,-3.79,12.47,12.397,0.951,17.7,73.65
-5.3,-3.5,-5.53,-3.8,14.43,14.432,0.937,21.25,72.48
-5.27,-3.6,-5.53,-3.8,12.82,12.821,0.912,20.23,69.49
