ground_truth,prediction,upper,lower
67.15,58.8653965634763,69.09240816871436,65.20759183128565
74.2,69.09621398503387,76.14240816871435,72.25759183128565
53.0,61.21322200111633,54.942408168714344,51.057591831285656
69.0,62.49119715219376,70.94240816871435,67.05759183128565
65.49,63.119177209178325,67.43240816871435,63.54759183128565
54.32,63.24657414902535,56.262408168714344,52.377591831285656
65.7,62.36729711982532,67.64240816871435,63.75759183128566
58.1,63.42516960405506,60.042408168714346,56.15759183128566
61.2,65.47524723497423,63.14240816871435,59.25759183128566
65.54,60.93325269997082,67.48240816871436,63.59759183128566
71.0,69.00408031741154,72.94240816871435,69.05759183128565
64.0,57.083249154240825,65.94240816871435,62.057591831285656
61.3,56.04590217019398,63.24240816871434,59.35759183128565
42.0,59.54914389464099,43.942408168714344,40.057591831285656
48.0,57.98547540317068,49.942408168714344,46.057591831285656
54.0,58.342491578749495,55.942408168714344,52.057591831285656
62.6,65.5920352305199,64.54240816871435,60.65759183128566
58.0,61.24391553427268,59.942408168714344,56.057591831285656
64.34,58.64280852955508,66.28240816871435,62.39759183128566
67.4,65.17981568119455,69.34240816871436,65.45759183128565
52.3,56.181737499294,54.24240816871434,50.35759183128565
63.18,56.80447313960882,65.12240816871434,61.237591831285656
67.0,64.94916753459859,68.94240816871435,65.05759183128565
56.0,64.58711873628532,57.942408168714344,54.057591831285656
71.91,62.429493870136255,73.85240816871435,69.96759183128565
48.9,62.503515091803806,50.84240816871434,46.957591831285654
71.03,65.37031934423618,72.97240816871435,69.08759183128565
66.0,70.68324729724961,67.94240816871435,64.05759183128565
72.5,65.68394505332023,74.44240816871435,70.55759183128565
45.63,67.08080863185437,47.57240816871435,43.68759183128566
50.8,58.81644727970322,52.74240816871434,48.85759183128565
45.53,53.72094047659621,47.472408168714345,43.58759183128566
66.16,62.82324348674974,68.10240816871435,64.21759183128565
60.0,57.28121230836821,61.942408168714344,58.057591831285656
73.3,62.36594571347336,75.24240816871435,71.35759183128565
50.1,57.60976326642979,52.042408168714346,48.15759183128566
69.77,64.21499177175853,71.71240816871435,67.82759183128564
58.0,50.10536243395562,59.942408168714344,56.057591831285656
64.29,68.38799082787958,66.23240816871436,62.34759183128566
74.06,70.81752373612804,76.00240816871435,72.11759183128565
65.0,59.19483755701791,66.94240816871435,63.057591831285656
70.5,63.778099630326665,72.44240816871435,68.55759183128565
76.0,73.66618804500793,77.94240816871435,74.05759183128565
73.0,64.45606165941646,74.94240816871435,71.05759183128565
66.67,57.44892699736548,68.61240816871435,64.72759183128565
30.5,64.62995665781418,32.442408168714344,28.557591831285652
47.0,60.87629411423843,48.942408168714344,45.057591831285656
70.0,66.01577919350386,71.94240816871435,68.05759183128565
63.2,67.65921834347697,65.14240816871435,61.25759183128566
39.0,64.3828083528037,40.942408168714344,37.057591831285656
48.5,59.65053368348992,50.442408168714344,46.557591831285656
44.2,46.479397389770725,46.14240816871435,42.25759183128566
62.51,67.0204968960363,64.45240816871434,60.567591831285654
71.5,68.27029847452832,73.44240816871435,69.55759183128565
66.7,69.32495714795519,68.64240816871435,64.75759183128565
78.8,69.52619596724503,80.74240816871435,76.85759183128565
34.47,45.22566555635722,36.41240816871434,32.527591831285655
30.43,69.0152697499115,32.372408168714344,28.487591831285652
74.1,68.49007668127464,76.04240816871435,72.15759183128564
56.0,59.93269200698065,57.942408168714344,54.057591831285656
75.0,69.18861000256598,76.94240816871435,73.05759183128565
65.0,57.083249154240825,66.94240816871435,63.057591831285656
67.0,70.37063799484059,68.94240816871435,65.05759183128565
45.3,56.82338690522498,47.24240816871434,43.35759183128565
70.2,57.59050965239668,72.14240816871435,68.25759183128565
60.2,56.99089514746744,62.14240816871435,58.25759183128566
60.0,71.32269752013391,61.942408168714344,58.057591831285656
56.0,59.031658099907546,57.942408168714344,54.057591831285656
74.2,68.38799082787958,76.14240816871435,72.25759183128565
62.0,58.627521603298,63.942408168714344,60.057591831285656
66.55,63.119177209178325,68.49240816871435,64.60759183128565
28.92,59.23081893167576,30.86240816871435,26.977591831285654
69.41,61.287647120658754,71.35240816871435,67.46759183128565
60.2,45.64323886684304,62.14240816871435,58.25759183128566
63.0,56.9834050541767,64.94240816871435,61.057591831285656
61.61,58.51552568422316,63.552408168714344,59.667591831285655
29.0,49.3987610733234,30.942408168714348,27.057591831285652
68.1,64.24913576852829,70.04240816871435,66.15759183128564
71.1,68.38799082787958,73.04240816871435,69.15759183128564
64.15,68.38799082787958,66.09240816871436,62.20759183128566
70.8,60.22653341535442,72.50961551507869,69.0903844849213
62.5,59.877382283549785,64.2096155150787,60.790384484921304
67.9,58.91954930285869,69.6096155150787,66.19038448492131
60.13,51.982103758814375,61.8396155150787,58.42038448492131
60.38,58.51362045034695,62.0896155150787,58.67038448492131
53.11,63.60637575433741,54.819615515078695,51.400384484921304
64.3,61.04066173232864,66.00961551507869,62.5903844849213
62.0,59.87418246895708,63.709615515078696,60.290384484921304
65.1,67.6065347308342,66.80961551507869,63.3903844849213
51.0,58.13269142948205,52.709615515078696,49.290384484921304
70.59,66.30984697306148,72.2996155150787,68.88038448492131
72.0,68.49002561982446,73.7096155150787,70.2903844849213
71.3,74.22271339319612,73.00961551507869,69.5903844849213
30.0,42.13773376443,31.709615515078696,28.290384484921304
63.0,58.51933593073593,64.7096155150787,61.290384484921304
44.0,56.444606088356096,45.709615515078696,42.290384484921304
72.0,66.92713893683205,73.7096155150787,70.2903844849213
67.0,60.98417655265885,68.7096155150787,65.2903844849213
35.0,42.92755313492063,36.709615515078696,33.290384484921304
64.3,62.564790991096,66.00961551507869,62.5903844849213
66.8,65.05362314393942,68.50961551507869,65.0903844849213
63.17,67.04602357840213,64.8796155150787,61.460384484921306
64.72,66.96632859750066,66.4296155150787,63.0103844849213
71.0,67.82121494890197,72.7096155150787,69.2903844849213
51.0,66.16255902116853,52.709615515078696,49.290384484921304
70.8,57.243992433990734,72.50961551507869,69.0903844849213
51.38,54.3076282972583,53.0896155150787,49.67038448492131
62.0,58.8724409090909,63.709615515078696,60.290384484921304
56.3,60.25778913343483,58.00961551507869,54.5903844849213
56.0,52.95075607198357,57.709615515078696,54.290384484921304
68.2,66.20253904179157,69.9096155150787,66.49038448492131
70.0,64.5247120707071,71.7096155150787,68.2903844849213
71.0,64.02905248051434,72.7096155150787,69.2903844849213
59.4,62.71078627588568,61.109615515078694,57.6903844849213
58.0,61.9770474621978,59.709615515078696,56.290384484921304
52.53,56.45626640129984,54.2396155150787,50.820384484921306
70.73,67.82121494890197,72.4396155150787,69.02038448492131
63.0,56.22737554887105,64.7096155150787,61.290384484921304
76.0,68.13932982474104,77.7096155150787,74.2903844849213
48.4,64.52430685263583,50.109615515078694,46.6903844849213
