Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,PCE(%),Donor_BRICS,Acceptor_BRICS,DA_pair_BRICS,DA_tokenized_BRICS,AD_tokenized_BRICS,PCE(%)_shuffled
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,m-MeIC,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7C)C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc23)c1,10.68,"['CCCCC(C)CC', 'Cc1cccs1', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'Cc1scc2c1C(=O)CC2', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'Cc1scc2c1C(=O)CC2', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCC(C)CC', 'Cc1cccs1', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'Cc1scc2c1C(=O)CC2', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 0, 0, 0, 3, 5, 6, 29, 8, 1, 9, 39, 11, 12, 14]",,5.0
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,m-MeIC,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7C)C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc23)c1,8.12,"['O', 'CCCCC(C)CC', 'C=O', 'CCCCC(C)CC', 'Cc1scc2scc(F)c12', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'Cc1scc2c1C(=O)CC2', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'Cc1scc2c1C(=O)CC2', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['O', 'CCCCC(C)CC', 'C=O', 'CCCCC(C)CC', 'Cc1scc2scc(F)c12', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'Cc1scc2c1C(=O)CC2', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 0, 2, 3, 4, 3, 33, 6, 8, 1, 9, 39, 11, 12, 14]",,4.19
J61,CCCCCCCCCCCCSSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SSCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,TP21,CCCCCCCCC1(CCCCCCCC)c2cc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)ccc2-c2ccc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc21,5.81,"['CCCCCCCCCCCC', 'CCCCCCCCC(C)CCCCCC', 'SS', 'c1ccsc1', 'Cc1cccs1', 'Fc1cc2nnnc2cc1F', 'Cc1cc2cc3sccc3cc2s1', '.', 'CC', 'O=C1CSC(=S)N1', 'C', 'c1ccccc1', 'CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21', 'c1cnc2cscc2n1']","['CC', 'O=C1CSC(=S)N1', 'C', 'c1ccccc1', 'CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21', 'c1cnc2cscc2n1']","['CCCCCCCCCCCC', 'CCCCCCCCC(C)CCCCCC', 'SS', 'c1ccsc1', 'Cc1cccs1', 'Fc1cc2nnnc2cc1F', 'Cc1cc2cc3sccc3cc2s1', '.', 'CC', 'O=C1CSC(=S)N1', 'C', 'c1ccccc1', 'CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21', 'c1cnc2cscc2n1']","[0, 0, 0, 25, 16, 26, 6, 5, 18, 8, 1, 21, 66, 11, 53, 67, 68]",,8.47
FTAZ,CCCCCCC(CCCC)CSc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(SCC(CCCC)CCCCCC)nc45)s3)sc2c(SCC(CCCC)CCCCCC)c2cc(C)sc12,IOIC2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c(CCCCCC)cc5c4cc(CCCCCC)c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,12.3,"['CCCCCCC(C)CCCC', 'S', 'Cc1cc2cc3sccc3cc2s1', 'Cc1cccs1', 'c1ccsc1', 'Fc1cc2nn(S)nc2cc1F', '.', 'N#CCC#N', 'O=C1CCc2cc(F)c(F)cc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3ccsc3-c3sc4c(ccc5c4ccc4c6c(sc45)-c4sccc4C6(c4ccccc4)c4ccccc4)c32)cc1']","['N#CCC#N', 'O=C1CCc2cc(F)c(F)cc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3ccsc3-c3sc4c(ccc5c4ccc4c6c(sc45)-c4sccc4C6(c4ccccc4)c4ccccc4)c32)cc1']","['CCCCCCC(C)CCCC', 'S', 'Cc1cc2cc3sccc3cc2s1', 'Cc1cccs1', 'c1ccsc1', 'Fc1cc2nn(S)nc2cc1F', '.', 'N#CCC#N', 'O=C1CCc2cc(F)c(F)cc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3ccsc3-c3sc4c(ccc5c4ccc4c6c(sc45)-c4sccc4C6(c4ccccc4)c4ccccc4)c32)cc1']","[0, 0, 0, 0, 0, 32, 24, 8, 5, 6, 54, 1, 9, 37, 11, 12, 69]",,13.7
PBQ-0F,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,6.68,"['CCCCCCCC', 'O', 'CCCCC(C)CC', 'c1ccsc1', 'c1ccccc1', 'Cc1cccs1', 'Cc1cc2cc3sccc3cc2s1', 'c1ccc2nccnc2c1', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCCCCC', 'O', 'CCCCC(C)CC', 'c1ccsc1', 'c1ccccc1', 'Cc1cccs1', 'Cc1cc2cc3sccc3cc2s1', 'c1ccc2nccnc2c1', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 20, 2, 3, 6, 53, 5, 8, 70, 1, 9, 10, 11, 12, 14]",,10.0
PBQ-QF,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,8.9,"['CCCCCCCC', 'O', 'CCCCC(C)CC', 'c1ccsc1', 'c1ccccc1', 'Cc1cccs1', 'Cc1cc2cc3sccc3cc2s1', 'Fc1cc2nccnc2cc1F', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCCCCC', 'O', 'CCCCC(C)CC', 'c1ccsc1', 'c1ccccc1', 'Cc1cccs1', 'Cc1cc2cc3sccc3cc2s1', 'Fc1cc2nccnc2cc1F', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 20, 2, 3, 6, 53, 5, 8, 71, 1, 9, 10, 11, 12, 14]",,8.12
PBQ-4F,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,11.34,"['CCCCCCCC', 'O', 'CCCCC(C)CC', 'Fc1ccsc1', 'c1ccccc1', 'Cc1cccs1', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', 'Fc1cc2nccnc2cc1F', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCCCCC', 'O', 'CCCCC(C)CC', 'Fc1ccsc1', 'c1ccccc1', 'Cc1cccs1', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', 'Fc1cc2nccnc2cc1F', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 20, 2, 3, 23, 53, 5, 6, 8, 71, 1, 9, 10, 11, 12, 14]",,9.43
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,11.21,"['CCCCC(C)CC', 'Cc1cccs1', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCC(C)CC', 'Cc1cccs1', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'O=C1CCc2ccccc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 0, 0, 0, 3, 5, 6, 29, 8, 1, 9, 10, 11, 12, 14]",,7.03
PBDB-T-SF,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,IT-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,13.1,"['CCCCC(C)CC', 'c1ccsc1', 'Fc1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'O=C1CCc2cc(F)c(F)cc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'O=C1CCc2cc(F)c(F)cc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCC(C)CC', 'c1ccsc1', 'Fc1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'O=C1CCc2cc(F)c(F)cc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 0, 0, 3, 6, 23, 29, 6, 8, 1, 9, 37, 11, 12, 14]",,8.77
PCDTBT-C12,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1,SM1,CCCCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc(-c6ccc(-c7ccc8c9c(cccc79)C(=O)N(CCCCCCCC)C8=O)s6)cc5)s4)ccc(c23)C1=O,2.78,"['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'c1ccccc1']","['CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'c1ccccc1']","['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'c1ccccc1']","[0, 0, 0, 0, 0, 31, 25, 20, 72, 5, 6, 73, 1, 20, 74, 6, 53]",,12.8
PCDTBT-C12,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1,SM2,CCCCCCCCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc(-c6ccc(-c7ccc8c9c(cccc79)C(=O)N(CCCCCCCCCCCC)C8=O)s6)c(F)c5)s4)ccc(c23)C1=O,0.74,"['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'Fc1ccccc1']","['CCCCCCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'Fc1ccccc1']","['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'Fc1ccccc1']","[0, 0, 0, 0, 0, 31, 25, 20, 72, 5, 6, 73, 1, 25, 74, 6, 75]",,10.71
PCDTBT-C12,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1,SM3,CCCCCCCCOc1cc(-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CCCCCCCC)C4=O)s2)c(F)cc1-c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CCCCCCCC)C3=O)s1,0.56,"['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCC', 'O', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'Fc1ccccc1']","['CCCCCCCC', 'O', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'Fc1ccccc1']","['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCC', 'O', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'Fc1ccccc1']","[0, 0, 0, 31, 25, 20, 72, 5, 6, 73, 1, 20, 2, 20, 74, 6, 75]",,11.63
PCDTBT-C12,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1,SM4,CCCCCCCCOc1cc(-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CCCCCCCC)C4=O)s2)c(OCCCCCCCC)cc1-c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CCCCCCCC)C3=O)s1,0.13,"['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCC', 'O', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'c1ccccc1']","['CCCCCCCC', 'O', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'c1ccccc1']","['OS', 'CCCCCCCCCCCC', 'CCCCCCCC', 'Cc1ccc2c(c1)nc1ccccc12', 'Cc1cccs1', 'c1ccsc1', 'c1ccc2nsnc2c1', '.', 'CCCCCCCC', 'O', 'CCCCCCCC', 'O=C1NC(=O)c2cccc3cccc1c23', 'c1ccsc1', 'c1ccccc1']","[0, 0, 0, 31, 25, 20, 72, 5, 6, 73, 1, 20, 2, 20, 74, 6, 53]",,9.35
PTB7,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,SFBRCN,CCCCCCCCOc1ccc2c(c1)-c1cc(OCCCCCCCC)ccc1C21c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc21,7.34,"['O', 'CCCCC(C)CC', 'C=O', 'Cc1scc2scc(F)c12', 'Cc1cc2cc3sccc3cc2s1', '.', 'CCCCCCCC', 'O', 'CC', 'N#CC(C#N)=c1nc(=O)/c(=C/c2cccc3nsnc23)s1', 'c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21']","['CCCCCCCC', 'O', 'CC', 'N#CC(C#N)=c1nc(=O)/c(=C/c2cccc3nsnc23)s1', 'c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21']","['O', 'CCCCC(C)CC', 'C=O', 'Cc1scc2scc(F)c12', 'Cc1cc2cc3sccc3cc2s1', '.', 'CCCCCCCC', 'O', 'CC', 'N#CC(C#N)=c1nc(=O)/c(=C/c2cccc3nsnc23)s1', 'c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21']","[0, 0, 0, 0, 0, 0, 2, 3, 4, 33, 8, 1, 20, 2, 21, 76, 77]",,11.6
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,SFBRCN,CCCCCCCCOc1ccc2c(c1)-c1cc(OCCCCCCCC)ccc1C21c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc21,9.9,"['O', 'CCCCC(C)CC', 'C=O', 'CCCCC(C)CC', 'Cc1scc2scc(F)c12', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', '.', 'CCCCCCCC', 'O', 'CC', 'N#CC(C#N)=c1nc(=O)/c(=C/c2cccc3nsnc23)s1', 'c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21']","['CCCCCCCC', 'O', 'CC', 'N#CC(C#N)=c1nc(=O)/c(=C/c2cccc3nsnc23)s1', 'c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21']","['O', 'CCCCC(C)CC', 'C=O', 'CCCCC(C)CC', 'Cc1scc2scc(F)c12', 'c1ccsc1', 'Cc1cc2cc3sccc3cc2s1', '.', 'CCCCCCCC', 'O', 'CC', 'N#CC(C#N)=c1nc(=O)/c(=C/c2cccc3nsnc23)s1', 'c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21']","[0, 0, 0, 0, 2, 3, 4, 3, 33, 6, 8, 1, 20, 2, 21, 76, 77]",,4.7
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,ITCC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7sccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5sccc5C4=C(C#N)C#N)sc23)cc1,11.4,"['CCCCC(C)CC', 'Cc1cccs1', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'O=C1CCc2ccsc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['N#CCC#N', 'O=C1CCc2ccsc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","['CCCCC(C)CC', 'Cc1cccs1', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'Cc1cc2cc3sccc3cc2s1', '.', 'N#CCC#N', 'O=C1CCc2ccsc21', 'C', 'CCCCCC', 'c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3sc5ccsc5c32)C(c2ccccc2)(c2ccccc2)c2c-4sc3ccsc23)cc1']","[0, 0, 0, 0, 0, 0, 3, 5, 6, 29, 8, 1, 9, 78, 11, 12, 14]",,10.46
