Match,Named,Matched,nomatch1,nomatch2
6TIC,IOIC2,
ITIC,IT-4F,
IT-M,IEIC,
A201,DTPC-DFIC,
BTA13,DICTF,
BT-IC,ITBTR-C8,
IDIC,m-MeIC,
IDT-IC,m-ITIC,
SJ-IC,IEICO,
IDTT-BH,IT-M,
IDTT-OBH,IEICO-4Cl,
IEICO-4Cl,IEICO-4F,
IEICO-4F,i-IEICO-4F,
i-IEICO-4F,ITVIC,
ITCPTC,ITVffIC,
MeIC,IDIC1,
m-ITIC,SJ-IC,
ITIC1,IC-C6IDT-IC,
ITIC5,BT-IC,
ITIC-Th,ITBTR-C2,
ITIC-Th1,IDTT-BH,
ITIC-Th2,IDTT-OBH,
ITIC-Th3,6TIC,
IEICO,TP21,
ITVffIC,IDT-2BR,
ITVfIC,IDT-BT-RF3,
ITVIC,IDT-BT-RO,
MeIC2,IDT-BT-RN,
m-MeIC,IDT-IC,
TP21,IDT-O-IC,
IHIC2,spiro-IDT-O-IC,
IOIC2,ICBF-O,
ITCC,ICBF,
IT-4F,FICBF-O,
PC17BM,FICBF,
SM1,BT-F,
SM2,BT-2F,
SM3,ATT-8,
SM4,IDT-3MT,
SFBRCN,IDT-T,
IEIC,SiIDT-IC,
NITI,IDTBOR,
IHIC,IDTBSR,
N3,TTIC,
N4,TTIC-M,
N5,IDTT2F,
N6,IDTOT2F,
DTPC-IC,ITCT,
DTPC-DFIC,IDT-RCN,
DICTF,IDT-CA,
FDICTF,IDT-T-4F,
MPU1,IDT-Se-4F,
IDT-BC6,IDT-TT-4F,
IDT-BOC6,IDT2Se,
ITIC3,IDT2Se-4F,
FOIC,HF-PCIC,
ATT-3,HFO-PCIC,
IT-O1,OF-PCIC,
IT-O2,IDT-TN,
IT-O3,IF-TN,
IT-O4,ITIC-Cl,
H-ITIC,C8-ITIC,
F-ITIC,,
Cl-ITIC,BDCPDT-IC,
Br-ITIC,NFBDT-F,
I-ITIC,SN6IC,
NFBDT,SN6IC-4F,
NCBDT,IDT-TBA,
ZITI-4F,IDDT-TBA,
ZITI,O-NTIC,
DTCCIC-C17,BTTFIC,
O-IDTBR,NFTI,
EH-IDTBR,F5IC,
FBR,F7IC,
IDTCN,BDCPDT-FIC,
NAI-FN-NAI(BO),INIC3,
NAI-FN-NAI(DT),ITCC,
PI-FN-PI(DT),SM1,
NAI-FN-NAI(HD),SM2,
NAI-FCN-NAI(BO),SM3,
INIC,SM4,
INIC1,SFBRCN,
INIC2,NITI,
INIC3,ITIC1,
F6IC,DTPC-IC,
F8IC,F-H,
F10IC,MPU1,
DC-IDT2T,IDT-B6,
FTTB,ITIC,
IDFBR,ITVfIC,
IDTBR,FOIC,
TTz1,N5,
TTz2,IT-O1,
FTIC-C8C6,IT-O2,
FTIC-C6C6,IT-O3,
FTIC-C6C8,IT-O4,
NDI-TR,NFDTS,
IXIC,NFDTSB,
IXIC-4Cl,DTNSF,
ITTC,DTNIC8,
ITIC-OE,DTNIF,
IT-OM-1,Si4TIC-F,
IT-OM-2,IDT-FBTB,
IT-OM-3,Qx1,
IT-OM-4,Qx1b,
ITCT-DM,BTA23,
ITCT,BTA21,
ITCPTC-Th,BTA27,
ITCPTC-Se,F-F,
IFTIC,F-Cl,
IDT-2BM,FDICTF,
IDTT-2BM,F-Br,
IDT-T,CI-ITIC,
IDT-Tz,Br-ITIC,
IDT-N,I-ITIC,
IDT-T-N,NFBDT,
IDT-EDOT,NCBDT,
IDT-PDOT,ZITI-4F,
IDTIDT-IC,DTCCIC-C17,
IDT-C6,O-IDTBR,
IDT-PhC6,EH-IDTBR,
IDCIC,FBR,
FDNCTF,ITCPTC,
DTNR,IDTCN,
DTNIC6,NAI-FN-NAI(BO),
DTNIC8,NAI-FN-NAI(HD),
DTCC-IC,NAI-FCN-NAI(BO),
DNIT-TT2T,INIC,
PY1,INIC1,
DCI-2,INIC2,
DC-IDT2F,F6IC,
IM-IDT,F8IC,
TIM-IDT,F10IC,
COTIC-4F,DC-IDT2T,
SiOTIC-4F,FTTB,
BTA100,IDFBR,
BTA101,IDTBR,
BTA103,TTz1,
COi8DFIC,TTz2,
IDT-2BR,FTIC-C8C6,
IDT-2BR1,FTIC-C6C6,
ATT-2,FTIC-C6C8,
T1,IXIC,
T2,IXIC-4Cl,
T3,ITTC,
ATT-1,ITIC-OE,
IC-C6IDT-IC,ITIC-OM-1,
IDT-BT-R,ITIC-OM-2,
IDT-BT-R-CN,ITIC-OM-3,
I-IDTBTRh,ITIC-OM-4,
BTA1,ITCT-DM,
BTA2,ITCPTC-Th,
IEIC1,IDNO-IDT,
IEIC2,IM1-IDT,
IEIC3,ITAN-IDT,
IT-DM,ITCPTC-Se,
ITIC-SC6,IFTIC,
ITIC-SC8,IDT-2BM,
ITIC-SC2C6,IDTT-2BM,
IT-F,IDT-Tz,
IT-2F,IDT-N,
DICTiF,IDT-T-N,
BAF-4CN,IDT-EDOT,
DCF-2HT,IDT-PDOT,
ITIC2,IDT-C6,
BT-CIC,IDT-PhC6,
