Name,Parameter_Type,IUPAC,SMILES
1:1.5,['Hole_Contact_Layer'],,
DCB,['Electron_Contact_Layer'],,
1:1,['Hole_Contact_Layer'],,
CF,['Electron_Contact_Layer'],,
1:1.4,['Hole_Contact_Layer'],,
1:0.8,['Hole_Contact_Layer'],,
1:1.2,['Hole_Contact_Layer'],,
CB,['Electron_Contact_Layer'],,
1:1.3,['Hole_Contact_Layer'],,
1:2,['Hole_Contact_Layer'],,
1.5:1,['Hole_Contact_Layer'],,
4:6,['Hole_Contact_Layer'],,
o-xylene,['Electron_Contact_Layer'],,
THF,['Electron_Contact_Layer'],,
o-DCB,['Electron_Contact_Layer'],,
CF:n-hexane (9:1),['Electron_Contact_Layer'],,
CF:DCB (80:20),['Electron_Contact_Layer'],,
1:1.7,['Hole_Contact_Layer'],,
1.2:1,['Hole_Contact_Layer'],,
o-DCB:CF (6.667:1),['Electron_Contact_Layer'],,
1:0.5,['Hole_Contact_Layer'],,
2:1,['Hole_Contact_Layer'],,
o-DCB:CF (4:1),['Electron_Contact_Layer'],,
1:1.8,['Hole_Contact_Layer'],,
"1,2,4-trimethylbenzene",['Electron_Contact_Layer'],,
1:0.6,['Hole_Contact_Layer'],,
0.6:1,['Hole_Contact_Layer'],,
10:6,['Hole_Contact_Layer'],,
10:12,['Hole_Contact_Layer'],,
10:15,['Hole_Contact_Layer'],,
60:40,['Hole_Contact_Layer'],,
Anisole,['Electron_Contact_Layer'],,
1:1.35,['Hole_Contact_Layer'],,
o-DCB:CB (1:1),['Electron_Contact_Layer'],,
CB:CF (9:1),['Electron_Contact_Layer'],,
1:1.25,['Hole_Contact_Layer'],,
Toluene,['Electron_Contact_Layer'],,
MeTHF,['Electron_Contact_Layer'],,
1:0.3,['Hole_Contact_Layer'],,
0.8:1,['Hole_Contact_Layer'],,
1:2.5,['Hole_Contact_Layer'],,
1:1.1,['Hole_Contact_Layer'],,
1.5:2,['Hole_Contact_Layer'],,
1:0.9,['Hole_Contact_Layer'],,
1:3,['Hole_Contact_Layer'],,
2:3,['Hole_Contact_Layer'],,
