SMILE,R group Smiles,Name_Stanley,Comments (Stanley),Name_Aaron,Comments (Aaron),Comments (after matching),Important comments for Group Meeting,"40, 67, 97,208,225"
O=C1c2c(C(/C1=C/c1ccc(c3c(OCCCCCC)c(C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c5cc(C(c6ccc(CCCCCC)cc6)6c7ccc(CCCCCC)cc7)c(c7c6c(OCCCCCC)c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)s6)s7)c4)c5s3)s1)=C(C#N)/C#N)cc(F)c(F)c2,O=C1c2c(C(/C1=C/c1ccc(c3c(O[R14])c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6c(O[R14])c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)s6)s7)c4)c5s3)s1)=C(C#N)/C#N)cc(F)c(F)c2,IDTOT2F,"same structure, different labels",IDTOT2F,,,,
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c4sc(/C=C5C(c6c(C\5=C(C#N)\C#N)csc6)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8c(C\7=C(C#N)\C#N)csc8)=O)sc6c5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6c(C\5=C(C#N)\C#N)csc6)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8c(C\7=C(C#N)\C#N)csc8)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,ITCT,,ITCT,,,,
CCN(C/1=O)/C(SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc(CCCCCC)cc7)5c5ccc(CCCCCC)cc5)cc(c5c7nsnc7c(/C=C7S/C(N(C\7=O)CC)=C(C#N)\C#N)cc5)s6)cc4C3(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)s2)cc1)=C(C#N)/C#N,CCN(C/1=O)/C(SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7S/C(N(C\7=O)CC)=C(C#N)\C#N)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1)=C(C#N)/C#N,IDT-RCN,,IDT-RCN,,,,
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(c4c(C(c5ccc(CCCCCC)cc5)5c6ccc(CCCCCC)cc6)cc(c6c7nsnc7c(/C=C(C(OCC)=O)\C#N)cc6)s4)c5cc3c3c2cc(c2c4nsnc4c(/C=C(C#N)/C(OCC)=O)cc2)s3)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)cc(c6c7nsnc7c(/C=C(C(OCC)=O)\C#N)cc6)s4)c5cc3c3c2cc(c2c4nsnc4c(/C=C(C#N)/C(OCC)=O)cc2)s3)cc1,IDT-CA,,IDT-CA,,,,
O=C1c2c(C(/C1=C/c1ccc(c3c(OCCCCCC)c(C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c5cc(C(c6ccc(CCCCCC)cc6)6c7ccc(CCCCCC)cc7)c(c7c6c(OCCCCCC)c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)s6)s7)c4)c5s3)s1)=C(C#N)/C#N)cc(F)c(F)c2,O=C1c2c(C(/C1=C/c1ccc(c3c(O[R14])c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6c(O[R14])c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)s6)s7)c4)c5s3)s1)=C(C#N)/C#N)cc(F)c(F)c2,IDT-T-4F,"same structure, different labels",IDT-T-4F,,,,
O=C1c2c(C(/C1=C/c1ccc(c3c(OCCCCCC)c(C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c5cc(C(c6ccc(CCCCCC)cc6)6c7ccc(CCCCCC)cc7)c(c7c6c(OCCCCCC)c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cc(F)c(F)c2,O=C1c2c(C(/C1=C/c1ccc(c3c(O[R14])c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6c(O[R14])c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cc(F)c(F)c2,IDT-Se-4F,,IDT-Se-4F,,,,
O=C1c2c(C(/C1=C/c1sc3cc(c4c(OCCCCCC)c(C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c5c6cc(C(c7ccc(CCCCCC)cc7)7c8ccc(CCCCCC)cc8)c(c8c7c(OCCCCCC)c(c7cc9sc(/C=C%10/C(c%11c(C%10=O)cc(F)c(F)c%11)=C(C#N)\C#N)cc9s7)s8)c5)c6s4)sc3c1)=C(C#N)/C#N)cc(F)c(F)c2,O=C1c2c(C(/C1=C/c1sc3cc(c4c(O[R14])c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5c6cc(C(c7ccc([R14])cc7)7c8ccc([R14])cc8)c(c8c7c(O[R14])c(c7cc9sc(/C=C%10/C(c%11c(C%10=O)cc(F)c(F)c%11)=C(C#N)\C#N)cc9s7)s8)c5)c6s4)sc3c1)=C(C#N)/C#N)cc(F)c(F)c2,IDT-TT-4F,,IDT-TT-4F,,,,
O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c5cc(C(c6ccc(CCCCCC)cc6)6c7ccc(CCCCCC)cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cccc9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cccc2,O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cccc9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cccc2,IDT2Se,,IDT2Se,,,,
O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c5cc(C(c6ccc(CCCCCC)cc6)6c7ccc(CCCCCC)cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cc(F)c(F)c2,O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cc(F)c(F)c2,IDT2Se-4F,,IDT2Se-4F,,,,
CC(CC)CCCCC1(c2c(c3sc(c4c(F)cc(c5sc(c6c(C(CC(CC)CCCC)7CC(CC)CCCC)cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)CC(CC)CCCC,[R4]C1(c2c(c3sc(c4c(F)cc(c5sc(c6c(C([R4])7[R4])cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)[R4],HF-PCIC,,HF-PCIC,,,,
