ref,Donor,Donor_SMILES,Donor_Big_SMILES,Donor_SELFIES,Acceptor,Acceptor_SMILES,Acceptor_Big_SMILES,Acceptor_SELFIES,HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,D_A_ratio_m_m,solvent,total_solids_conc_mg_mL,solvent_additive,solvent_additive_conc_v_v_percent,active_layer_thickness_nm,annealing_temperature,hole_contact_layer,electron_contact_layer,hole_mobility_blend,electron_mobility_blend,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg2,FF_percent,BP,MP,Density,Dielectric,Dipole,log_Pow,Hansen_Disp,Hansen_H_Bond,Hansen_Polar
1,PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,{[$]CCCC(CC)COC(=O)c1c(-c2ccc[$]s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc[$]cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][S][C][Ring2][=Branch1][Branch1][=Ring2][Branch1][N],6TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][S][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Branch2][Ring2][Branch2][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][S][C][C][=C][Branch1][O][S][C][=Ring1][Branch1][C][=Ring1][Branch2][Ring2][Ring2][=N][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][C][Ring2][Ring1][=C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch2][Ring2],-5.23,-3.34,-5.45,-3.94,0.667,DCB,25.0,_,0.0,100.0,_,PEDOT:PSS,C60-bissalt,6.06e-05,3.04e-05,9.46,9.46,0.812,19.1,61.0,,,,,,,,,
52,PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,{[$]CCCC(CC)COC(=O)c1c(-c2ccc[$]s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc[$]cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][S][C][Ring2][=Branch1][Branch1][=Ring2][Branch1][N],ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][P][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][Ring2][Ring2][O][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][#Branch1][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][Branch2][C],-5.23,-3.34,-5.6,-3.86,0.667,DCB,25.0,_,0.0,100.0,_,PEDOT:PSS,C60-bissalt,9.28e-05,4.21e-05,8.72,8.72,0.849,15.8,65.0,,,,,,,,,
63,PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,{[$]CCCC(CC)COC(=O)c1c(-c2ccc[$]s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc[$]cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][S][C][Ring2][=Branch1][Branch1][=Ring2][Branch1][N],IT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc[$]cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc[$]cc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][N][C][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Branch1][Ring2][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][N][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][Ring1][O][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][=Branch1][C][=Ring2][Ring1][=Branch2][Ring2][Ring2][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][Branch2][S][C][C][=C][Branch2][Ring1][N][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][Ring1][O][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][=Branch2][=Ring2][Ring1][=Branch1][C][=C][Ring2][Branch2][Ring2],-5.23,-3.34,-5.58,-3.82,0.667,DCB,25.0,_,0.0,100.0,_,PEDOT:PSS,C60-bissalt,0.000143,5.5e-05,9.99,9.99,0.904,16.5,67.0,,,,,,,,,
2,J71,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,{[$]CCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc[$]s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc[$]cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1},[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][#Branch1][#Branch1][C][=C][C][=C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][Si][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][Si][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C][S][Ring1][#C][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O][S][Ring2][Ring2][S][C][Ring2][Branch1][=C][=N][Ring2][Branch1][P],A201,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][=Branch1][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][O][C][=C][Ring1][=Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][Ring2][Ring2][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][Ring2][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][#Branch1][#C],-5.44,-3.45,-5.69,-3.93,1.0,CF,,_,0.0,,_,PEDOT:PSS,Ca,0.000956,0.000517,9.36,7.77,0.88,13.15,67.15,61.2,-63.2,1.48,4.9,1.02,1.97,8.7,2.8,1.5
3,J52,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CCCCC(C)CC)s6)c5s4)s3)c2n1,{[$]CCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc[$]s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc[$]cc6c(-c6ccc(CCCCC[$]CC)s6)c5s4)s3)c2n1},[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][=Branch1][Ring2][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][C][C][C][Branch1][C][C][C][C][S][Ring1][=N][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Ring2][N][C][Ring2][Branch1][#Branch2][=N][Ring2][Branch1][=N],BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[$]CCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1},[C][C][C][C][C][C][C][C][N][N][=C][C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][=C][C][=C][Branch2][N][O][C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring2][Ring1][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Ring1][#C][S][C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][N][=C][Ring2][Ring1][#C][Ring1][=N][S][C][Ring2][Ring2][#Branch1][=Ring2][Ring2][Ring2][C][Ring2][=Branch2][O][=N][Ring2][=Branch2][=C],-5.13,-3.22,-5.34,-3.62,1.0,CF,12.0,CN,0.5,105.0,170,PEDOT:PSS,Ca,0.000586,0.00028,7.82,7.82,1.05,12.7,58.66,61.2,-63.2,1.48,4.9,1.02,1.97,8.7,2.8,1.5
4,J52-F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CCCCC(C)CC)s6)c5s4)s3)c2n1,{[$]CCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc[$]s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc[$]cc6c(-c6cc(F)c(CCCCC[$]CC)s6)c5s4)s3)c2n1},[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][#Branch1][Branch1][C][=C][C][=C][Branch2][=Branch1][#Branch2][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][C][C][C][Branch1][C][C][C][C][S][Ring1][=C][=C][Ring2][Ring2][=Branch1][S][Ring2][Ring2][=Branch2][S][Ring2][Ring2][=C][C][Ring2][Branch1][N][=N][Ring2][Branch1][#C],BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[$]CCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1},[C][C][C][C][C][C][C][C][N][N][=C][C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][=C][C][=C][Branch2][N][O][C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring2][Ring1][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Ring1][#C][S][C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][N][=C][Ring2][Ring1][#C][Ring1][=N][S][C][Ring2][Ring2][#Branch1][=Ring2][Ring2][Ring2][C][Ring2][=Branch2][O][=N][Ring2][=Branch2][=C],-5.29,-3.38,-5.34,-3.62,1.0,CF,12.0,CN,0.5,108.0,150,PEDOT:PSS,Ca,0.000387,6.15e-05,8.36,8.36,1.18,11.55,61.34,61.2,-63.2,1.48,4.9,1.02,1.97,8.7,2.8,1.5
5,J52-FS,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CC)CCCC)s6)c5s4)s3)c2n1,{[$]CCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc[$]s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(SCC(CC)CCCC)s6)c6sc[$]cc6c(-c6cc(F)c(SCC(CC)CCCC)s6)c5s4)s3)c2n1},[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][#Branch1][#Branch1][C][=C][C][=C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][#C][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O][S][Ring2][Ring2][S][C][Ring2][Branch1][=C][=N][Ring2][Branch1][P],BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[$]CCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1},[C][C][C][C][C][C][C][C][N][N][=C][C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][=C][C][=C][Branch2][N][O][C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring2][Ring1][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Ring1][#C][S][C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][/S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][N][=C][Ring2][Ring1][#C][Ring1][=N][S][C][Ring2][Ring2][#Branch1][=Ring2][Ring2][Ring2][C][Ring2][=Branch2][O][=N][Ring2][=Branch2][=C],-5.32,-3.39,-5.34,-3.62,1.0,CF,12.0,CN,0.5,96.0,150,PEDOT:PSS,Ca,0.00014,1.73e-05,3.84,3.84,1.24,6.74,45.96,61.2,-63.2,1.48,4.9,1.02,1.97,8.7,2.8,1.5
