Donor,Acceptor,HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,D_A_ratio_m_m,solvent,solvent_additive,annealing_temperature,PCE_percent,calc_PCE_percent,Voc_V,FF_percent,DA_pair_aug,DA_pair_tokenized_aug
PBDT-TT,ITIC,-5.23,-3.34,-5.574146341463415,-3.915,0.667,DCB,_,25,8.72,8.72,0.849,65.0,"['CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1', 's1c(C)ccc1-c1sc2c(C(=O)OCC(CCCC)CC)c(sc2c1C(OCC(CCCC)CC)=O)-c1ccc(-c2cc3c(c4c(c(-c5ccc(s5)CC(CCCC)CC)c3s2)cc(C)s4)-c2ccc(CC(CC)CCCC)s2)s1.C(#N)C(C#N)=C1/C(C(c2c1cccc2)=O)=C/c1cc2sc3-c4cc5c(-c6sc7c(c6C5(c5ccc(CCCCCC)cc5)c5ccc(cc5)CCCCCC)sc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)c7)cc4C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c3c2s1', 'C(CCC)C(Cc1sc(cc1)-c1c2sc(-c3sc(-c4c(C(OCC(CCCC)CC)=O)c5sc(-c6ccc(s6)C)c(c5s4)C(=O)OCC(CCCC)CC)cc3)cc2c(-c2sc(CC(CCCC)CC)cc2)c2sc(C)cc12)CC.c12ccccc1C(=C(C#N)C#N)/C(C2=O)=C/c1sc2c3C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4cc5c(cc4-c3sc2c1)C(c1ccc(CCCCCC)cc1)(c1ccc(cc1)CCCCCC)c1c-5sc2cc(sc21)/C=C1\\C(c2c(cccc2)C1=C(C#N)C#N)=O', 'c1(-c2sc(cc2)-c2c(c3sc(-c4sc(C)cc4)c(C(=O)OCC(CC)CCCC)c3s2)C(OCC(CC)CCCC)=O)sc2c(-c3sc(cc3)CC(CCCC)CC)c3c(sc(C)c3)c(-c3sc(CC(CC)CCCC)cc3)c2c1.C(CC)CCCc1ccc(C2(c3ccc(cc3)CCCCCC)c3cc4c(C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c5c6sc(cc6sc5-4)/C=C4\\C(=O)c5c(C4=C(C#N)C#N)cccc5)cc3-c3sc4c(sc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)c4)c23)cc1', 'c1(-c2ccc(s2)CC(CCCC)CC)c2sc(-c3sc(-c4sc5c(c4C(=O)OCC(CCCC)CC)sc(-c4sc(C)cc4)c5C(=O)OCC(CC)CCCC)cc3)cc2c(c2sc(C)cc12)-c1ccc(CC(CC)CCCC)s1.N#CC(=C1c2ccccc2C(/C1=C\\c1cc2sc3c(C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4cc5-c6sc7c(c6C(c6ccc(cc6)CCCCCC)(c5cc4-3)c3ccc(CCCCCC)cc3)sc(c7)/C=C3\\C(=O)c4c(C3=C(C#N)C#N)cccc4)c2s1)=O)C#N']","[[1], [1], [2], [2], [2], [2], [2], [4], [2], [2], [5], [2], [15], [2], [4], [11], [15], [5], [3], [7], [3], [4], [12], [3], [6], [3], [3], [3], [4], [2], [5], [8], [6], [5], [8], [3], [6], [3], [4], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [3], [4], [12], [3], [9], [3], [3], [3], [4], [12], [3], [13], [3], [3], [14], [3], [4], [12], [3], [18], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [18], [5], [3], [18], [8], [3], [4], [2], [5], [3], [3], [18], [3], [4], [12], [3], [18], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [18], [5], [3], [14], [8], [13], [5], [8], [9], [5], [8], [3], [7], [6], [22], [2], [2], [2], [2], [2], [2], [3], [7], [3], [3], [3], [4], [2], [6], [4], [3], [9], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [9], [5], [3], [9], [3], [3], [13], [3], [4], [3], [3], [9], [12], [3], [9], [8], [3], [14], [3], [3], [4], [1], [2], [11], [2], [18], [1], [1], [2], [4], [11], [15], [5], [3], [23], [3], [3], [3], [3], [3], [23], [2], [18], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [8], [3], [14], [3], [9], [6], [5], [2], [4], [3], [6], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [6], [5], [4], [3], [6], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [6], [5], [3], [6], [3], [12], [13], [8], [3], [9], [3], [3], [4], [1], [2], [11], [2], [13], [1], [1], [2], [4], [11], [15], [5], [3], [14], [3], [3], [3], [3], [3], [14], [2], [13], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [8], [3], [6], [9], [5], [3], [3], [7], [1], [1], [1], [1], [8], [7], [3], [4], [2], [5], [3], [3], [3], [7], [12], [3], [7], [8], [3], [6], [3], [4], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [4], [8], [3], [6], [3], [7], [2], [4], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [11], [15], [5], [12], [3], [7], [3], [3], [3], [4], [12], [3], [6], [3], [3], [9], [3], [4], [3], [13], [3], [4], [3], [4], [12], [3], [14], [3], [3], [3], [4], [8], [14], [5], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [9], [8], [6], [5], [3], [3], [4], [2], [5], [8], [13], [5], [12], [3], [6], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [6], [5], [8], [7], [22], [2], [4], [17], [16], [5], [2], [4], [2], [17], [16], [5], [11], [2], [7], [1], [2], [4], [2], [4], [3], [6], [3], [7], [3], [3], [3], [3], [6], [5], [11], [15], [5], [11], [2], [1], [3], [7], [3], [3], [6], [8], [3], [9], [12], [3], [13], [3], [3], [14], [3], [4], [12], [3], [18], [8], [3], [23], [3], [4], [3], [18], [2], [14], [4], [3], [14], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [14], [5], [3], [14], [3], [3], [3], [4], [3], [3], [14], [5], [2], [2], [2], [2], [2], [2], [5], [8], [3], [4], [1], [2], [11], [2], [14], [1], [2], [4], [3], [18], [3], [3], [3], [3], [3], [18], [2], [14], [11], [15], [5], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [23], [5], [3], [3], [13], [2], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [3], [9], [3], [6], [8], [7], [1], [1], [1], [1], [2], [4], [2], [2], [2], [5], [2], [4], [2], [3], [7], [8], [3], [4], [3], [3], [7], [5], [12], [3], [7], [3], [6], [8], [3], [4], [12], [3], [9], [8], [3], [4], [12], [3], [13], [3], [4], [2], [4], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [11], [15], [5], [3], [14], [8], [3], [4], [12], [3], [18], [3], [3], [3], [4], [8], [18], [5], [2], [5], [3], [4], [3], [14], [8], [13], [5], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [3], [9], [5], [3], [3], [6], [3], [4], [12], [3], [6], [8], [3], [4], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [3], [6], [5], [3], [6], [8], [3], [4], [2], [5], [3], [3], [7], [6], [5], [2], [2], [22], [3], [7], [6], [3], [3], [3], [3], [3], [7], [2], [4], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [1], [2], [4], [2], [6], [11], [15], [5], [11], [2], [1], [3], [7], [8], [3], [6], [3], [9], [2], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [3], [13], [3], [3], [14], [3], [4], [3], [3], [13], [12], [3], [9], [8], [3], [6], [3], [7], [5], [2], [4], [3], [7], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [7], [5], [4], [3], [7], [3], [3], [3], [4], [3], [3], [7], [5], [2], [2], [2], [2], [2], [2], [5], [3], [7], [3], [12], [14], [8], [3], [6], [3], [3], [4], [8], [3], [6], [7], [5], [1], [2], [11], [2], [7], [1], [1], [2], [4], [3], [6], [3], [4], [3], [3], [3], [3], [6], [5], [2], [7], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [11], [15], [1], [1], [1], [1], [3], [7], [4], [12], [3], [6], [8], [3], [4], [3], [3], [6], [5], [12], [3], [6], [3], [4], [3], [9], [8], [3], [4], [12], [3], [13], [8], [3], [4], [2], [5], [3], [3], [13], [5], [3], [4], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [3], [9], [8], [6], [5], [2], [4], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [11], [15], [5], [8], [3], [6], [3], [4], [12], [3], [9], [8], [3], [4], [3], [3], [9], [5], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [9], [3], [4], [8], [3], [4], [2], [5], [3], [9], [5], [3], [4], [12], [3], [9], [8], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [3], [3], [9], [5], [3], [6], [3], [7], [22], [2], [4], [2], [2], [5], [2], [2], [2], [3], [7], [3], [3], [3], [4], [2], [6], [4], [3], [9], [3], [3], [3], [4], [3], [3], [9], [5], [2], [2], [2], [2], [2], [2], [5], [3], [9], [3], [3], [13], [3], [4], [2], [4], [3], [14], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [14], [5], [4], [3], [14], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [14], [5], [3], [14], [3], [18], [8], [3], [4], [3], [3], [18], [8], [3], [14], [12], [13], [5], [1], [2], [11], [2], [13], [1], [1], [2], [4], [11], [15], [5], [3], [14], [3], [4], [2], [13], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [3], [3], [3], [14], [5], [3], [3], [9], [12], [3], [9], [8], [3], [13], [3], [4], [8], [3], [4], [1], [2], [11], [2], [14], [1], [2], [4], [3], [18], [3], [3], [3], [3], [3], [18], [2], [14], [11], [15], [5], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [13], [5], [3], [6], [9], [5], [3], [3], [7], [1], [1], [1], [1], [3], [7], [4], [12], [3], [6], [3], [3], [3], [4], [8], [6], [5], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [6], [8], [3], [4], [12], [3], [9], [8], [3], [4], [12], [3], [13], [8], [3], [14], [3], [4], [3], [13], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [8], [3], [4], [12], [3], [13], [8], [3], [4], [2], [5], [3], [3], [13], [5], [3], [14], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [3], [3], [9], [5], [3], [3], [6], [3], [4], [3], [6], [8], [3], [4], [2], [5], [3], [3], [7], [6], [5], [12], [3], [7], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [7], [22], [16], [17], [2], [2], [4], [11], [2], [7], [3], [6], [3], [3], [3], [3], [3], [6], [2], [4], [1], [2], [7], [11], [2], [1], [1], [3], [7], [3], [3], [6], [8], [3], [9], [3], [4], [2], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [3], [13], [3], [3], [14], [12], [3], [18], [8], [3], [23], [3], [4], [3], [18], [2], [4], [3], [18], [3], [3], [3], [4], [3], [3], [18], [5], [2], [2], [2], [2], [2], [2], [5], [4], [3], [14], [3], [3], [13], [12], [9], [5], [3], [9], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [9], [5], [8], [3], [4], [3], [23], [5], [1], [2], [11], [2], [9], [1], [1], [2], [4], [11], [15], [5], [3], [13], [3], [4], [2], [9], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [3], [3], [3], [13], [5], [3], [6], [8], [7], [5], [11], [15], [5], [2], [17], [16], [1], [1]]"
PBDT-TT,IT-M,-5.23,-3.34,-5.513571428571429,-3.808,0.667,DCB,_,25,9.99,9.99,0.904,67.0,"['CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1', 'c1(-c2sc(cc2)-c2sc3c(sc(-c4ccc(s4)C)c3C(OCC(CCCC)CC)=O)c2C(OCC(CC)CCCC)=O)sc2c(c3cc(C)sc3c(c2c1)-c1sc(cc1)CC(CCCC)CC)-c1sc(CC(CCCC)CC)cc1.C(CCCC)Cc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(C(c5ccc(CCCCCC)cc5)(c5c6c(sc-45)cc(s6)/C=C4\\C(c5ccc(C)cc5C4=C(C#N)C#N)=O)c4ccc(cc4)CCCCCC)cc3-c3c2c2c(s3)cc(/C=C3\\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)s2)cc1', 'c1(sc(-c2c3c(c(-c4ccc(s4)CC(CC)CCCC)c4cc(sc42)C)sc(c3)-c2ccc(-c3sc4c(c3C(OCC(CC)CCCC)=O)sc(c4C(OCC(CC)CCCC)=O)-c3ccc(s3)C)s2)cc1)CC(CCCC)CC.c1c(C2(c3c(-c4c2cc2-c5sc6c(sc(c6)/C=C6/C(c7c(ccc(C)c7)C6=O)=C(C#N)C#N)c5C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c2c4)sc2c3sc(/C=C3\\C(c4ccc(C)cc4C3=C(C#N)C#N)=O)c2)c2ccc(CCCCCC)cc2)ccc(CCCCCC)c1', 'c1(ccc(s1)-c1sc2c(c3c(c(c2c1)-c1sc(cc1)CC(CCCC)CC)sc(C)c3)-c1sc(CC(CCCC)CC)cc1)-c1c(c2c(c(c(s2)-c2ccc(C)s2)C(OCC(CCCC)CC)=O)s1)C(OCC(CC)CCCC)=O.c1cc(ccc1CCCCCC)C1(c2ccc(CCCCCC)cc2)c2c(cc3C(c4ccc(cc4)CCCCCC)(c4c5sc(cc5sc4-c3c2)/C=C2\\C(=O)c3ccc(cc3C2=C(C#N)C#N)C)c2ccc(cc2)CCCCCC)-c2c1c1c(cc(s1)/C=C1/C(c3c(C1=O)ccc(C)c3)=C(C#N)C#N)s2', 'CCCCC(COC(c1c(-c2ccc(s2)-c2cc3c(c4sc(cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)C)-c2ccc(CC(CC)CCCC)s2)sc2c(C(=O)OCC(CCCC)CC)c(-c3sc(cc3)C)sc21)=O)CC.C(CCCCC)c1ccc(cc1)C1(c2c(cc3C(c4ccc(CCCCCC)cc4)(c4ccc(cc4)CCCCCC)c4c5c(cc(/C=C6/C(=C(C#N)C#N)c7c(C6=O)ccc(C)c7)s5)sc4-c3c2)-c2c1c1c(cc(/C=C3/C(=C(C#N)C#N)c4cc(C)ccc4C3=O)s1)s2)c1ccc(CCCCCC)cc1']","[[1], [1], [2], [2], [2], [2], [2], [4], [2], [2], [5], [2], [15], [2], [4], [11], [15], [5], [3], [7], [3], [4], [12], [3], [6], [3], [3], [3], [4], [2], [5], [8], [6], [5], [8], [3], [6], [3], [4], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [3], [4], [12], [3], [9], [3], [3], [3], [4], [12], [3], [13], [3], [3], [14], [3], [4], [12], [3], [18], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [18], [5], [3], [18], [8], [3], [4], [2], [5], [3], [3], [18], [3], [4], [12], [3], [18], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [18], [5], [3], [14], [8], [13], [5], [8], [9], [5], [8], [3], [7], [6], [22], [2], [2], [2], [2], [2], [2], [3], [7], [3], [3], [3], [4], [2], [6], [4], [3], [9], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [9], [5], [3], [9], [3], [3], [13], [3], [4], [3], [3], [9], [12], [3], [9], [8], [3], [14], [3], [3], [4], [1], [2], [11], [2], [18], [1], [1], [2], [4], [11], [15], [5], [3], [23], [3], [3], [3], [4], [2], [5], [3], [3], [23], [2], [18], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [8], [3], [14], [3], [9], [6], [5], [2], [4], [3], [6], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [6], [5], [4], [3], [6], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [6], [5], [3], [6], [3], [12], [13], [8], [3], [9], [3], [3], [4], [1], [2], [11], [2], [13], [1], [1], [2], [4], [11], [15], [5], [3], [14], [3], [3], [3], [4], [2], [5], [3], [3], [14], [2], [13], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [8], [3], [6], [9], [5], [3], [3], [7], [1], [1], [1], [1], [3], [7], [4], [12], [3], [6], [8], [3], [4], [3], [3], [6], [5], [12], [3], [6], [8], [3], [9], [3], [4], [8], [3], [4], [12], [3], [13], [3], [3], [3], [4], [8], [13], [5], [2], [5], [3], [9], [2], [4], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [11], [15], [5], [3], [6], [2], [4], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [11], [15], [5], [8], [3], [6], [3], [4], [3], [9], [3], [3], [4], [2], [5], [8], [3], [9], [3], [4], [3], [6], [3], [7], [5], [12], [3], [7], [8], [3], [4], [3], [3], [7], [5], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [12], [3], [7], [8], [3], [4], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [3], [7], [22], [2], [4], [2], [2], [2], [2], [5], [2], [3], [7], [3], [3], [3], [4], [2], [6], [4], [3], [9], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [9], [5], [3], [9], [3], [3], [13], [3], [4], [2], [4], [3], [14], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [14], [5], [4], [3], [14], [3], [18], [3], [4], [8], [3], [12], [13], [14], [5], [3], [3], [4], [8], [18], [5], [1], [2], [11], [2], [13], [1], [1], [2], [4], [3], [14], [3], [3], [3], [4], [2], [5], [3], [3], [14], [2], [13], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [11], [15], [5], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [3], [3], [9], [12], [3], [9], [3], [6], [3], [6], [3], [4], [8], [9], [5], [3], [3], [4], [1], [2], [11], [2], [9], [1], [1], [2], [4], [11], [15], [5], [3], [13], [3], [3], [3], [4], [2], [5], [3], [3], [13], [2], [9], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [8], [6], [5], [3], [3], [7], [1], [1], [1], [1], [3], [7], [4], [8], [3], [4], [12], [3], [6], [3], [9], [3], [4], [3], [4], [12], [3], [13], [3], [3], [3], [4], [8], [13], [5], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [3], [13], [3], [3], [4], [8], [3], [13], [6], [5], [2], [5], [8], [3], [4], [3], [9], [5], [12], [3], [6], [3], [3], [3], [4], [12], [3], [9], [8], [3], [13], [3], [4], [3], [9], [2], [4], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [11], [15], [5], [8], [3], [4], [3], [13], [2], [4], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [11], [15], [5], [12], [3], [9], [3], [3], [3], [4], [8], [9], [5], [2], [5], [8], [6], [5], [3], [3], [7], [5], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [22], [3], [7], [3], [4], [2], [6], [4], [3], [9], [3], [4], [12], [3], [13], [3], [6], [3], [3], [6], [12], [3], [14], [8], [3], [18], [3], [4], [8], [3], [4], [3], [18], [5], [1], [2], [11], [2], [18], [1], [2], [4], [3], [23], [3], [4], [3], [3], [3], [4], [2], [5], [3], [23], [5], [2], [18], [11], [15], [5], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [14], [2], [4], [3], [14], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [14], [5], [4], [3], [14], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [14], [5], [3], [6], [3], [13], [5], [8], [3], [6], [3], [9], [8], [3], [4], [1], [2], [11], [2], [9], [1], [1], [2], [4], [3], [13], [3], [3], [3], [4], [2], [5], [3], [3], [13], [2], [9], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [11], [15], [5], [3], [6], [5], [3], [6], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [6], [5], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [7], [1], [1], [1], [1], [3], [7], [4], [3], [3], [3], [4], [8], [7], [5], [12], [3], [7], [8], [3], [6], [3], [4], [3], [9], [3], [4], [3], [4], [3], [6], [3], [7], [5], [12], [3], [7], [8], [3], [4], [3], [3], [7], [5], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [8], [3], [4], [2], [5], [3], [9], [5], [12], [3], [7], [8], [3], [4], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [3], [7], [5], [12], [3], [7], [3], [4], [3], [6], [3], [4], [3], [4], [3], [4], [8], [6], [5], [12], [3], [6], [3], [3], [3], [4], [2], [5], [8], [6], [5], [2], [4], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [11], [15], [5], [8], [7], [5], [2], [4], [15], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [11], [15], [22], [3], [7], [3], [3], [4], [3], [3], [3], [7], [2], [2], [2], [2], [2], [2], [5], [2], [7], [4], [3], [6], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [6], [5], [3], [6], [3], [4], [3], [3], [9], [2], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [4], [3], [13], [3], [14], [8], [3], [4], [3], [3], [14], [8], [3], [13], [12], [3], [9], [3], [6], [5], [1], [2], [11], [2], [6], [1], [1], [2], [4], [11], [15], [5], [3], [9], [3], [3], [3], [4], [3], [3], [9], [2], [6], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [2], [5], [3], [6], [3], [3], [3], [4], [3], [3], [6], [5], [2], [2], [2], [2], [2], [2], [5], [12], [3], [6], [3], [7], [3], [7], [3], [4], [3], [3], [4], [8], [7], [5], [1], [2], [11], [2], [7], [1], [2], [4], [3], [9], [3], [4], [2], [7], [11], [15], [5], [3], [3], [3], [4], [2], [5], [3], [9], [5], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [8], [6], [1], [1], [1], [1], [2], [2], [2], [2], [2], [4], [2], [15], [2], [4], [3], [7], [3], [4], [12], [3], [6], [3], [3], [3], [4], [8], [6], [5], [12], [3], [6], [3], [3], [9], [3], [4], [3], [13], [8], [3], [4], [3], [3], [13], [3], [4], [12], [3], [13], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [13], [5], [3], [9], [8], [6], [5], [2], [5], [12], [3], [6], [3], [3], [3], [4], [2], [2], [4], [2], [2], [5], [2], [2], [2], [2], [5], [8], [6], [5], [8], [3], [6], [3], [4], [2], [4], [11], [15], [5], [15], [2], [2], [4], [2], [2], [2], [2], [5], [2], [2], [5], [3], [4], [12], [3], [9], [8], [3], [4], [3], [3], [9], [5], [2], [5], [8], [3], [6], [7], [5], [11], [15], [5], [2], [2], [22], [2], [4], [2], [2], [2], [2], [2], [5], [3], [7], [3], [3], [3], [4], [3], [3], [7], [5], [2], [7], [4], [3], [6], [3], [4], [3], [3], [9], [2], [4], [3], [13], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [13], [5], [4], [3], [13], [3], [3], [3], [4], [3], [3], [13], [5], [2], [2], [2], [2], [2], [2], [5], [3], [13], [3], [14], [3], [4], [3], [3], [4], [1], [2], [11], [2], [18], [1], [2], [4], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [23], [3], [4], [2], [18], [11], [15], [5], [3], [3], [3], [4], [2], [5], [3], [23], [5], [8], [14], [5], [8], [3], [13], [12], [3], [9], [3], [6], [5], [12], [3], [6], [3], [7], [3], [7], [3], [4], [3], [3], [4], [1], [2], [11], [2], [9], [1], [2], [4], [11], [2], [4], [2], [17], [16], [5], [2], [17], [16], [5], [3], [13], [3], [3], [4], [2], [5], [3], [3], [3], [13], [2], [9], [11], [15], [5], [8], [7], [5], [8], [6], [5], [3], [7], [3], [3], [3], [4], [2], [2], [2], [2], [2], [2], [5], [3], [3], [7], [1], [1]]"
