,0
0,PBDB-T2Cl
1,HFQx-T
2,PBZ-Cl
3,PTB7
4,BO2FEH
5,PBDS-T
6,BO2FC8
7,PBDB-ST
8,PBDT-3TCO
9,PTFBDT
10,PBT
11,PBDB-T-2Cl
12,PBZ-ClSi
13,PBDB-TF
14,2D-PBTCl2
15,PBDTS-TzBI
16,2D-PBTCl
17,PffBT4T-2OD
18,PFBDB-T
19,PBDB-T-BO
20,HTAZ
21,PBT1-EH
22,PTZ1
23,PBDB-BzT
24,PBDTTT-EFT
25,PBDB-T-2F
26,PBTIBDTT
27,PBT1-C-MW
28,PBDB-O
29,J101
30,P_TBTT-BTT
31,PBDBT-2F
32,PBDT-3T
33,PM6
