,0
0,IDT-2BR1
1,IDDT-TBA
2,NFBDT-Me
3,BAF-4CN
4,MeIC2
5,ITIC-SC2C6
6,BDTIT-M
7,ITIC-Cl4
8,BDTThIT-M
9,ITIC-F
10,NDI-TR
11,SN6IC-4F
12,m-ITIC-OR-4Cl
13,CZC8
14,BDCPDT-IC
15,TTIC-F
16,ITIC-SC6
17,ITIC-SC8
18,IDT-TBA
19,CzC6C8
20,BDCPDT-FIC
21,N3
22,NFBDT-F
23,SN6IC
24,C8-ITIC
25,BTTFIC
26,N4
