Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,DA_manual_tokenized,AD_manual_tokenized,DA_manual_tokenized_aug,AD_manual_tokenized_aug,HOMO_D (eV),LUMO_D (eV),HOMO_A (eV),LUMO_A (eV),D:A ratio (m/m),solvent,total solids conc. (mg/mL),solvent additive,solvent additive conc. (%v/v),active layer thickness (nm),annealing temperature,hole contact layer,electron contact layer,hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),PCE (%),calc_PCE (%),Voc (V),Jsc (mA cm^-2),FF (%),Acceptor_BigSMILES,Donor_BigSMILES
Pff4TBT-2DT,CCCCCCCCCCCCC(C)CCCCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(C)s3)c3nsnc23)sc1-c1ccc(-c2ccc(C)s2)s1,FTTB,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)cc21,"[0, 0, 0, 113, 22, 114, 7, 9, 1, 265, 7, 220, 224, 220, 7, 265]","[0, 0, 0, 265, 7, 220, 224, 220, 7, 265, 1, 113, 22, 114, 7, 9]","[[0, 0, 0, 113, 22, 114, 7, 9, 1, 265, 7, 220, 224, 220, 7, 265], [0, 0, 0, 9, 113, 22, 114, 7, 1, 265, 7, 220, 224, 220, 7, 265], [0, 0, 0, 7, 9, 113, 22, 114, 1, 265, 7, 220, 224, 220, 7, 265], [0, 0, 0, 114, 7, 9, 113, 22, 1, 265, 7, 220, 224, 220, 7, 265], [0, 0, 0, 22, 114, 7, 9, 113, 1, 265, 7, 220, 224, 220, 7, 265]]","[[0, 0, 0, 265, 7, 220, 224, 220, 7, 265, 1, 113, 22, 114, 7, 9], [0, 0, 0, 265, 7, 220, 224, 220, 7, 265, 1, 9, 113, 22, 114, 7], [0, 0, 0, 265, 7, 220, 224, 220, 7, 265, 1, 7, 9, 113, 22, 114], [0, 0, 0, 265, 7, 220, 224, 220, 7, 265, 1, 114, 7, 9, 113, 22], [0, 0, 0, 265, 7, 220, 224, 220, 7, 265, 1, 22, 114, 7, 9, 113]]",-5.34,-3.7,-5.65,-3.62,1.0,CB,20.0,,-1.0,120.0,-1.0,MoOx,ZnO,,,5.0,4.87,1.05,10.3,45.0,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)cc21,{[][<]CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccsc1C[>][<]}{[>][<]Fc1cc2nsnc2cc1F[>][<]}{[>][<]CCCCCCCCCCCCC(C)CCCCCCCCCCc1ccsc1[>][<]}{[>][<]c1ccsc1Cc1cccs1[>][]}
Pff4TBT-2DT,CCCCCCCCCCCCC(C)CCCCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(C)s3)c3nsnc23)sc1-c1ccc(-c2ccc(C)s2)s1,IDFBR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)cc1C3(CC(CC)CCCC)CC(CC)CCCC,"[0, 113, 22, 114, 7, 9, 1, 239, 56, 220, 259, 220, 259, 220, 56, 239]","[0, 239, 56, 220, 259, 220, 259, 220, 56, 239, 1, 113, 22, 114, 7, 9]","[[0, 113, 22, 114, 7, 9, 1, 239, 56, 220, 259, 220, 259, 220, 56, 239], [0, 9, 113, 22, 114, 7, 1, 239, 56, 220, 259, 220, 259, 220, 56, 239], [0, 7, 9, 113, 22, 114, 1, 239, 56, 220, 259, 220, 259, 220, 56, 239], [0, 114, 7, 9, 113, 22, 1, 239, 56, 220, 259, 220, 259, 220, 56, 239], [0, 22, 114, 7, 9, 113, 1, 239, 56, 220, 259, 220, 259, 220, 56, 239]]","[[0, 239, 56, 220, 259, 220, 259, 220, 56, 239, 1, 113, 22, 114, 7, 9], [0, 239, 56, 220, 259, 220, 259, 220, 56, 239, 1, 9, 113, 22, 114, 7], [0, 239, 56, 220, 259, 220, 259, 220, 56, 239, 1, 7, 9, 113, 22, 114], [0, 239, 56, 220, 259, 220, 259, 220, 56, 239, 1, 114, 7, 9, 113, 22], [0, 239, 56, 220, 259, 220, 259, 220, 56, 239, 1, 22, 114, 7, 9, 113]]",-5.34,-3.7,-5.75,-3.7,1.0,CB,20.0,,-1.0,120.0,-1.0,MoOx,ZnO,,,1.75,1.81,1.08,4.4,38.0,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)cc1C3(CC(CC)CCCC)CC(CC)CCCC,{[][<]CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccsc1C[>][<]}{[>][<]Fc1cc2nsnc2cc1F[>][<]}{[>][<]CCCCCCCCCCCCC(C)CCCCCCCCCCc1ccsc1[>][<]}{[>][<]c1ccsc1Cc1cccs1[>][]}
Pff4TBT-2DT,CCCCCCCCCCCCC(C)CCCCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(C)s3)c3nsnc23)sc1-c1ccc(-c2ccc(C)s2)s1,IDTBR,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,"[0, 113, 22, 114, 7, 9, 1, 239, 56, 7, 224, 220, 224, 7, 56, 239]","[0, 239, 56, 7, 224, 220, 224, 7, 56, 239, 1, 113, 22, 114, 7, 9]","[[0, 113, 22, 114, 7, 9, 1, 239, 56, 7, 224, 220, 224, 7, 56, 239], [0, 9, 113, 22, 114, 7, 1, 239, 56, 7, 224, 220, 224, 7, 56, 239], [0, 7, 9, 113, 22, 114, 1, 239, 56, 7, 224, 220, 224, 7, 56, 239], [0, 114, 7, 9, 113, 22, 1, 239, 56, 7, 224, 220, 224, 7, 56, 239], [0, 22, 114, 7, 9, 113, 1, 239, 56, 7, 224, 220, 224, 7, 56, 239]]","[[0, 239, 56, 7, 224, 220, 224, 7, 56, 239, 1, 113, 22, 114, 7, 9], [0, 239, 56, 7, 224, 220, 224, 7, 56, 239, 1, 9, 113, 22, 114, 7], [0, 239, 56, 7, 224, 220, 224, 7, 56, 239, 1, 7, 9, 113, 22, 114], [0, 239, 56, 7, 224, 220, 224, 7, 56, 239, 1, 114, 7, 9, 113, 22], [0, 239, 56, 7, 224, 220, 224, 7, 56, 239, 1, 22, 114, 7, 9, 113]]",-5.34,-3.7,-5.5,-3.9,1.0,CB,20.0,,-1.0,120.0,-1.0,MoOx,ZnO,,,9.95,9.95,1.07,15.0,62.0,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,{[][<]CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccsc1C[>][<]}{[>][<]Fc1cc2nsnc2cc1F[>][<]}{[>][<]CCCCCCCCCCCCC(C)CCCCCCCCCCc1ccsc1[>][<]}{[>][<]c1ccsc1Cc1cccs1[>][]}
J71,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,TTz1,CCCCCCC(CS)CCCCc1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3SCC(CCCC)CCCCCC)nc2s1,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 304, 56, 135, 120, 305, 56, 304]","[0, 0, 0, 0, 304, 56, 135, 120, 305, 56, 304, 1, 6, 7, 8, 9]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 304, 56, 135, 120, 305, 56, 304], [0, 0, 0, 0, 9, 6, 7, 8, 1, 304, 56, 135, 120, 305, 56, 304], [0, 0, 0, 0, 8, 9, 6, 7, 1, 304, 56, 135, 120, 305, 56, 304], [0, 0, 0, 0, 7, 8, 9, 6, 1, 304, 56, 135, 120, 305, 56, 304]]","[[0, 0, 0, 0, 304, 56, 135, 120, 305, 56, 304, 1, 6, 7, 8, 9], [0, 0, 0, 0, 304, 56, 135, 120, 305, 56, 304, 1, 9, 6, 7, 8], [0, 0, 0, 0, 304, 56, 135, 120, 305, 56, 304, 1, 8, 9, 6, 7], [0, 0, 0, 0, 304, 56, 135, 120, 305, 56, 304, 1, 7, 8, 9, 6]]",-5.4,-3.24,-5.59,-3.66,0.5,CF,15.0,DIO,0.25,100.0,-1.0,MoOx,ZnO,0.000424,0.000146,8.77,8.77,0.9,15.43,63.18,CCCCCCC(CS)CCCCc1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3SCC(CCCC)CCCCCC)nc2s1,{[][<]CCC[Si](CCC)(CCC)c1ccc(-c2c3cc(C)sc3c(-c3ccc([Si](CCC)(CCC)CCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J71,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,TTz2,CCCCCCC(CS)CCCCc1cc(-c2ccc(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(/C=c5/sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc3SCC(CCCC)CCCCCC)nc2s1,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 235, 56, 135, 120, 305, 56, 235]","[0, 0, 0, 0, 235, 56, 135, 120, 305, 56, 235, 1, 6, 7, 8, 9]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 235, 56, 135, 120, 305, 56, 235], [0, 0, 0, 0, 9, 6, 7, 8, 1, 235, 56, 135, 120, 305, 56, 235], [0, 0, 0, 0, 8, 9, 6, 7, 1, 235, 56, 135, 120, 305, 56, 235], [0, 0, 0, 0, 7, 8, 9, 6, 1, 235, 56, 135, 120, 305, 56, 235]]","[[0, 0, 0, 0, 235, 56, 135, 120, 305, 56, 235, 1, 6, 7, 8, 9], [0, 0, 0, 0, 235, 56, 135, 120, 305, 56, 235, 1, 9, 6, 7, 8], [0, 0, 0, 0, 235, 56, 135, 120, 305, 56, 235, 1, 8, 9, 6, 7], [0, 0, 0, 0, 235, 56, 135, 120, 305, 56, 235, 1, 7, 8, 9, 6]]",-5.4,-3.24,-5.45,-3.5,0.5,CF,15.0,DIO,0.25,100.0,-1.0,MoOx,ZnO,0.000292,8.74e-05,6.3,6.3,0.92,12.75,53.73,CCCCCCC(CS)CCCCc1cc(-c2ccc(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(/C=c5/sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc3SCC(CCCC)CCCCCC)nc2s1,{[][<]CCC[Si](CCC)(CCC)c1ccc(-c2c3cc(C)sc3c(-c3ccc([Si](CCC)(CCC)CCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,FTIC-C8C6,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,"[0, 0, 49, 7, 100, 9, 1, 221, 7, 233, 220, 224, 220, 233, 7, 221]","[0, 0, 221, 7, 233, 220, 224, 220, 233, 7, 221, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 221, 7, 233, 220, 224, 220, 233, 7, 221], [0, 0, 9, 49, 7, 100, 1, 221, 7, 233, 220, 224, 220, 233, 7, 221], [0, 0, 100, 9, 49, 7, 1, 221, 7, 233, 220, 224, 220, 233, 7, 221], [0, 0, 7, 100, 9, 49, 1, 221, 7, 233, 220, 224, 220, 233, 7, 221]]","[[0, 0, 221, 7, 233, 220, 224, 220, 233, 7, 221, 1, 49, 7, 100, 9], [0, 0, 221, 7, 233, 220, 224, 220, 233, 7, 221, 1, 9, 49, 7, 100], [0, 0, 221, 7, 233, 220, 224, 220, 233, 7, 221, 1, 100, 9, 49, 7], [0, 0, 221, 7, 233, 220, 224, 220, 233, 7, 221, 1, 7, 100, 9, 49]]",-5.23,-3.42,-5.62,-3.83,1.0,DCB ,,DIO,0.5,200.0,-1.0,MoOx,PFN-Br,,,9.91,9.99,0.92,16.1,67.46,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,FTIC-C6C6,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,"[0, 0, 49, 7, 100, 9, 1, 221, 7, 233, 220, 233, 220, 233, 7, 221]","[0, 0, 221, 7, 233, 220, 233, 220, 233, 7, 221, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 221, 7, 233, 220, 233, 220, 233, 7, 221], [0, 0, 9, 49, 7, 100, 1, 221, 7, 233, 220, 233, 220, 233, 7, 221], [0, 0, 100, 9, 49, 7, 1, 221, 7, 233, 220, 233, 220, 233, 7, 221], [0, 0, 7, 100, 9, 49, 1, 221, 7, 233, 220, 233, 220, 233, 7, 221]]","[[0, 0, 221, 7, 233, 220, 233, 220, 233, 7, 221, 1, 49, 7, 100, 9], [0, 0, 221, 7, 233, 220, 233, 220, 233, 7, 221, 1, 9, 49, 7, 100], [0, 0, 221, 7, 233, 220, 233, 220, 233, 7, 221, 1, 100, 9, 49, 7], [0, 0, 221, 7, 233, 220, 233, 220, 233, 7, 221, 1, 7, 100, 9, 49]]",-5.23,-3.42,-5.6,-3.81,1.0,DCB,,DIO,0.3,200.0,-1.0,MoOx,PFN-Br,,,9.18,9.21,0.91,16.03,63.17,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,FTIC-C6C8,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,"[0, 0, 49, 7, 100, 9, 1, 221, 7, 224, 220, 233, 220, 224, 7, 221]","[0, 0, 221, 7, 224, 220, 233, 220, 224, 7, 221, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 221, 7, 224, 220, 233, 220, 224, 7, 221], [0, 0, 9, 49, 7, 100, 1, 221, 7, 224, 220, 233, 220, 224, 7, 221], [0, 0, 100, 9, 49, 7, 1, 221, 7, 224, 220, 233, 220, 224, 7, 221], [0, 0, 7, 100, 9, 49, 1, 221, 7, 224, 220, 233, 220, 224, 7, 221]]","[[0, 0, 221, 7, 224, 220, 233, 220, 224, 7, 221, 1, 49, 7, 100, 9], [0, 0, 221, 7, 224, 220, 233, 220, 224, 7, 221, 1, 9, 49, 7, 100], [0, 0, 221, 7, 224, 220, 233, 220, 224, 7, 221, 1, 100, 9, 49, 7], [0, 0, 221, 7, 224, 220, 233, 220, 224, 7, 221, 1, 7, 100, 9, 49]]",-5.23,-3.42,-5.64,-3.81,1.0,DCB,,DIO,0.5,200.0,-1.0,MoOx,PFN-Br,,,11.12,11.05,0.92,18.55,64.72,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,NDI-TR,CCCCC(CC)CN1C(=O)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)s3)c3c4c(cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)s5)c(c24)C1=O)C(=O)N(CC(CC)CCCC)C3=O,"[0, 0, 0, 0, 0, 0, 0, 0, 49, 101, 1, 239, 7, 306, 7, 239]","[0, 0, 0, 0, 0, 0, 0, 0, 239, 7, 306, 7, 239, 1, 49, 101]","[[0, 0, 0, 0, 0, 0, 0, 0, 49, 101, 1, 239, 7, 306, 7, 239], [0, 0, 0, 0, 0, 0, 0, 0, 101, 49, 1, 239, 7, 306, 7, 239]]","[[0, 0, 0, 0, 0, 0, 0, 0, 239, 7, 306, 7, 239, 1, 49, 101], [0, 0, 0, 0, 0, 0, 0, 0, 239, 7, 306, 7, 239, 1, 101, 49]]",-5.2,-3.5,-5.81,-3.95,,,,,-1.0,,-1.0,PEDOT:PSS,,0.0013,6e-05,3.07,3.1,0.64,7.01,69.0,CCCCC(CC)CN1C(=O)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)s3)c3c4c(cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)s5)c(c24)C1=O)C(=O)N(CC(CC)CCCC)C3=O,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,IXIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 221, 79, 218, 79, 218, 79, 221]","[0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 221, 79, 218, 79, 218, 79, 221], [0, 0, 0, 0, 9, 49, 7, 100, 1, 221, 79, 218, 79, 218, 79, 221], [0, 0, 0, 0, 100, 9, 49, 7, 1, 221, 79, 218, 79, 218, 79, 221], [0, 0, 0, 0, 7, 100, 9, 49, 1, 221, 79, 218, 79, 218, 79, 221]]","[[0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 49, 7, 100, 9], [0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 9, 49, 7, 100], [0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 100, 9, 49, 7], [0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 7, 100, 9, 49]]",-5.23,-3.42,-5.13,-3.78,1.0,CF,14.0,,-1.0,100.0,100.0,PEDOT:PSS,ZrAcAc,0.00084,0.00041,11.3,11.21,0.82,20.9,65.4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,IXIC-4Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 230, 79, 218, 79, 218, 79, 230]","[0, 0, 0, 0, 230, 79, 218, 79, 218, 79, 230, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 230, 79, 218, 79, 218, 79, 230], [0, 0, 0, 0, 9, 49, 7, 100, 1, 230, 79, 218, 79, 218, 79, 230], [0, 0, 0, 0, 100, 9, 49, 7, 1, 230, 79, 218, 79, 218, 79, 230], [0, 0, 0, 0, 7, 100, 9, 49, 1, 230, 79, 218, 79, 218, 79, 230]]","[[0, 0, 0, 0, 230, 79, 218, 79, 218, 79, 230, 1, 49, 7, 100, 9], [0, 0, 0, 0, 230, 79, 218, 79, 218, 79, 230, 1, 9, 49, 7, 100], [0, 0, 0, 0, 230, 79, 218, 79, 218, 79, 230, 1, 100, 9, 49, 7], [0, 0, 0, 0, 230, 79, 218, 79, 218, 79, 230, 1, 7, 100, 9, 49]]",-5.23,-3.42,-5.2,-3.95,1.0,CF,14.0,,-1.0,100.0,100.0,PEDOT:PSS,ZrAcAc,0.00089,0.00049,11.2,11.25,0.69,22.9,71.2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
