Donor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
FTAZ,CCCCCCC(CCCC)CSc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(SCC(CCCC)CCCCCC)nc45)s3)sc2c(SCC(CCCC)CCCCCC)c2cc(C)sc12,Cc1sc2c([R7])c3cc(c4ccc(c5c6nn([R7])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c([R7])c2c1, , , 
PBFZ-OP,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cccc(OCC(CC)CCCC)c6)c6sc(C)cc6c(-c6cccc(OCC(CC)CCCC)c6)c5s4)s3)c2n1,Cc1sc2c(c3cc(O[R4])ccc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3cc(O[R4])ccc3)c2c1, , , 
PBDT[2H]T,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1sc2c(O[R4])c3cc(c4ccc(C)s4)sc3c(O[R4])c2c1, , , 
PBDT[2F]T,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1sc2c(O[R4])c3cc(c4c(F)c(F)c(C)s4)sc3c(O[R4])c2c1, , , 
PBDT(T)[2F]T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c(F)c4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c(F)c(F)c(C)s4)sc3c(c3sc([R4])cc3)c2c1, , , 
PBDTaNPFBT,CCCCCCCCCCC(CCCCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(-c2cccc3ccccc23)c2cc(C)sc12,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1, , , 
PBDTbNPFBT,CCCCCCCCCCC(CCCCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(-c2ccc3ccccc3c2)c2cc(C)sc12,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1, , , 
PBDT-DTffBT,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5cc6sc(C)cc6cc5s4)s3)c3nsnc23)sc1C,Cc1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc([R6])c(C)s6)c(F)c5F)cc4[R6])sc3cc2c1, , , 
O-PBDT,CCCCC(CC)COc1c2cc(C)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1sc2c(O[R4])c3cc(C)sc3c(O[R4])c2c1, , , 
SO-PBDT,CCCCC(CC)COc1c2cc(-c3cc4c(SCC(CC)CCCC)c5sc(C)cc5c(SCC(CC)CCCC)c4s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1sc2c(O[R4])c3cc(c4sc5c(S[R4])c6cc(C)sc6c(S[R4])c5c4)sc3c(O[R4])c2c1, , , 
PBDT-KTBDT,CCCCC(CC)COc1c2cc(-c3cc4c(-c5ccc(C(=O)CC(CC)CCCC)s5)c5sc(C)cc5c(C5=CC=C(C(=O)CC(CC)CCCC)C5)c4s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1sc2c(O[R4])c3cc(c4sc5c(C6=CC=C(C([R4])=O)C6)c6cc(C)sc6c(c6sc(C([R4])=O)cc6)c5c4)sc3c(O[R4])c2c1, , , 
PBDT-ROBT,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2cc3c(OCC(CCCCCCCC)CCCCCCCCCC)c4sc(C)cc4c(OCC(CCCCCCCC)CCCCCCCCCC)c3s2)c2nsnc2c1C,Cc1sc2c(O[R6])c3cc(c4c5nsnc5c(C)c(O[R5])c4O[R5])sc3c(O[R6])c2c1, , , 
PBDT-2T-ROBT,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3ccc(-c4cc5c(OCC(CCCCCCCC)CCCCCCCCCC)c6sc(C)cc6c(OCC(CCCCCCCC)CCCCCCCCCC)c5s4)s3)s2)c2nsnc2c1-c1ccc(-c2ccc(C)s2)s1,Cc1sc2c(O[R6])c3cc(c4ccc(c5sc(c6c7nsnc7c(c7sc(c8ccc(C)s8)cc7)c(O[R5])c6O[R5])cc5)s4)sc3c(O[R6])c2c1, , , 
