Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(C=C3C(=O)c4cc(Cl)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc3c3sc4cc5c6c(sc5cc4c32)c2sc(C=C3C(=O)c4cc(Cl)ccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1, , , 
BDCPDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8ccccc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1, , , 
NFBDT-F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3c3sc4cc5c6c(sc5cc4c32)c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1, , , 
SN6IC,CCCCCCC(CCCCCC)n1c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2c2sc3c(sc4c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5n(C(CCCCCC)CCCCCC)c43)c21,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2n(C([R14])[R14])c3c4sc5c6sc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)cc6n(C([R14])[R14])c5c4sc3c2s1, , , 
SN6IC-4F,CCCCCCC(CCCCCC)n1c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2c2sc3c(sc4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5n(C(CCCCCC)CCCCCC)c43)c21,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc2n(C([R14])[R14])c3c4sc5c6sc(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)cc6n(C([R14])[R14])c5c4sc3c2s1, , , 
IDT-TBA,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C=C3C(=O)N(CC)C(=S)N(CC)C3=O)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4C(N(C(N(C\4=O)CC)=S)CC)=O)sc3c3cc4c(c5sc(/C=C6C(N(C(N(C\6=O)CC)=S)CC)=O)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IDDT-TBA,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)N(CC)C(=S)N(CC)C6=O)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(N(C(N(C\5=O)CC)=S)CC)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(N(C(N(C\7=O)CC)=S)CC)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
O-NTIC,CCCCCCC(CCCC)COc1ccc(C2(c3ccc(OCC(CCCC)CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc(OCC(CCCC)CCCCCC)cc2)(c2ccc(OCC(CCCC)CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3c4ccc5c(c6sc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)cc6C5(c5ccc(O[R30])cc5)c5ccc(O[R30])cc5)c4ccc3C2(c2ccc(O[R30])cc2)c2ccc(O[R30])cc2)s1, , , 
O-NTNC,CCCCCCC(CCCC)COc1ccc(C2(c3ccc(OCC(CCCC)CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc(OCC(CCCC)CCCCCC)cc2)(c2ccc(OCC(CCCC)CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1,O=C(c1cc2ccccc2cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3c4ccc5c(c6sc(/C=C7C(c8cc9ccccc9cc8C\7=C(C#N)\C#N)=O)cc6C5(c5ccc(O[R30])cc5)c5ccc(O[R30])cc5)c4ccc3C2(c2ccc(O[R30])cc2)c2ccc(O[R30])cc2)s1, , , 
BTTFIC,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc2cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc2c1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1c-3sc2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc12,O=C1c2c(C(/C1=C/c1cc3sc(c4cc(C5([R2])[R2])c(c6c5cc(c5c(C([R2])7[R2])c8sc(/C=C9C(c%10ccccc%10C\9=C(C#N)\C#N)=O)cc8s5)c7c6)cc4C4([R2])[R2])c4c3s1)=C(C#N)/C#N)cccc2, , , 
