Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
DTPC-IC,CCCCCCCCC(CCCCCC)Cn1c2cc3c4c(ccc5c6ccc7c8c(cc1c(c86)c2c45)-c1sc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)cc1C7(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1sc(c(cc(c2c34)n5[R1])c4c(C(c4ccc([R14])cc4)4c6ccc([R14])cc6)ccc3c3c6c2c5cc2c6c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5c2sc(/C=C2/C(c6c(C2=O)cccc6)=C(C#N)/C#N)c5)cc3)c4c1, , , 
BDCPDT-FIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8cc(F)c(F)cc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1, , , 
FDICTF,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C1c2c(C(/C1=C/c1cc3c(c4cc(C5([R2])[R2])c(c6c5cc(c5sc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)cc5C5([R2])[R2])c5c6)cc4C3([R2])[R2])s1)=C(C#N)\C#N)cccc2, , , 
MPU1,CCCCC(CC)CN1C(=O)C2C(C(=O)N(CC(CC)CCCC)C2c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)C1c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,O=C(N(CC)C(S/1)=S)C1=C\c1ccc(C2C(C(N([R4])C3c4ccc(/C=C5C(N(CC)C(S/5)=S)=O)s4)=O)C3C(N2[R4])=O)s1, , , 
IDT-B6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(CCCCCC)c(C=O)cc5CCCCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(CCCCCC)c(C=O)cc3CCCCCC)sc2-4)cc1,[R14]c1cc(C=O)c([R14])cc1c1sc(c2cc3c(c4sc(c5c([R14])cc(C=O)c([R14])c5)cc4C(c4ccc([R14])cc4)3c3ccc([R14])cc3)cc2C2(c3ccc([R14])cc3)c3ccc([R14])cc3)c2c1, , , 
ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITVfIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c3sc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc3sc24)cc1, , , 
FOIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(C=C4C(=O)c6cc(F)ccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc4sc3c3sc4c5c(sc4c32)c2sc3cc(C=C4C(=O)c6cc(F)ccc6C4=C(C#N)C#N)sc3c2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1, , , 
N5,CCCCCCCCN1C(=O)c2cc(-c3ccc(/C=C(/C#N)C(=O)OCCOC)s3)c3c4c(cc(-c5ccc(/C=C(/C#N)C(=O)OCCOC)s5)c(c24)C1=O)C(=O)N(CCCCCCCC)C3=O,[R2]N1C(C2=CC(C3=CC=C(/C=C(C(OCCOC)=O)/C#N)S3)=C4C5=C2C(C1=O)=C(C=C5C(N([R2])C4=O)=O)C6=CC=C(/C=C(C#N)\C(OCCOC)=O)S6)=O, , , 
IT-O1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(OC)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(OC)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IT-O2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCC)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(OCC)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(OCC)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IT-O3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCC)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(OCCC)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(OCCC)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
IT-O4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCCC)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(OCCCC)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(OCCCC)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
NFDTS,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]4(CCCCCCCC)CCCCCCCC,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4c5c(c6c([Si]5([R2])[R2])cc(/C=C5C(c7cc(F)c(F)cc7C\5=C(C#N)\C#N)=O)s6)sc4c3[Si]2([R2])[R2])s1, , , 
NFDTSB,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c(OCC(CC)CCCC)c4c5c(sc4c(OCC(CC)CCCC)c3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]5(CCCCCCCC)CCCCCCCC,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4c(O[R4])c5c6c(c7c([Si]6([R2])[R2])cc(/C=C6C(c8cc(F)c(F)cc8C\6=C(C#N)\C#N)=O)s7)sc5c(O[R4])c4c3[Si]2([R2])[R2])s1, , , 
DTNSF,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s3)sc2-c2c1ccc1c3c(ccc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s2)sc1-3,[R4]C1([R4])c2cc(c3ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s3)sc2c2c1ccc1c2ccc2c1c1sc(c3ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s3)cc1C2([R4])[R4], , , 
DTNIC8,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3c4ccc5c(c6c(C5([R4])[R4])cc(/C=C5C(c7ccccc7C\5=C(C#N)\C#N)=O)s6)c4ccc3C2([R4])[R4])s1, , , 
DTNIF,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3,[R4]C1([R4])c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2c2c1ccc1c2ccc2c1c1sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc1C2([R4])[R4], , , 
Si4TIC-F,CCCCCC[Si]1(CCCCCC)c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(C=C2C(=O)c3cc(F)ccc3C2=C(C#N)C#N)cc1[Si]4(CCCCCC)CCCCCC,[R14][Si]1([R14])c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2c2sc3c4c(sc3c21)c1sc(C=C2C(=O)c3cc(F)ccc3C2=C(C#N)C#N)cc1[Si]4([R14])[R14], , , 
IDT-FBTB,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C\c2c(F)cc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4cc(F)c(/C=c6\sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6nsnc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nsnc23)c1=O,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7cc(F)c(/C=C8S/C(N(CCCCCCCC)C\8=O)=C(C#N)/C#N)c8c7nsn8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2cc(F)c(/C=C4S/C(N(CCCCCCCC)C\4=O)=C(C#N)/C#N)c4c2nsn4)c3)cc1, , , 
BT-FIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4c(O[R4])c5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8cc(F)c(F)cc8C\6=C(C#N)\C#N)=O)s7)sc5c(O[R4])c4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1, , , 
,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc35)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7ccc(/C=C8S/C(N(CC)C\8=O)=C(C#N)/C#N)c8c7nsn8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2ccc(/C=C4S/C(N(CC)C\4=O)=C(C#N)/C#N)c4c2nsn4)c3)cc1, , , 
Qx1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C=O)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7ccc(C=O)c8nc(c9ccccc9)c(c9ccccc9)nc78)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2ccc(C=O)c4nc(c5ccccc5)c(c5ccccc5)nc24)c3)cc1, , , 
Qx1b,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(-c4ccc(C=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)cc21)C(CCCCCC)(CCCCCC)c1cc(-c2ccc(C=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc24)sc1-3,[R14]C1([R14])c2c(c3cc4c(c5sc(c6ccc(C=O)c7nc(c8ccccc8)c(c8ccccc8)nc67)cc5C([R14])4[R14])cc31)sc(c1ccc(C=O)c3nc(c4ccccc4)c(c4ccccc4)nc13)c2, , , 
BTA23,CCCCCCn1nc2c(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCC)nc56)ccc3-4)c2n1,[R14]n1nc2c(/C=C3C(N(/C(S/3)=C(C#N)/C#N)CC)=O)ccc(c3ccc(c4ccc(c5c6nn([R14])nc6c(/C=C6S/C(N(CC)C\6=O)=C(C#N)/C#N)cc5)cc4C45c6c(c7c5cccc7)cccc6)c4c3)c2n1, , , 
BTA21,CCCCCCn1nc2c(/C=C3\SC(=S)N(CC)C3=O)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nn(CCCCCC)nc56)ccc3-4)c2n1,[R14]n1nc2c(/C=C3C(N(C(S/3)=S)CC)=O)ccc(c3ccc(c4ccc(c5c6nn([R14])nc6c(/C=C6SC(N(CC)C\6=O)=S)cc5)cc4C45c6c(c7c5cccc7)cccc6)c4c3)c2n1, , , 
BTA27,CCCCCCn1nc2c(C=C(C#N)C#N)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(C=C(C#N)C#N)c6nn(CCCCCC)nc56)ccc3-4)c2n1,[R14]n1nc2c(/C=C(C#N)/C#N)ccc(c3ccc(c4ccc(c5c6nn([R14])nc6c(/C=C(C#N)\C#N)cc5)cc4C45c6c(c7c5cccc7)cccc6)c4c3)c2n1, , , 
F-H,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C1c2c(C(/C1=C/c1sc(c3cc(C4([R2])[R2])c(c5c4cc(c4c(C([R2])6[R2])cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)s4)c6c5)cc3C3([R2])[R2])c3c1)=C(C#N)/C#N)cccc2, , , 
F-F,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3,[R2]C1([R2])c2cc3c(cc2c2cc4c(cc21)c1sc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc13, , , 
F-Cl,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Cl)ccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(C=C2C(=O)c4cc(Cl)ccc4C2=C(C#N)C#N)sc1-3,[R2]C1([R2])c2cc3c(cc2c2cc4c(cc21)c1sc(C=C2C(=O)c5cc(Cl)ccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(C=C2C(=O)c4cc(Cl)ccc4C2=C(C#N)C#N)sc13, , , 
F-Br,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Br)ccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(C=C2C(=O)c4cc(Br)ccc4C2=C(C#N)C#N)sc1-3,[R2]C1([R2])c2cc3c(cc2c2cc4c(cc21)c1sc(C=C2C(=O)c5cc(Br)ccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(C=C2C(=O)c4cc(Br)ccc4C2=C(C#N)C#N)sc13, , , 
Cl-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Cl)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3c3sc5cc(C=C6C(=O)c7cc(Cl)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c3sc(C=C5C(=O)c6cc(Cl)ccc6C5=C(C#N)C#N)cc3sc24)cc1, , , 
Br-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Br)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Br)ccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3c3sc5cc(C=C6C(=O)c7cc(Br)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c3sc(C=C5C(=O)c6cc(Br)ccc6C5=C(C#N)C#N)cc3sc24)cc1, , , 
I-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(I)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(I)ccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3c3sc5cc(C=C6C(=O)c7cc(I)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c3sc(C=C5C(=O)c6cc(I)ccc6C5=C(C#N)C#N)cc3sc24)cc1, , , 
NFBDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(cc4sc5c(C(c6ccc([R14])cc6)(c6ccc([R14])cc6)c6cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)sc65)c4c4)c4sc3c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc23)cc1, , , 
NCBDT,CCCCCCCCc1c2sc3c(c2c(CCCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3c3sc4c([R2])c5c6c(sc5c([R2])c4c32)c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1, , , 
ZITI-4F,CCCCC(CCCC)CC1(CC(CCCC)CCCC)C2=C(c3cc4c(cc31)-c1sc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)cc1C4)C(CC(CCCC)CCCC)(CC(CCCC)CCCC)c1cc3c(cc12)Cc1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1sc(c2cc(C([R31])([R31])C3=C4C([R31])([R31])c5c3cc(Cc3cc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)sc33)c3c5)c4cc2C2)c2c1, , , 
DTCCIC-C17,CCCCCCCCCC(CCCCCCC)n1c2cc3c(cc2c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(c1ccc(CCCCCCCC)cc1)c1ccc(CCCCCCCC)cc1)C(c1ccc(CCCCCCCC)cc1)(c1ccc(CCCCCCCC)cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1sc(c2cc3n([R21])c4cc(c5c(C(c6ccc([R2])cc6)6c7ccc([R2])cc7)cc(/C=C7/C(c8c(C7=O)cccc8)=C(C#N)/C#N)s5)c6cc4c3cc2C2(c3ccc([R2])cc3)c3ccc([R2])cc3)c2c1, , , 
O-IDTBR,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C([R2])5[R2])cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3([R2])[R2])s2)cc1, , , 
EH-IDTBR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C([R4])5[R4])cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3([R4])[R4])s2)cc1, , , 
FBR,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4ccc(c5c6nsnc6c(/C=C6SC(N(C\6=O)CC)=S)cc5)cc4C3([R2])[R2])cc2)cc1, , , 
ITCPTC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cscc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cscc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
