ref,DOI,Donor,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),HTL,HTL energy level (eV),HTL thickness (nm),ETL,ETL enegy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),hole:electron mobility ratio,Voc (V),Jsc (mA cm^-2),FF (%),PCE (%),calculated PCE (%),solvent dipole,solvent dD,solvent dP,solvent dH,solvent dHDon,solvent dHAcc,solvent MW,solvent Density,solvent BPt,solvent MPt,solvent logKow,solvent RI,solvent Trouton,solvent RER,solvent ParachorGA,solvent RD,solvent DCp,solvent log n,solvent SurfTen,solvent additive dipole,solvent additive dD,solvent additive dP,solvent additive dH,solvent additive dHDon,solvent additive dHAcc,solvent additive MW,solvent additive Density,solvent additive BPt,solvent additive MPt,solvent additive logKow,solvent additive RI,solvent additive Trouton,solvent additive RER,solvent additive ParachorGA,solvent additive RD,solvent additive DCp,solvent additive log n,solvent additive SurfTen,ETL energy level (eV)
1,10.1002/aenm.201801214,PBDT-TT,1.71,136.7,,-5.23,-3.34,1.8900000000000006,1.88,6TIC,-5.263333333333333,-3.85,1.4133333333333327,1.3666666666666665,0.6666666666666666,o-DCB,2500.0,25.0,_,0.0,100.0,25.0,0.0,PEDOT:PSS,-5.2,,C60-bissalt,,,6.06e-05,3.04e-05,1.99,0.812,19.1,61.0,9.46,9.460612000000001,2.53,19.2,6.3,3.3,1.9,1.6,147.0,1.306,180.0,-17.0,3.43,1.549,-40.15,-90.0,0.258,290.6,36.22,180.5,126.5,,,,,,,,,,,,,,,,,,,,-3.9
52,10.1002/aenm.201801214,PBDT-TT,1.71,136.7,,-5.23,-3.34,1.8900000000000006,1.88,ITIC,-5.576,-3.9160000000000004,1.6599999999999993,1.5855555555555556,0.6666666666666666,o-DCB,2500.0,25.0,_,0.0,100.0,25.0,0.0,PEDOT:PSS,-5.2,,C60-bissalt,,,9.28e-05,4.21e-05,2.2,0.849,15.8,65.0,8.72,8.719230000000001,2.53,19.2,6.3,3.3,1.9,1.6,147.0,1.306,180.0,-17.0,3.43,1.549,-40.15,-90.0,0.258,290.6,36.22,180.5,126.5,,,,,,,,,,,,,,,,,,,,-3.9
63,10.1002/aenm.201801214,PBDT-TT,1.71,136.7,,-5.23,-3.34,1.8900000000000006,1.88,IT-M,-5.513571428571429,-3.808,1.705571428571429,1.604285714285714,0.6666666666666666,o-DCB,2500.0,25.0,_,0.0,100.0,25.0,0.0,PEDOT:PSS,-5.2,,C60-bissalt,,,0.000143,5.5e-05,2.6,0.904,16.5,67.0,9.99,9.993720000000001,2.53,19.2,6.3,3.3,1.9,1.6,147.0,1.306,180.0,-17.0,3.43,1.549,-40.15,-90.0,0.258,290.6,36.22,180.5,126.5,,,,,,,,,,,,,,,,,,,,-3.9
2,10.1016/j.scib.2018.05.025,J71,,,,-5.3475,-3.4510000000000005,1.8964999999999996,1.8642857142857145,A201,-5.69,-3.93,1.7600000000000002,1.64,1.0,CF,,,_,0.0,,25.0,0.0,PEDOT:PSS,-5.2,,Ca,,20,0.000956,0.000517,1.85,0.88,13.15,67.15,9.36,7.7705980000000014,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,,,,,,,,,,,,,,,,,,,,-2.9
3,10.1002/aenm.201801582,J52,,,,-5.218181818181818,-3.066666666666667,2.151515151515151,1.95,BTA13,-5.34,-3.6199999999999997,1.7200000000000002,1.72,1.0,CF,,12.0,CN,0.5,105.0,170.0,,PEDOT:PSS,-5.2,30.0,Ca,,20,0.000586,0.00028,2.09,1.05,12.7,58.66,7.82,7.822311,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,1.55,20.5,4.9,2.5,0.6,3.3,162.62,1.194,259.0,-4.0,4,1.633,-47.72,-91.2,0.705,346.5,48.94,230.8,143.6,-2.9
4,10.1002/aenm.201801582,J52-F,1.87,24.6,45.8,-5.29,-3.38,1.9100000000000001,1.92,BTA13,-5.34,-3.6199999999999997,1.7200000000000002,1.72,1.0,CF,1000.0,12.0,CN,0.5,108.0,150.0,,PEDOT:PSS,-5.2,30.0,Ca,,20,0.000387,6.15e-05,6.29,1.18,11.55,61.34,8.36,8.3600286,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,1.55,20.5,4.9,2.5,0.6,3.3,162.62,1.194,259.0,-4.0,4,1.633,-47.72,-91.2,0.705,346.5,48.94,230.8,143.6,-2.9
5,10.1002/aenm.201801582,J52-FS,2.64,19.6,51.8,-5.32,-3.39,1.9300000000000002,1.93,BTA13,-5.34,-3.6199999999999997,1.7200000000000002,1.72,1.0,CF,,12.0,CN,0.5,96.0,150.0,,PEDOT:PSS,-5.2,30.0,Ca,,20,0.00014,1.73e-05,8.09,1.24,6.74,45.96,3.84,3.84115296,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,1.55,20.5,4.9,2.5,0.6,3.3,162.62,1.194,259.0,-4.0,4,1.633,-47.72,-91.2,0.705,346.5,48.94,230.8,143.6,-2.9
6,10.1039/C7EE00844A,J61,,,,-5.303333333333334,-3.1516666666666673,2.1516666666666664,1.8914285714285712,BT-IC,-5.3775,-3.8575,1.5200000000000005,1.43,1.0,CF,1500.0,16.0,_,0.0,130.0,120.0,10.0,PEDOT:PSS,-5.2,,PDINO,,10,0.000615,0.000495,1.24,0.87,16.35,67.1,9.56,9.544639499999999,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,,,,,,,,,,,,,,,,,,,,-3.9
7,10.1039/C7EE00844A,J71,,,,-5.3475,-3.4510000000000005,1.8964999999999996,1.8642857142857145,BT-IC,-5.3775,-3.8575,1.5200000000000005,1.43,0.6666666666666666,CF,1500.0,16.0,_,0.0,130.0,120.0,10.0,PEDOT:PSS,-5.2,,PDINO,,10,0.000353,0.00076,0.464,0.9,17.75,65.7,10.46,10.495575,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,,,,,,,,,,,,,,,,,,,,-3.9
8,10.1002/adma.201604155,J51,1.35,32.0,,-5.24,-3.0566666666666666,2.1833333333333336,1.91,IDIC,-5.705,-3.996875,1.708125,1.635833333333334,1.0,CF,3000.0,12.0,_,0.0,100.0,25.0,0.0,MoOx,-5.3,5.0,ZnO,,,3.4e-05,0.00025,0.136,0.796,12.24,66.0,6.94,6.430406400000001,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61.0,-64.0,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2,,,,,,,,,,,,,,,,,,,,-4.46
