index,name,other_names,CAS_num,formula,IUPAC,SMILES,BigSMILES,HOMO,LUMO,ref,Notes
1,PBDT-TT,,,(C64H74O4S8)n,,,{CCC(CCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCC)s2)c2cc($)sc12)c1ccc(s1)c1sc2c(c(sc2c1C(=O)OCC(CC)CCCC)c1ccc($)s1)C(=O)OCC(CC)CCCC},-5.23,-3.34,5,
2,J71,,,(C66H85F2N3S6Si2)n,"poly[5,6-difluoro-2-(2-hexylundecyl)-4-(5-(6-methyl-4,8-bis(5-(tripropylsilyl)thiophen-2-yl)benzo[1,2-b:4,5-b']dithiophen-2-yl)thiophen-2-yl)-7-(5-methylthiophen-2-yl)-2H-benzo[d][1,2,3]triazole]",,{CCC[Si](CCC)(CCC)c1ccc(s1)c1c2cc(sc2c(c2ccc(s2)[Si](CCC)(CCC)CCC)c2cc($)sc21)c1ccc(s1)c1c(F)c(F)c(c2ccc($)s2)c2nn(CC(CCCCCC)CCCCCCCC)nc21},-5.44,-3.45,11,
3,J52,,,(C64H79F2N3S6)n,"4-(5-(4,8-bis(5-(2-ethylhexyl)thiophen-2-yl)-6-methylbenzo[1,2-b:4,5-b']dithiophen-2-yl)thiophen-2-yl)-5,6-difluoro-2-(2-hexylundecyl)-7-(5-methylthiophen-2-yl)-2H-benzo[d][1,2,3]triazole",,{CCC(CCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCCC)s2)c2CC($)Sc12)c1ccc(s1)c1c(F)c(F)c(c2ccc($)s2)c2nn(CC(CCCCCC)CCCCCCCC)nc21},-5.13,-3.22,7,bithienyl‐benzodithiophene‐alt‐fluorobenzotriazole copolymer
4,J52-F,,,(C64H77F4N3S6)n,could not find the full name,,{$c1ccc(s1)c1c(F)c(F)c(c2nn(CC(CCCCCC)CCCCCCCC)nc12)c1ccc(s1)c1cc2c(c3cc(F)c(CC(CC)CCCC)s3)c3SC($)Cc3c(c3cc(F)c(CC(CCCC)CC)s3)c2s1},-5.29,-3.38,7,
5,J52-FS,,,(C64H77F4N3S8)n,could not find the full name,,{$c1ccc(s1)c1c(F)c(F)c(c2nn(CC(CCCCCC)CCCCCCCC)nc12)c1ccc(s1)c1cc2c(c3cc(F)c(SCC(CC)CCCC)s3)c3SC($)Cc3c(c3cc(F)c(SCC(CCCC)CC)s3)c2s1},-5.32,-3.39,7,
6,J61,,,(C72H93F2N3S8)n,"poly[4-(5-(4,8-bis(5-(dodecylthio)thiophen-2-yl)-6-methylbenzo[1,2-b:4,5-b']dithiophen-2-yl)thiophen-2-yl)-5,6-difluoro-2-(2-hexyldecyl)-7-(5-methylthiophen-2-yl)-2H-benzo[d][1,2,3]triazole]",,{$c1ccc(s1)c1c(F)c(F)c(c2nn(CC(CCCCCC)CCCCCCCC)nc12)c1ccc(s1)c1cc2c(s1)c(c1ccc(SCCCCCCCCCCCC)s1)c1cc($)sc1c2c1ccc(SCCCCCCCCCCCC)s1},-5.22,-3.21,8,
7,J51,,,(C74H99F2N3S6)n,"poly[4-(5-(4,8-bis(5-(2-hexyldecyl)thiophen-2-yl)-6-methylbenzo[1,2-b:4,5-b']dithiophen-2-yl)thiophen-2-yl)-5,6-difluoro-7-(5-methylthiophen-2-yl)-2-octyl-2H-benzo[d][1,2,3]triazole]",CC1=CC2=C(C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)C(SC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CCCCCCCC)N=C57)S4)=C8)=C8C(C(S9)=CC=C9CC(CCCCCC)CCCCCCCC)=C2S1,,-5.20,-3.01,9,
8,PDBT-T1,,,,,,,,,9,
9,PDCBT,,,(C42H56O4S4)n,,,{CCCCC(CCCCCC)COC(=O)c1cc(sc1c1ccc($)s1)c1cc(c(s1)c1sc($)cc1)C(=O)OCC(CCCC)CCCCCC},,,11,
10,PTB7-Th,,,,,,,,,9,
11,PTFBDT-BZS,,,,,,,,,9,
12,PBDB-T,,,(C68H78O2S8)n,"poly[(2,6‐(4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)benzo[1,2‐b:4,5‐b′]dithiophene)‐co‐(1,3‐di(5‐thiophene‐2‐yl)‐5,7‐bis(2‐ethylhexyl)benzo[1,2‐c:4,5‐c′]dithiophene‐4,8‐dione)]",,{CCC(CCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCCC)s2)c2cc($)sc12)c1ccc(s1)c1sc(c2c1C(=O)c1c(CC(CC)CCCC)sc(CC(CC)CCCC)c1C2=O)c1ccc($)s1},,,11,
13,J40,,,,,,,,,,
14,J50,,,,,,,,,,
15,J60,,,,,,,,,,
16,J61-F,,,,,,,,,,
17,J62,,,,,,,,,,
18,J63,,,,,,,,,,
19,J64,,,,,,,,,,
20,J81,,,,,,,,,,
21,PBDT(T)[2F]T,,,,,,,,,,
22,PBDT[2F]T,,,,,,,,,,
23,PBDT[2H]T,,,,,,,,,,
24,PBDT(2F)T,,,,,,,,,,
25,PBDT(2H)T,,,,,,,,,,
26,PBDT(T)(2F)T,,,,,,,,,,
27,PBDT-2TC,,,,,,,,,,
28,PBDT-S-2TC,,,,,,,,,,
29,PBDT-DTN,,,,,,,,,,
30,PBDT-FBT,,,,,,{CCCCC(CCCCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CCCC)CCCCCC)s2)c2cc($)sc12)c1sc(cc1CCCCCCCC)c1c(F)c(F)c(c2nsnc12)c1cc(CCCCCCCC)c($)s1},,,,
31,PBDTF-FBT,,,,,,{CCCCC(CCCCCC)Cc1sc(cc1F)c1c2cc(sc2c(c2cc(F)c(CC(CCCC)CCCCCC)s2)c2cc($)sc12)c1sc(cc1CCCCCCCC)c1c(F)c(F)c(c2nsnc12)c1cc(CCCCCCCC)c($)s1},,,,
32,PBDTS-FBT,,,,,,{CCCCC(CCCCCC)Sc1ccc(s1)c1c2cc(sc2c(c2ccc(SC(CCCC)CCCCCC)s2)c2cc($)sc12)c1sc(cc1CCCCCCCC)c1c(F)c(F)c(c2nsnc12)c1cc(CCCCCCCC)c($)s1},,,,
33,PBDTSF-FBT,,,,,,CCCCC(CCCCCC)Sc1sc(cc1F)c1c2cc(sc2c(c2cc(F)c(SC(CCCC)CCCCCC)s2)c2cc($)sc12)c1sc(cc1CCCCCCCC)c1c(F)c(F)c(c2nsnc12)c1cc(CCCCCCCC)c($)s1,,,,
34,PBDT-NQx,,,,,,,,,,
35,PBDTS-NQx,,,,,,,,,,
36,PBDTS-TDZ,,,,,,,,,,
37,PBDT-TDZ,,,,,,,,,,
38,PBFZ-OP,,,,,,,,,,
39,PSBZ,,,(C70H91F2N3S8)n,"4-(5-(4,8-bis(5-((2-butyloctyl)thio)thiophen-2-yl)-6-methylbenzo[1,2-b:4,5-b']dithiophen-2-yl)thiophen-2-yl)-2-(2-butyloctyl)-5,6-difluoro-7-(5-methylthiophen-2-yl)-2H-benzo[d][1,2,3]triazole",CC1=CC2=C(C3=CC=C(SCC(CCCCCC)CCCC)S3)C(SC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCC)CCCCCC)N=C57)S4)=C8)=C8C(C9=CC=C(SCC(CCCCCC)CCCC)S9)=C2S1,,,,,modifed from J61
40,PBDT-ODZ,,,,,,,,,,
41,FTAZ,,,,,,,,,,
42,J70,,,,,,,,,,
43,J72,,,,,,,,,,
44,J73,,,,,,,,,,
45,J74,,,,,,,,,,
46,J91,,,,,,,,,,
47,PBQ-0F,,,,,,,,,,
48,PBQ-QF,,,,,,,,,,
49,PBQ-4F,,,,,,,,,,
50,PBTA-TF,,,,,,,,,,
51,PBDB-T-SF,,,,,,,,,,
52,PCDTBT-C12,,,,,,,,,,
53,PTB7,,,,,,,,,,
54,PBDTTT-E-T,,,,,,,,,,
55,PBTT,,,,,,,,,,
56,PBDTTT-C-T,,,,,,,,,,
57,P3HT,,,,,,,,,,
58,P,,,,,,,,,,
59,PTPDBDT,,,,,,,,,,
60,PTzBI,,,,,,,,,,
61,Pff4TBT-2DT,,,,,,,,,,
62,HFQx-T,,,,,,,,,,
63,PCE10,,,,,,,,,,
64,PBDB-TF,,,,,,,,,,
65,P1,,,,,,,,,,
66,PBDTT-6ttTPD,,,,,,,,,,
67,PMOT16,,,,,,,,,,
68,PTZP,,,,,,,,,,
69,PffBT2T-TT,,,,,,,,,,
70,PffBT4T-2OD,,,,,,,,,,
71,PBDTTT-EFT,,,,,,,,,,
72,PffT2-FTAZ-2DT,,,,,,,,,,
73,PBDB-ST,,,,,,,,,,
74,P2F-EH,,,,,,,,,,
75,P2F-Ehp,,,,,,,,,,
76,P2F-EO,,,,,,,,,,
77,PB3T,,,,,,,,,,
78,PCE-10,,,,,,,,,,
79,PBT1-C,,,,,,,,,,
80,PBT1-C-2Cl,,,,,,,,,,
81,PBDB-T-2F,,,,,,,,,,
82,PBDB-T-2Cl,,,,,,,,,,
83,P2,,,,,,,,,,
84,P3,,,,,,,,,,
85,PM6,,,,,,,,,,
86,PBDBT-2F,,,,,,,,,,
87,PTQ10,,,,,,,,,,
88,PTBB-o,,,,,,,,,,
89,PTBB-m,,,,,,,,,,
90,PTBB-p,,,,,,,,,,
91,PBDS-TZ,,,,,,,,,,
92,PBB-T,,,,,,,,,,
93,PFBDB-T,,,,,,,,,,
94,PBZ,,,,,,,,,,
95,PBZ-Cl,,,,,,,,,,
96,PBZ-ClSi,,,,,,,,,,
97,PT1,,,,,,,,,,
98,PT2,,,,,,,,,,
99,PT3,,,,,,,,,,
100,BO2FC8,,,,,,,,,,
101,BO2FEH,,,,,,,,,,
102,PTB-EDOT,,,,,,,,,,
103,PTB-EDOTS,,,,,,,,,,
104,POPB,,,,,,,,,,
105,PFOPB,,,,,,,,,,
106,PBDT-F-2TC,,,,,,,,,,
107,PBDT-SF-2TC,,,,,,,,,,
108,PDBT-F,,,,,,,,,,
109,PBDS-T,,,,,,,,,,
110,PTBFeh-BDD,,,,,,,,,,
111,PTBFSdo-BDD,,,,,,,,,,
112,PTBFSeh-BDD,,,,,,,,,,
113,2TC-TT-BDTFT,,,,,,,,,,
114,2T-TTC-BDTFT,,,,,,,,,,
115,PB24-3TDC,,,,,,,,,,
116,PB68-3TDC,,,,,,,,,,
117,PBDT-3TCO,,,,,,,,,,
118,PBDT-3T,,,,,,,,,,
119,PBTIBDTT,,,,,,,,,,
120,PDCBT-2F,,,,,,,,,,
121,PBT-F,,,,,,,,,,
122,PBT-SF,,,,,,,,,,
123,PBT1-C-MW,,,,,,,,,,
124,PTZPF,,,,,,,,,,
125,PTZI,,,,,,,,,,
126,PBDTTz-BP,,,,,,,,,,
127,PBDTTz-N,,,,,,,,,,
128,PBDB-T2Cl,,,,,,,,,,
129,PBDB-T-BO,,,,,,,,,,
130,PBDB-BzT,,,,,,,,,,
131,PBZ-TS,,,,,,,,,,
132,PBT1-EH,,,,,,,,,,
133,J52-Cl,,,,,,,,,,
