index,name,other_names,CAS_num,formula,IUPAC,SMILES,BigSMILES,HOMO,LUMO,ref,Notes
134,PBDT-Se-TAZ,,,,,,,,,,
135,PBDTS-Se-TAZ,,,,,,,,,,
136,PBZ1,,,,,,,,,,
137,PBZ-m-CF3,,,,,,,,,,
138,PBDTS-TzBI,,,,,,,,,,
139,PBDTTz-SBP,,,,,,,,,,
140,PJ1,,,,,,,,,,
141,PJ2,,,,,,,,,,
142,PJ3,,,,,,,,,,
143,2D-PBTCl,,,,,,,,,,
144,2D-PBTCl2,,,,,,,,,,
145,PBClT,,,,,,,,,,
146,PBFTT,,,,,,,,,,
147,PBDB-O,,,,,,,,,,
148,PFBZ,,,,,,,,,,
149,PBO,,,,,,,,,,
150,HTAZ,,,,,,,,,,
151,TBF-BDD,,,,,,,,,,
152,TBF-BT,,,,,,,,,,
153,PBT,,,,,,,,,,
154,PTFBDT,,,,,,,,,,
155,PffQx-T,,,,,,,,,,
156,PffQx-PS,,,,,,,,,,
157,J101,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
