Donor,Donor_SMILES,Donor_Big_SMILES,Donor_SELFIES,Acceptor,Acceptor_SMILES,Acceptor_Big_SMILES,Acceptor_SELFIES,HOMO_D (eV),LUMO_D (eV),HOMO_A (eV),LUMO_A (eV),D:A ratio (m/m),solvent,total solids conc. (mg/mL),solvent additive,solvent additive conc. (%v/v),active layer thickness (nm),annealing temperature,hole contact layer,electron contact layer,hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),PCE (%),Voc (V),Jsc (mA cm^-2),FF (%)
PDBT-T1,CCCCCCCCc1ccc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc(C)s7)c7c6C(=O)c6c(CC(CC)CCCC)sc(CC(CC)CCCC)c6C7=O)s5)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4cc(C)sc4c23)s1,{[$]CCCCCCCc1ccc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc[$]s7)c7c6C(=O)c6c(CC(CC)CCCC)sc(CC(CC)CCCC)c6C7=O)s5)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4cc[$]sc4c23)s1},[C][C][C][C][C][C][C][C][C][=C][C][=C][Branch2][=Branch2][P][C][=C][S][C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][=Ring2][Ring2][=C][C][Ring2][Ring2][P][=C][Branch2][Ring1][C][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][Ring1][=N][C][S][C][C][=C][Branch1][C][C][S][C][=Ring1][=Branch1][C][Ring2][=Branch1][=Branch2][=Ring1][=Branch2][S][Ring2][=Branch1][=C],IDIC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[$]CCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3},[C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][C][=C][Branch2][Ring2][O][C][=C][Ring1][=Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][Ring2][Ring2][C][C][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][Ring2][Branch1][O],-5.36,-3.43,-5.69,-3.91,1.0,CF,12.0,DIO,0.25,100.0,-1.0,MoOx,ZnO,6.3e-05,0.00052,10.37,0.834,16.98,73.2
PTFBDT-BZS,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,{[$]CCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc[$]cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc[$]s1},[C][C][C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][=C][Branch2][#Branch1][=N][C][=C][C][=C][Branch2][#Branch1][C][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][=C][Ring2][Ring2][#Branch2][S][Ring2][Ring2][=N][S][Ring2][Branch1][C][C][=N][S][N][=C][Ring1][Branch1][C][=Ring2][=Branch1][Branch2][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1],IDIC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[$]CCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3},[C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][C][=C][Branch2][Ring2][O][C][=C][Ring1][=Branch1][C][S][C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][Branch1][Ring2][Ring2][C][C][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][Ring2][Branch1][O],-5.43,-3.58,-5.69,-3.91,1.0,CF,12.0,DIO,0.25,100.0,-1.0,MoOx,ZnO,6.2e-05,0.00092,11.03,0.905,17.3,70.8
PBDT-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(CCCCC(CS)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,{[$]CCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc[$]cc6c(-c6ccc(CCCCC(CS)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C},[C][C][C][C][C][C][C][C][C][C][=C][Branch2][=Branch2][N][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch2][Branch1][C][=C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][=C][Branch2][=Branch1][S][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][S][C][C][C][C][C][Branch1][Ring1][C][S][C][C][C][C][C][C][S][Ring2][Ring1][C][=C][Ring2][Ring2][=C][S][Ring2][Ring2][P][S][Ring2][Branch1][=C][C][=N][S][N][=C][Ring2][=Branch1][=Branch2][Ring1][Branch1][S][C][=Ring2][=Branch1][=C][C],ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][P][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][Ring2][Ring2][O][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][#Branch1][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][Branch2][C],-5.14,-3.35,-5.48,-3.83,1.0,CB,20.0,DIO,0.5,99.0,-1.0,MoOx,ZnO,5.07e-05,1.47e-05,7.15,0.82,13.73,63.8
PBDTF-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(S)s6)c6sc(C)cc6c(-c6cc(F)c(CCCCC(CS)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,{[$]CCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(S)s6)c6sc[$]cc6c(-c6cc(F)c(CCCCC(CS)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C},[C][C][C][C][C][C][C][C][C][C][=C][Branch2][=Branch2][C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][#Branch1][O][C][=C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][=C][Branch2][=Branch1][=Branch1][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][S][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][=N][C][=C][C][Branch1][C][F][=C][Branch1][S][C][C][C][C][C][Branch1][Ring1][C][S][C][C][C][C][C][C][S][Ring2][Ring1][Ring1][=C][Ring2][Ring2][Ring2][S][Ring2][Ring2][#Branch1][S][Ring2][Branch1][Ring2][C][=N][S][N][=C][Ring2][Branch1][#C][Ring1][Branch1][S][C][=Ring2][=Branch1][Ring2][C],ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][P][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][Ring2][Ring2][O][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][#Branch1][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][Branch2][C],-5.34,-3.53,-5.48,-3.83,1.0,CB,20.0,DIO,0.5,107.0,-1.0,MoOx,ZnO,0.000229,0.000109,9.17,0.9,15.38,66.3
PBDTS-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,{[$]CCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c6sc[$]cc6c(-c6ccc(SSCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C},[C][C][C][C][C][C][C][C][C][C][=C][Branch2][=Branch2][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch2][#Branch1][C][=C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][=C][Branch2][#Branch1][C][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][=C][Branch1][P][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][Ring1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][O][C][=C][C][=C][Branch1][P][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][Ring1][=C][Ring2][Ring2][S][S][Ring2][Branch1][Ring1][S][Ring2][Branch1][S][C][=N][S][N][=C][Ring2][=Branch1][O][Ring1][Branch1][S][C][=Ring2][=Branch1][S][C],ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][P][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][Ring2][Ring2][O][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][#Branch1][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][Branch2][C],-5.2,-3.4,-5.48,-3.83,1.0,CB,20.0,DIO,0.5,104.0,-1.0,MoOx,ZnO,0.000108,3.65e-05,8.58,0.89,14.63,65.9
PBDTSF-FBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(SSCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SSCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,{[$]CCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(SSCC(CCCC)CCCCCC)s6)c6sc[$]cc6c(-c6cc(F)c(SSCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C},[C][C][C][C][C][C][C][C][C][C][=C][Branch2][#Branch2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch2][=N][C][=C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][=C][Branch2][#Branch1][Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][Branch1][C][F][=C][Branch1][P][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][Ring2][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][=C][C][=C][C][Branch1][C][F][=C][Branch1][P][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][Ring2][=C][Ring2][Branch1][C][S][Ring2][Branch1][Branch1][S][Ring2][=Branch1][C][C][=N][S][N][=C][Ring2][=Branch1][=N][Ring1][Branch1][S][C][=Ring2][#Branch1][C][C],ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][P][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][Ring2][Ring2][O][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][#Branch1][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][Branch2][C],-5.41,-3.6,-5.48,-3.83,1.0,CB,20.0,DIO,0.5,109.0,-1.0,MoOx,ZnO,0.00047,0.000276,11.66,1.03,17.09,66.3
PBDT-NQx,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(SCC(CCCC)CCCCCC)s8)c8sc(C)cc8c(-c8ccc(SCC(CCCC)CCCCCC)s8)c7s6)s5)c5nc(-c6ccc(CCCCCCCC)s6)c(-c6ccc(CCCCCCCC)s6)nc54)c3nc2-c2ccc(CCCCCCCC)s2)s1,{[$]CCCCCCCc1ccc(-c2nc3c(-c4ccc[$]s4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(SCC(CCCC)CCCCCC)s8)c8sc[$]cc8c(-c8ccc(SCC(CCCC)CCCCCC)s8)c7s6)s5)c5nc(-c6ccc(CCCCCCCC)s6)c(-c6ccc(CCCCCCCC)s6)nc54)c3nc2-c2ccc(CCCCCCCC)s2)s1},[C][C][C][C][C][C][C][C][C][=C][C][=C][Branch2][=C][Ring2][C][=N][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=C][C][Branch2][O][Ring2][C][=C][Branch2][#Branch1][O][C][=C][C][=C][Branch2][=Branch1][S][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][S][S][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring2][Ring1][C][=C][Ring2][Ring2][=C][S][Ring2][Ring2][P][S][Ring2][Branch1][=Branch1][C][=N][C][Branch2][Ring1][C][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][Ring1][=N][=C][Branch2][Ring1][C][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][Ring1][=N][N][=C][Ring2][Ring1][S][Ring2][#Branch1][#Branch2][=C][Ring2][Branch2][Ring2][N][=C][Ring2][Branch2][Branch2][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][Ring1][=N][S][Ring2][=Branch2][#Branch2],ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[$]CCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1},[C][C][C][C][C][C][C][=C][C][=C][Branch2][O][N][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][C][=C][Branch2][Ring2][P][C][=C][Ring1][=Branch1][C][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][=Ring2][Ring1][Branch1][C][=Ring2][Ring1][Branch2][Ring2][Ring2][O][C][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Branch1][#Branch1][S][C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Branch1][C][=C][Ring2][Branch2][C],-5.24,-3.42,-5.48,-3.83,1.25,CB,20.0,DIO,2.0,110.0,-1.0,MoOx,ZnO,0.00018,5.6e-05,9.11,0.87,16.21,64.6
